,name,production,distributor,artist,st_day,ed_day,score,rank,장르,런타임,성별,활동유형
22,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018-04-22,2018-04-28,19763678,20,가요 / 댄스,03:33:00,여성,솔로
23,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2018-04-22,2018-04-28,19698580,21,POP / 팝,03:13:00,혼성,밴드
24,"모든 날, 모든 순간",SM Entertainment,Dreamus,폴킴,2018-04-22,2018-04-28,17870627,22,OST / 드라마,03:31:00,남성,솔로
25,Jenga,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈,2018-04-22,2018-04-28,17767021,23,가요 / R&B/소울,03:30:00,여성,솔로
26,어린 왕자,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-22,2018-04-28,17709517,24,가요 / 랩/힙합,02:44:00,남성,프로젝트
27,Havana,Syco Music/Epic,Sony Music,Camila Cabello,2018-04-22,2018-04-28,17617934,25,POP / 팝,03:37:00,여성,솔로
28,Havana,Syco Music/Epic,Sony Music,Camila Cabello,2018-04-22,2018-04-28,17617934,25,POP / 팝,03:37:00,여성,솔로
29,이로한,Stone Music Entertainment,Stone Music Entertainment,배연서,2018-04-22,2018-04-28,17332268,26,가요 / 랩/힙합,03:33:00,남성,프로젝트
30,花요일,SM Entertainment,Dreamus,EXO-CBX,2018-04-22,2018-04-28,16782074,27,가요 / 댄스,03:20:00,남성,그룹
31,비행운,덕선레코드,미러볼뮤직,문문,2018-04-22,2018-04-28,16463274,28,가요 / 인디,02:59:00,남성,솔로
32,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018-04-22,2018-04-28,15824450,29,가요 / 댄스,03:31:00,여성,그룹
33,이 별,뮤직웍스,지니뮤직,길구봉구,2018-04-22,2018-04-28,14750228,30,가요 / 발라드,03:58:00,남성,그룹
34,BOOMERANG,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-04-22,2018-04-28,14338867,31,가요 / 댄스,03:04:00,남성,그룹
35,눈사람,안테나뮤직,지니뮤직,정승환,2018-04-22,2018-04-28,13743931,32,가요 / 발라드,03:56:00,남성,솔로
36,instagram,Joombas Co Ltd & Universal Music,Universal Music,DEAN,2018-04-22,2018-04-28,13645766,33,가요 / R&B/소울,04:16:00,남성,솔로
37,밤이 되니까,냠냠엔터테인먼트,Stone Music Entertainment,펀치,2018-04-22,2018-04-28,13488265,34,가요 / R&B/소울,03:26:00,여성,솔로
38,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈,2018-04-22,2018-04-28,13455910,35,가요 / 발라드,05:03:00,남성,솔로
39,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로,2018-04-22,2018-04-28,13407260,36,가요 / 발라드,05:07:00,남성,솔로
40,탓,Stone Music Entertainment,Stone Music Entertainment,이병재,2018-04-22,2018-04-28,13336050,37,가요 / 랩/힙합,03:29:00,남성,솔로
41,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유,2018-04-22,2018-04-28,13151442,38,가요 / 발라드,04:13:00,여성,솔로
42,Heart Shaker,JYP Entertainment,Dreamus,TWICE,2018-04-22,2018-04-28,12776988,39,가요 / 댄스,03:07:00,여성,그룹
43,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018-04-22,2018-04-28,12770616,40,POP / 팝,03:54:00,남성,솔로
44,좋니,미스틱스토리,카카오 M,윤종신,2018-04-22,2018-04-28,12720743,41,가요 / 발라드,05:28:00,남성,솔로
45,그날의 너,울림 엔터테인먼트,카카오 M,러블리즈,2018-04-22,2018-04-28,12562585,42,가요 / 댄스,03:15:00,여성,그룹
46,시차,AOMG,Stone Music Entertainment,우원재,2018-04-22,2018-04-28,12558887,43,가요 / 랩/힙합,03:16:00,남성,솔로
47,비도 오고 그래서,Stone Music Entertainment,Stone Music Entertainment,헤이즈,2018-04-22,2018-04-28,12441798,44,가요 / 랩/힙합,03:25:00,여성,솔로
48,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2018-04-22,2018-04-28,12321144,45,가요 / 발라드,04:09:00,남성,솔로
49,EASY,RBW,카카오 M,휘인,2018-04-22,2018-04-28,11642378,46,가요 / R&B/소울,03:09:00,여성,솔로
50,내가 더 나빠,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈,2018-04-22,2018-04-28,11434725,47,가요 / R&B/소울,03:58:00,여성,솔로
51,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-04-22,2018-04-28,11401908,48,가요 / 랩/힙합,03:43:00,남성,그룹
52,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-04-22,2018-04-28,11401908,48,가요 / 랩/힙합,03:43:00,남성,그룹
53,눈 떠보니 이별이더라,메이저나인,카카오 M,포맨,2018-04-22,2018-04-28,11387692,49,가요 / 발라드,04:43:00,남성,듀엣
54,LIKEY,JYP Entertainment,Dreamus,TWICE,2018-04-22,2018-04-28,11314757,50,가요 / 댄스,03:28:00,여성,그룹
55,#첫사랑,"쇼파르뮤직, 딩고뮤직",카카오 M,볼빨간사춘기,2018-04-22,2018-04-28,11305961,51,가요 / 인디,03:28:00,여성,솔로
56,결혼,Stone Music Entertainment,Stone Music Entertainment,문문,2018-04-22,2018-04-28,11047009,52,OST / 드라마,03:24:00,남성,솔로
57,Like It,Stone Music Entertainment,Stone Music Entertainment,배연서,2018-04-22,2018-04-28,10930569,53,가요 / 전체,03:40:00,혼성,그룹
58,약속해요,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-04-22,2018-04-28,10712304,54,가요 / 댄스,03:41:00,남성,그룹
59,빨간 맛,SM Entertainment,Dreamus,레드벨벳,2018-04-22,2018-04-28,10706324,55,가요 / 댄스,03:11:00,여성,그룹
60,REALLY REALLY,YG Entertainment,지니뮤직,WINNER,2018-04-22,2018-04-28,10645247,56,가요 / 댄스,03:23:00,남성,그룹
61,그리워하다,큐브엔터테인먼트,카카오 M,비투비,2018-04-22,2018-04-28,10559631,57,가요 / 발라드,03:57:00,남성,그룹
62,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-04-22,2018-04-28,10524800,58,가요 / 댄스,04:34:00,남성,그룹
63,주인공,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018-04-22,2018-04-28,10469949,59,가요 / 댄스,03:15:00,여성,솔로
64,"별, 그대",How엔터테인먼트,NHN벅스,황치열,2018-04-22,2018-04-28,10370854,60,가요 / 발라드,03:53:00,남성,솔로
65,Stand By Your Man,Universal Music,Universal Music,Carla Bruni,2018-04-22,2018-04-28,10311764,61,POP / 팝,02:44:00,여성,솔로
66,짙어져,스페이스오디티,카카오 M,멜로망스,2018-04-22,2018-04-28,10289324,62,OST / 드라마,04:38:00,남성,듀엣
67,There`s Nothing Holdin` Me Back,"Island Records, a division of UMG Recordings, Inc.",Universal Music,Shawn Mendes,2018-04-22,2018-04-28,10136765,63,POP / 팝,03:20:00,남성,솔로
68,미안해,브랜뉴뮤직,카카오 M,양다일,2018-04-22,2018-04-28,10048692,64,가요 / R&B/소울,03:49:00,남성,솔로
69,Adios,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-22,2018-04-28,9996821,65,가요 / 랩/힙합,03:02:00,남성,솔로
70,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,에일리,2018-04-22,2018-04-28,9973699,66,OST / 드라마,03:50:00,여성,솔로
71,달리,브리지,NHN벅스,효린,2018-04-22,2018-04-28,9836153,67,가요 / 랩/힙합,03:23:00,여성,솔로
72,Beautiful,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-04-22,2018-04-28,9822505,68,가요 / 발라드,03:17:00,남성,그룹
73,에너제틱,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-04-22,2018-04-28,9806352,69,가요 / 댄스,03:09:00,남성,그룹
74,썸 탈꺼야,쇼파르뮤직,카카오 M,볼빨간사춘기,2018-04-22,2018-04-28,9732727,70,가요 / 인디,03:01:00,여성,솔로
75,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2018-04-22,2018-04-28,9643395,71,POP / 락,03:07:00,남성,그룹
76,노력,메이크어스엔터테인먼트,카카오 M,박원,2018-04-22,2018-04-28,9587575,72,가요 / 발라드,04:23:00,남성,솔로
77,마지막처럼,YG Entertainment,지니뮤직,BLACKPINK,2018-04-22,2018-04-28,9201109,73,가요 / 댄스,03:33:00,여성,그룹
78,기억의 빈자리,"인넥스트트렌드, 롱플레이뮤직",Stone Music Entertainment,나얼,2018-04-22,2018-04-28,8925589,74,가요 / R&B/소울,04:38:00,남성,솔로
79,애쓰지 마요,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,박보람,2018-04-22,2018-04-28,8766442,75,가요 / 발라드,03:49:00,여성,솔로
80,나타나줘,AOMG,카카오 M,로꼬,2018-04-22,2018-04-28,8519004,76,가요 / 랩/힙합,03:47:00,남성,솔로
81,좋아,미스틱스토리,Stone Music Entertainment,"윤종신, 민서",2018-04-22,2018-04-28,8316275,77,가요 / 발라드,05:10:00,혼성,프로젝트
82,피카부,SM Entertainment,Dreamus,레드벨벳,2018-04-22,2018-04-28,8193847,78,가요 / 댄스,03:09:00,여성,그룹
83,바람이 불었으면 좋겠어,WS엔터테인먼트,카카오 M,길구봉구,2018-04-22,2018-04-28,7916965,79,가요 / R&B/소울,03:52:00,남성,그룹
84,AIR,YG Entertainment,지니뮤직,WINNER,2018-04-22,2018-04-28,7632137,80,가요 / 댄스,03:45:00,남성,그룹
85,Universe,SM Entertainment,Dreamus,EXO,2018-04-22,2018-04-28,7598444,81,가요 / 발라드,04:24:00,남성,그룹
86,벚꽃 엔딩,Stone Music Entertainment,Stone Music Entertainment,버스커 버스커,2018-04-22,2018-04-28,7523586,82,가요 / 락,04:21:00,남성,밴드
87,어른,Stone Music Entertainment,Stone Music Entertainment,Sondia,2018-04-22,2018-04-28,7404276,83,OST / 드라마,04:19:00,여성,솔로
88,바보야,플레이엠엔터테인먼트,카카오 M,허각,2018-04-22,2018-04-28,7381544,84,가요 / 발라드,04:24:00,남성,솔로
89,Closer,"Disruptor Records, Columbia",Sony Music,The Chainsmokers,2018-04-22,2018-04-28,7280711,85,POP / 팝,04:06:00,남성,듀엣
90,Young Wave,Stone Music Entertainment,Stone Music Entertainment,오담률,2018-04-22,2018-04-28,7087296,86,가요 / 랩/힙합,03:14:00,남성,솔로
91,Graduation,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-22,2018-04-28,6977511,87,가요 / 랩/힙합,03:15:00,남성,솔로
92,Playdate,SM Entertainment,Dreamus,EXO-CBX,2018-04-22,2018-04-28,6931175,88,가요 / 댄스,03:31:00,남성,그룹
93,폰서트,매직스트로베리사운드,카카오 M,10cm,2018-04-22,2018-04-28,6891099,89,가요 / 인디,03:18:00,남성,솔로
94,비,뉴런뮤직,NHN벅스,폴킴,2018-04-22,2018-04-28,6877568,90,가요 / R&B/소울,03:58:00,남성,솔로
95,"그때의 나, 그때의 우리",메이크어스엔터테인먼트,카카오 M,어반 자카파,2018-04-22,2018-04-28,6647354,91,가요 / R&B/소울,03:18:00,혼성,그룹
96,나의 사춘기에게,쇼파르뮤직,카카오 M,볼빨간사춘기,2018-04-22,2018-04-28,6553431,92,가요 / 인디,03:43:00,여성,솔로
97,팔레트,"페이브엔터테인먼트,카카오 M",카카오 M,아이유,2018-04-22,2018-04-28,6448628,93,가요 / 발라드,03:38:00,여성,솔로
98,너 없는 시간들,"Stone Music Entertainment, B2M Entertainment",Stone Music Entertainment,다비치,2018-04-22,2018-04-28,6444483,94,가요 / 발라드,04:33:00,여성,듀엣
99,내일해,바나나컬쳐,Sony Music,EXID,2018-04-22,2018-04-28,6371992,95,가요 / 댄스,03:11:00,여성,그룹
100,봄 사랑 벚꽃 말고,엔에이피엔터테인먼트,카카오 M,"HIGH4, 아이유",2018-04-22,2018-04-28,6274067,96,가요 / 락,02:48:00,여성,솔로
101,가시나,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018-04-22,2018-04-28,6173572,97,가요 / 댄스,03:00:00,여성,솔로
102,내일 만나,SM Entertainment,Dreamus,EXO-CBX,2018-04-22,2018-04-28,6133719,98,가요 / 댄스,03:07:00,남성,그룹
103,Vroom Vroom,SM Entertainment,Dreamus,EXO-CBX,2018-04-22,2018-04-28,6121737,99,가요 / 댄스,02:46:00,남성,그룹
104,괜찮냐고,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈,2018-04-22,2018-04-28,6115688,100,가요 / R&B/소울,03:51:00,여성,솔로
105,주지마,한국방송공사,카카오 M,"로꼬, 화사",2018-04-29,2018-05-05,56251614,1,가요 / 발라드,03:52:00,혼성,프로젝트
106,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로,2018-04-29,2018-05-05,40061510,2,가요 / 발라드,04:41:00,남성,솔로
107,What is Love?,JYP Entertainment,Dreamus,TWICE,2018-04-29,2018-05-05,37568014,3,가요 / 댄스,03:28:00,여성,그룹
108,What is Love?,JYP Entertainment,Dreamus,TWICE,2018-04-29,2018-05-05,37568014,3,가요 / 댄스,03:28:00,여성,그룹
109,You,JTBC,인터파크,멜로망스,2018-04-29,2018-05-05,35736267,4,가요 / 발라드,04:32:00,남성,듀엣
110,You,JTBC,인터파크,멜로망스,2018-04-29,2018-05-05,35736267,4,가요 / 발라드,04:32:00,남성,듀엣
111,별 시,글러브엔터테인먼트,Stone Music Entertainment,박효신,2018-04-29,2018-05-05,34769251,5,가요 / 발라드,04:42:00,남성,솔로
112,욕심,"민트페이퍼, 광합성",카카오 M,멜로망스,2018-04-29,2018-05-05,33944821,6,가요 / 인디,04:01:00,남성,듀엣
113,붕붕,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-29,2018-05-05,33374361,7,가요 / 랩/힙합,03:55:00,남성,솔로
114,사랑을 했다,YG Entertainment,지니뮤직,iKON,2018-04-29,2018-05-05,30029191,8,가요 / 랩/힙합,03:30:00,남성,그룹
115,밤,쏘스뮤직,카카오 M,여자친구,2018-04-29,2018-05-05,28606419,9,가요 / 댄스,03:47:00,여성,그룹
116,밤,쏘스뮤직,카카오 M,여자친구,2018-04-29,2018-05-05,28606419,9,가요 / 댄스,03:47:00,여성,그룹
117,별이 빛나는 밤,RBW,카카오 M,마마무,2018-04-29,2018-05-05,28508134,10,가요 / 댄스,03:31:00,여성,그룹
118,잊을만하면,아메바컬쳐,Stone Music Entertainment,크러쉬,2018-04-29,2018-05-05,27256117,11,가요 / R&B/소울,03:57:00,남성,솔로
119,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드,2018-04-29,2018-05-05,25811750,12,가요 / 댄스,03:29:00,여성,그룹
120,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018-04-29,2018-05-05,25683015,13,가요 / 트로트,03:18:00,여성,솔로
121,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018-04-29,2018-05-05,24814510,14,OST / 드라마,04:39:00,남성,솔로
122,바코드,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-29,2018-05-05,24802543,15,가요 / 랩/힙합,03:43:00,남성,프로젝트
123,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018-04-29,2018-05-05,23790977,16,가요 / 랩/힙합,03:26:00,남성,그룹
124,그날처럼,리메즈,카카오 M,장덕철,2018-04-29,2018-05-05,23675327,17,가요 / 발라드,03:53:00,남성,그룹
125,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018-04-29,2018-05-05,21744959,18,가요 / 발라드,04:09:00,남성,솔로
126,소나기,어라운드 어스,카카오 M,용준형,2018-04-29,2018-05-05,21633995,19,가요 / 랩/힙합,03:25:00,남성,솔로
127,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018-04-29,2018-05-05,20092052,20,가요 / 인디,04:21:00,남성,듀엣
128,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018-04-29,2018-05-05,19667287,21,가요 / 댄스,03:33:00,여성,솔로
129,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2018-04-29,2018-05-05,19422006,22,POP / 팝,03:13:00,혼성,밴드
130,전혀,Stone Music Entertainment,Stone Music Entertainment,이병재,2018-04-29,2018-05-05,18017020,23,가요 / 랩/힙합,03:41:00,남성,솔로
131,북,Stone Music Entertainment,Stone Music Entertainment,배연서,2018-04-29,2018-05-05,17809197,24,가요 / 랩/힙합,03:33:00,남성,프로젝트
132,Havana,Syco Music/Epic,Sony Music,Camila Cabello,2018-04-29,2018-05-05,17530448,25,POP / 팝,03:37:00,여성,솔로
133,Havana,Syco Music/Epic,Sony Music,Camila Cabello,2018-04-29,2018-05-05,17530448,25,POP / 팝,03:37:00,여성,솔로
134,"모든 날, 모든 순간",SM Entertainment,Dreamus,폴킴,2018-04-29,2018-05-05,17365045,26,OST / 드라마,03:31:00,남성,솔로
135,Jenga,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈,2018-04-29,2018-05-05,16179262,27,가요 / R&B/소울,03:30:00,여성,솔로
136,비행운,덕선레코드,미러볼뮤직,문문,2018-04-29,2018-05-05,15922036,28,가요 / 인디,02:59:00,남성,솔로
137,어린 왕자,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-04-29,2018-05-05,15863186,29,가요 / 랩/힙합,02:44:00,남성,프로젝트
138,花요일,SM Entertainment,Dreamus,EXO-CBX,2018-04-29,2018-05-05,15248456,30,가요 / 댄스,03:20:00,남성,그룹
139,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018-04-29,2018-05-05,15221082,31,가요 / 댄스,03:31:00,여성,그룹
140,이 별,뮤직웍스,지니뮤직,길구봉구,2018-04-29,2018-05-05,14134661,32,가요 / 발라드,03:58:00,남성,그룹
141,이로한,Stone Music Entertainment,Stone Music Entertainment,배연서,2018-04-29,2018-05-05,13591458,33,가요 / 랩/힙합,03:33:00,남성,프로젝트
142,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로,2018-04-29,2018-05-05,13545568,34,가요 / 발라드,05:07:00,남성,솔로
143,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈,2018-04-29,2018-05-05,13441152,35,가요 / 발라드,05:03:00,남성,솔로
144,My Paradise,H1GHR MUSIC,카카오 M,GroovyRoom,2018-04-29,2018-05-05,13429600,36,가요 / 랩/힙합,03:25:00,남성,그룹
145,BOOMERANG,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-04-29,2018-05-05,13412739,37,가요 / 댄스,03:04:00,남성,그룹
146,instagram,Joombas Co Ltd & Universal Music,Universal Music,DEAN,2018-04-29,2018-05-05,13200856,38,가요 / R&B/소울,04:16:00,남성,솔로
147,밤이 되니까,냠냠엔터테인먼트,Stone Music Entertainment,펀치,2018-04-29,2018-05-05,13028452,39,가요 / R&B/소울,03:26:00,여성,솔로
148,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유,2018-04-29,2018-05-05,12981884,40,가요 / 발라드,04:13:00,여성,솔로
149,눈사람,안테나뮤직,지니뮤직,정승환,2018-04-29,2018-05-05,12962123,41,가요 / 발라드,03:56:00,남성,솔로
150,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018-04-29,2018-05-05,12927477,42,POP / 팝,03:54:00,남성,솔로
151,Heart Shaker,JYP Entertainment,Dreamus,TWICE,2018-04-29,2018-05-05,12845957,43,가요 / 댄스,03:07:00,여성,그룹
152,좋니,미스틱스토리,카카오 M,윤종신,2018-04-29,2018-05-05,12327375,44,가요 / 발라드,05:28:00,남성,솔로
153,시차,AOMG,Stone Music Entertainment,우원재,2018-04-29,2018-05-05,12317708,45,가요 / 랩/힙합,03:16:00,남성,솔로
154,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2018-04-29,2018-05-05,11883651,46,가요 / 발라드,04:09:00,남성,솔로
155,비도 오고 그래서,Stone Music Entertainment,Stone Music Entertainment,헤이즈,2018-04-29,2018-05-05,11695472,47,가요 / 랩/힙합,03:25:00,여성,솔로
156,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-04-29,2018-05-05,11597536,48,가요 / 랩/힙합,03:43:00,남성,그룹
157,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-04-29,2018-05-05,11597536,48,가요 / 랩/힙합,03:43:00,남성,그룹
158,LIKEY,JYP Entertainment,Dreamus,TWICE,2018-04-29,2018-05-05,11383264,49,가요 / 댄스,03:28:00,여성,그룹
159,탓,Stone Music Entertainment,Stone Music Entertainment,이병재,2018-04-29,2018-05-05,11179681,50,가요 / 랩/힙합,03:29:00,남성,솔로
160,눈 떠보니 이별이더라,메이저나인,카카오 M,포맨,2018-04-29,2018-05-05,11086685,51,가요 / 발라드,04:43:00,남성,듀엣
161,결혼,Stone Music Entertainment,Stone Music Entertainment,문문,2018-04-29,2018-05-05,11008890,52,OST / 드라마,03:24:00,남성,솔로
162,빨간 맛,SM Entertainment,Dreamus,레드벨벳,2018-04-29,2018-05-05,10995423,53,가요 / 댄스,03:11:00,여성,그룹
163,REALLY REALLY,YG Entertainment,지니뮤직,WINNER,2018-04-29,2018-05-05,10927412,54,가요 / 댄스,03:23:00,남성,그룹
164,#첫사랑,"쇼파르뮤직, 딩고뮤직",카카오 M,볼빨간사춘기,2018-04-29,2018-05-05,10802601,55,가요 / 인디,03:28:00,여성,솔로
165,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-04-29,2018-05-05,10517911,56,가요 / 댄스,04:34:00,남성,그룹
166,내가 더 나빠,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈,2018-04-29,2018-05-05,10365522,57,가요 / R&B/소울,03:58:00,여성,솔로
167,주인공,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018-04-29,2018-05-05,10264363,58,가요 / 댄스,03:15:00,여성,솔로
168,미안해,브랜뉴뮤직,카카오 M,양다일,2018-04-29,2018-05-05,10252508,59,가요 / R&B/소울,03:49:00,남성,솔로
169,그리워하다,큐브엔터테인먼트,카카오 M,비투비,2018-04-29,2018-05-05,10168564,60,가요 / 발라드,03:57:00,남성,그룹
170,There`s Nothing Holdin` Me Back,"Island Records, a division of UMG Recordings, Inc.",Universal Music,Shawn Mendes,2018-04-29,2018-05-05,10055325,61,POP / 팝,03:20:00,남성,솔로
171,짙어져,스페이스오디티,카카오 M,멜로망스,2018-04-29,2018-05-05,10029901,62,OST / 드라마,04:38:00,남성,듀엣
172,약속해요,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-04-29,2018-05-05,9875608,63,가요 / 댄스,03:41:00,남성,그룹
173,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,에일리,2018-04-29,2018-05-05,9826185,64,OST / 드라마,03:50:00,여성,솔로
174,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2018-04-29,2018-05-05,9806217,65,POP / 락,03:07:00,남성,그룹
175,에너제틱,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-04-29,2018-05-05,9743817,66,가요 / 댄스,03:09:00,남성,그룹
176,Like It,Stone Music Entertainment,Stone Music Entertainment,배연서,2018-04-29,2018-05-05,9636917,67,가요 / 전체,03:40:00,혼성,그룹
177,썸 탈꺼야,쇼파르뮤직,카카오 M,볼빨간사춘기,2018-04-29,2018-05-05,9573878,68,가요 / 인디,03:01:00,여성,솔로
178,마지막처럼,YG Entertainment,지니뮤직,BLACKPINK,2018-04-29,2018-05-05,9464676,69,가요 / 댄스,03:33:00,여성,그룹
179,Beautiful,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-04-29,2018-05-05,9404185,70,가요 / 발라드,03:17:00,남성,그룹
180,노력,메이크어스엔터테인먼트,카카오 M,박원,2018-04-29,2018-05-05,9339203,71,가요 / 발라드,04:23:00,남성,솔로
