artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
휘인,EASY,8,10,5,R&B/Soul,spring,female,K_POP,Solo,1,2018.4.29,0.482248521,0.019230769,0.25,0.114976033,0,0.56680661,0.686804509,0,0,0,0
GroovyRoom,My Paradise,4,8,10,Rap/Hiphop,spring,male,K_POP,Group,1,2018.4.29,0.529585799,0.019230769,0,0.831928938,0.798477822,0.477571876,0.649112469,0,0,0,0
멜로망스,욕심,1,10,2,Indi,spring,male,K_POP,Duet,1,2018.4.29,0.636094675,0.163461538,0.9,0.305731339,0,0.513549813,0.743373043,0,0,0,0
"박재범,사이먼 도미닉",뒤집어버려,9,10,10,Rap/Hiphop,spring,male,K_POP,Project,1,2018.4.29,0.576923077,0,0.13,0.283488333,0,0.477571876,0.473671547,0,0,0,0
박효신,별 시,1,4,10,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.75739645,0.028846154,0.64,0.473671547,0.83335722,0.660567269,0.540225427,0.384689082,0.087357087,0.052193814,0
여자친구,밤,1,10,10,Dance,spring,female,K_POP,Group,1,2018.4.29,0.594674556,0.384615385,0.39,1,0.785588104,0.551930308,0.277551548,0.238797482,0.040036485,0.012421439,0
윤건,우리 둘만 아는,10,10,10,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.535502959,0.115384615,0.65,0.951649464,0,0.660567269,0.89669629,0,0,0,0
크러쉬,잊을만하면,2,2,10,R&B/Soul,spring,male,K_POP,Solo,1,2018.4.29,0.624260355,0.144230769,0.66,0.58964775,0.844667523,0.56680661,0.300380966,0,0,0,0
펜타곤,빛나리,9,10,10,Dance,spring,male,K_POP,Group,1,2018.4.29,0.51183432,0.125,0.75,0.517594888,0,0.551930308,0.330664453,0.128545166,0.01737851,0.00997397,0
헤이즈,비도 오고 그래서,5,10,5,Rap/Hiphop,spring,female,K_POP,Solo,0,2018.4.29,0.529585799,0.682692308,0.41,0.402220914,0,0.477571876,0.867515849,0,0,0,0
