,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
51,5,6,Ballad,spring,male,K_POP,Duet,1,0.76035503,0.096153846,0.28,0.9400831590000001,0.810201686,0.660567269,0.35302231700000003,0.0,0.0,0.0,0.0
52,3,3,Drama,spring,male,OST,Solo,1,0.547337278,1.0,0.14,0.330664453,0.8325043759999999,0.613522263,0.7296225129999999,0.0,0.0,0.0,0.0
53,10,3,R&B/Soul,spring,female,K_POP,Solo,1,0.5443786979999999,0.10576923099999999,0.26,0.35302231700000003,0.0,0.56680661,0.7426706790000001,0.0,0.0,0.0,0.0
54,10,8,Ballad,spring,male,K_POP,Solo,1,0.612426036,0.019230768999999998,0.91,0.978596107,0.0,0.660567269,0.860687584,0.131758517,0.017921882,0.012750533,0.0
55,10,8,R&B/Soul,spring,female,K_POP,Solo,1,0.48224852100000004,0.019230768999999998,0.33,0.127361065,0.0,0.56680661,0.734059782,0.0,0.0,0.0,0.0
56,10,4,Rap/Hiphop,spring,male,K_POP,Group,1,0.529585799,0.019230768999999998,0.93,0.769127778,0.0,0.477571876,0.781823906,0.0,0.0,0.0,0.0
57,10,1,Indi,spring,male,K_POP,Duet,1,0.636094675,0.16346153800000002,0.66,0.310952774,0.0,0.513549813,0.8035937670000001,0.0,0.0,0.0,0.0
58,5,1,Ballad,spring,male,K_POP,Solo,1,0.75739645,0.028846154,0.29,0.18047397,0.811662126,0.660567269,0.34435399899999997,0.26285089899999997,0.046263095,0.09914582599999999,0.0
59,1,1,Dance,spring,female,K_POP,Group,1,0.594674556,0.384615385,0.38,0.699189541,0.944159813,0.551930308,0.238046284,0.30991955,0.060087164000000005,0.013969613,0.0
60,10,10,Ballad,spring,male,K_POP,Solo,1,0.535502959,0.115384615,0.44,0.944562473,0.0,0.660567269,0.939800104,0.0,0.0,0.0,0.0
61,3,2,R&B/Soul,spring,male,K_POP,Solo,1,0.624260355,0.144230769,0.86,0.841053616,0.8386517,0.56680661,0.40558034600000004,0.0,0.0,0.0,0.0
62,10,9,Dance,spring,male,K_POP,Group,1,0.51183432,0.125,0.58,0.562337364,0.0,0.551930308,0.408888488,0.221798286,0.035943854,0.012559168999999999,0.0
63,1,nan,Dance,spring,female,K_POP,Group,1,0.5236686389999999,0.22115384600000002,0.59,0.9055000879999999,0.913401483,0.551930308,0.408888488,0.0,0.0,0.0,0.0
64,10,nan,Ballad,spring,female,K_POP,Solo,1,0.624260355,0.028846154,0.09,0.114976033,0.0,0.660567269,0.48085493700000004,0.0,0.0,0.0,0.0
