,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,artist,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
46,10,4,10,All,spring,female,K_POP,Group,0,2020.4.12,(여자)아이들,0.547337278106509,0.240384615384615,0.65,0.480854936714392,0.8254331393084879,0.40323191326894997,0.0,0.0,0.0,0.0,0.0,10
47,10,3,9,All,winter,female,K_POP,Group,1,2020.2.16,(여자)아이들,0.547337278106509,0.240384615384615,0.59,0.321032687124339,0.8320109655095649,0.56525771462608,0.3882367670984229,0.0,0.0,0.0,0.0,10
48,3,1,3,All,fall,female,K_POP,Group,1,2019.11.17,(여자)아이들,0.547337278106509,0.240384615384615,0.55,0.361357155132215,0.892307757576973,0.5216637720663839,0.335324397936896,0.0,0.0,0.0,0.0,3
49,10,3,10,All,spring,female,K_POP,Group,0,2020.4.5,(여자)아이들,0.547337278106509,0.240384615384615,0.78,0.562337364211053,0.838100549318702,0.40323191326894997,0.42163799232423,0.0,0.0,0.0,0.0,10
50,3,10,2,Dance,spring,female,K_POP,Group,1,2020.4.19,(여자)아이들,0.502958579881657,0.0192307692307692,0.7,0.45854826695858203,0.0,0.551930308223071,0.30573133866415003,0.0,0.0,0.0,0.0,2
51,2,1,10,Dance,spring,female,K_POP,Group,1,2020.4.5,(여자)아이들,0.502958579881657,0.0192307692307692,0.78,0.562337364211053,0.904364489325856,0.551930308223071,0.3530223173555139,0.0,0.0,0.0,0.0,2
52,2,1,2,Dance,spring,female,K_POP,Group,1,2020.4.12,(여자)아이들,0.502958579881657,0.0192307692307692,0.65,0.480854936714392,0.891897203601357,0.551930308223071,0.30038096644737605,0.0,0.0,0.0,0.0,2
53,10,3,10,Dance,spring,female,K_POP,Group,1,2019.5.12,(여자)아이들,0.50887573964497,0.125,0.13,0.23804628387473498,0.8347888323057919,0.551930308223071,0.20703932682594797,0.0,0.0,0.0,0.0,10
54,8,2,6,Dance,spring,female,K_POP,Group,1,2019.4.7,(여자)아이들,0.50887573964497,0.125,0.3,0.23804628387473498,0.845640681861605,0.551930308223071,0.19854101935810198,0.0,0.0,0.0,0.0,7
55,10,3,9,Dance,spring,female,K_POP,Group,1,2019.4.21,(여자)아이들,0.50887573964497,0.125,0.23,0.22309697296612802,0.8288214157714989,0.551930308223071,0.189695747740321,0.0,0.0,0.0,0.0,10
56,9,3,8,Dance,spring,female,K_POP,Group,1,2019.4.14,(여자)아이들,0.50887573964497,0.125,0.17,0.230700527344224,0.8350238138198359,0.551930308223071,0.22309697296612802,0.0,0.0,0.0,0.0,9
57,10,4,10,Dance,spring,female,K_POP,Group,1,2019.5.19,(여자)아이들,0.50887573964497,0.125,0.26,0.20703932682594797,0.8228559036586259,0.551930308223071,0.189695747740321,0.0,0.0,0.0,0.0,10
58,2,1,3,Dance,spring,female,K_POP,Group,1,2019.3.3,(여자)아이들,0.50887573964497,0.125,0.21,0.3530223173555139,0.8958696353888349,0.551930308223071,0.271447509100542,0.0,0.0,0.0,0.0,3
59,3,1,2,Dance,spring,female,K_POP,Group,1,2019.3.10,(여자)아이들,0.50887573964497,0.125,0.53,0.344353998842983,0.8992125525185091,0.551930308223071,0.33066445349070395,0.0,0.0,0.0,0.0,2
60,10,3,10,Dance,spring,female,K_POP,Group,1,2019.4.28,(여자)아이들,0.50887573964497,0.125,0.2,0.19854101935810198,0.8254331393084879,0.551930308223071,0.18047397026701603,0.0,0.0,0.0,0.0,10
61,5,1,4,Dance,spring,female,K_POP,Group,1,2019.3.24,(여자)아이들,0.50887573964497,0.125,0.3,0.21521686581872798,0.872612366748925,0.551930308223071,0.23804628387473498,0.0,0.0,0.0,0.0,5
62,10,5,10,Dance,spring,female,K_POP,Group,1,2019.5.26,(여자)아이들,0.50887573964497,0.125,0.1,0.127361065167681,0.8116621257126391,0.551930308223071,0.18047397026701603,0.0,0.0,0.0,0.0,10
63,6,2,5,Dance,spring,female,K_POP,Group,1,2019.3.31,(여자)아이들,0.50887573964497,0.125,0.07,0.22309697296612802,0.8611451826724,0.551930308223071,0.21521686581872798,0.0,0.0,0.0,0.0,6
64,4,1,3,Dance,spring,female,K_POP,Group,1,2019.3.17,(여자)아이들,0.50887573964497,0.125,0.37,0.24515115203653898,0.897752111944707,0.551930308223071,0.252030430312962,0.0,0.0,0.0,0.0,3
65,10,3,10,Dance,spring,female,K_POP,Group,1,2019.5.5,(여자)아이들,0.50887573964497,0.125,0.34,0.19854101935810198,0.822709079998693,0.551930308223071,0.18047397026701603,0.0,0.0,0.0,0.0,10
66,3,1,10,Dance,winter,female,K_POP,Group,1,2019.2.24,(여자)아이들,0.50887573964497,0.125,1.0,0.507420293273324,0.91689490959279,0.696853546999652,0.321032687124339,0.0,0.0,0.0,0.0,1
67,6,2,5,Rap/Hiphop,summer,female,K_POP,Group,1,2019.7.21,(여자)아이들,0.5355029585798821,0.14423076923076902,0.35,0.18047397026701603,0.870942117157428,0.605437097331563,0.289266783361501,0.0,0.0,0.0,0.0,5
68,5,2,4,Rap/Hiphop,summer,female,K_POP,Group,1,2019.7.14,(여자)아이들,0.5355029585798821,0.14423076923076902,0.47,0.19854101935810198,0.8804750575110502,0.605437097331563,0.24515115203653898,0.0,0.0,0.0,0.0,5
69,9,3,8,Rap/Hiphop,summer,female,K_POP,Group,1,2019.8.18,(여자)아이들,0.5355029585798821,0.14423076923076902,0.1,0.20703932682594797,0.8473496644450359,0.605437097331563,0.21521686581872798,0.0,0.0,0.0,0.0,8
70,8,2,7,Rap/Hiphop,summer,female,K_POP,Group,1,2019.8.11,(여자)아이들,0.5355029585798821,0.14423076923076902,0.27,0.160762290393488,0.8415351027823481,0.605437097331563,0.189695747740321,0.0,0.0,0.0,0.0,7
71,10,3,10,Rap/Hiphop,fall,female,K_POP,Group,1,2019.9.22,(여자)아이들,0.5355029585798821,0.14423076923076902,0.44,0.44228971300119296,0.837878515799993,0.532094004538088,0.19854101935810198,0.0,0.0,0.0,0.0,10
72,10,3,10,Rap/Hiphop,fall,female,K_POP,Group,1,2019.9.1,(여자)아이들,0.5355029585798821,0.14423076923076902,0.44,0.436587303232837,0.8470685364896651,0.532094004538088,0.21521686581872798,0.0,0.0,0.0,0.0,10
73,4,1,7,Rap/Hiphop,summer,female,K_POP,Group,1,2019.6.30,(여자)아이들,0.5355029585798821,0.14423076923076902,0.56,0.24515115203653898,0.8992125525185091,0.605437097331563,0.19854101935810198,0.0,0.0,0.0,0.0,7
74,10,3,10,Rap/Hiphop,fall,female,K_POP,Group,1,2019.9.8,(여자)아이들,0.5355029585798821,0.14423076923076902,0.41,0.45854826695858203,0.831762571766359,0.532094004538088,0.19854101935810198,0.0,0.0,0.0,0.0,10
75,10,3,10,Rap/Hiphop,fall,female,K_POP,Group,1,2019.9.15,(여자)아이들,0.5355029585798821,0.14423076923076902,0.59,0.436587303232837,0.8382112271526009,0.532094004538088,0.22309697296612802,0.0,0.0,0.0,0.0,10
76,10,3,10,Rap/Hiphop,fall,female,K_POP,Group,1,2019.9.29,(여자)아이들,0.5355029585798821,0.14423076923076902,0.5,0.46114325684086405,0.8399521160956271,0.532094004538088,0.189695747740321,0.0,0.0,0.0,0.0,10
77,7,2,7,Rap/Hiphop,summer,female,K_POP,Group,1,2019.8.4,(여자)아이들,0.5355029585798821,0.14423076923076902,0.31,0.170842203900651,0.848642720126803,0.605437097331563,0.230700527344224,0.0,0.0,0.0,0.0,7
78,4,1,4,Rap/Hiphop,summer,female,K_POP,Group,1,2019.7.7,(여자)아이들,0.5355029585798821,0.14423076923076902,0.46,0.20703932682594797,0.8880557390539509,0.605437097331563,0.189695747740321,0.0,0.0,0.0,0.0,4
79,10,3,9,Rap/Hiphop,summer,female,K_POP,Group,1,2019.8.25,(여자)아이들,0.5355029585798821,0.14423076923076902,0.19,0.289266783361501,0.8375437569804449,0.605437097331563,0.189695747740321,0.0,0.0,0.0,0.0,10
80,10,3,10,Rap/Hiphop,fall,female,K_POP,Group,1,2019.10.6,(여자)아이들,0.5355029585798821,0.14423076923076902,0.35,0.321032687124339,0.826950042340979,0.532094004538088,0.170842203900651,0.0,0.0,0.0,0.0,10
81,7,1,10,Rap/Hiphop,summer,female,K_POP,Group,1,2019.6.23,(여자)아이들,0.5355029585798821,0.14423076923076902,0.52,0.31095277361717605,0.761456183680544,0.605437097331563,0.22309697296612802,0.0,0.0,0.0,0.0,1
82,7,2,6,Rap/Hiphop,summer,female,K_POP,Group,1,2019.7.28,(여자)아이들,0.5355029585798821,0.14423076923076902,0.18,0.18047397026701603,0.857469754952523,0.605437097331563,0.22309697296612802,0.0,0.0,0.0,0.0,7
83,10,10,10,All,fall,female,K_POP,Group,1,2019.10.20,(여자)아이들,0.683431952662722,0.0,0.41,0.45326314969346293,0.0,0.5216637720663839,0.271447509100542,0.0,0.0,0.0,0.0,10
84,10,10,10,Dance,winter,female,K_POP,Group,1,2018.12.30,(여자)아이들,0.5325443786982249,0.240384615384615,0.25,0.45854826695858203,0.0,0.696853546999652,0.24515115203653898,0.0,0.0,0.0,0.0,10
85,10,10,10,Dance,winter,female,K_POP,Group,1,2019.2.3,(여자)아이들,0.5325443786982249,0.240384615384615,0.22,0.230700527344224,0.0,0.696853546999652,0.230700527344224,0.0,0.0,0.0,0.0,10
86,10,10,10,Dance,winter,female,K_POP,Group,1,2019.2.10,(여자)아이들,0.5325443786982249,0.240384615384615,0.26,0.252030430312962,0.0,0.696853546999652,0.283488332509601,0.0,0.0,0.0,0.0,10
87,6,10,5,Dance,fall,female,K_POP,Group,1,2018.10.28,(여자)아이들,0.5325443786982249,0.240384615384615,0.28,0.5135821985186501,0.0,0.503168297512131,0.230700527344224,0.0,0.0,0.0,0.0,5
