,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,title_song,you_rank_g
19,5,Dance,summer,female,K_POP,Group,203,24,62.0,31.8,5620000.0,-0.093811857,3.2,0.0,0.0,0.0,0.0,False,3
20,2,Dance,summer,female,K_POP,Group,203,24,60.0,30.3,0.0,-0.093811857,3.2,0.0,0.0,0.0,0.0,True,10
21,7,Dance,fall,female,K_POP,Group,203,24,46.0,8.7,4390000.0,-0.020120957,2.7,0.0,0.0,0.0,0.0,False,4
22,6,Dance,fall,female,K_POP,Group,203,24,66.0,24.4,5580000.0,-0.020120957,2.8,0.0,0.0,0.0,0.0,False,3
23,2,Dance,summer,female,K_POP,Group,203,24,46.0,19.2,0.0,-0.093811857,3.9,0.0,0.0,0.0,0.0,True,10
24,10,All,winter,female,K_POP,Group,211,26,43.0,3.1,3600000.0,0.02199335,8.2,0.0,0.0,0.0,0.0,True,4
25,7,All,winter,female,K_POP,Group,211,26,59.0,4.9,7540000.0,0.02199335,0.7,0.0,0.0,0.0,0.0,True,1
26,10,All,spring,female,K_POP,Group,211,26,60.0,3.5,3400000.0,-0.087906286,10.4,0.0,0.0,0.0,0.0,True,5
27,4,All,winter,female,K_POP,Group,211,26,64.0,3.5,7550000.0,0.02199335,0.8,0.0,0.0,0.0,0.0,True,2
28,10,All,spring,female,K_POP,Group,211,26,41.0,2.5,3060000.0,-0.087906286,4.0,0.0,0.0,0.0,0.0,True,5
29,10,All,spring,female,K_POP,Group,211,26,44.0,3.3,0.0,-0.087906286,4.9,0.0,0.0,0.0,0.0,True,10
30,5,All,winter,female,K_POP,Group,211,26,53.0,2.5,6600000.0,0.02199335,1.6,0.0,0.0,0.0,0.0,True,2
31,2,All,fall,female,K_POP,Group,211,26,79.0,5.2,15300000.0,-0.007575758,2.2,0.0,0.0,0.0,0.0,True,1
32,6,All,winter,female,K_POP,Group,211,26,45.0,2.3,6050000.0,0.02199335,1.5,0.0,0.0,0.0,0.0,True,1
33,6,All,winter,female,K_POP,Group,211,26,74.0,3.3,5450000.0,0.02199335,3.0,0.0,0.0,0.0,0.0,True,2
34,10,All,spring,female,K_POP,Group,211,26,38.0,2.2,3010000.0,-0.087906286,6.5,0.0,0.0,0.0,0.0,True,5
35,10,All,spring,female,K_POP,Group,211,26,40.0,4.8,5010000.0,-0.087906286,9.7,0.0,0.0,0.0,0.0,True,3
36,7,All,winter,female,K_POP,Group,211,26,60.0,2.9,4880000.0,0.02199335,13.9,0.0,0.0,0.0,0.0,True,2
37,10,All,fall,female,K_POP,Group,211,26,97.0,9.2,12600000.0,-0.007575758,2.0,0.0,0.0,0.0,0.0,True,1
38,6,All,winter,female,K_POP,Group,211,26,37.0,1.8,5910000.0,0.02199335,4.9,0.0,0.0,0.0,0.0,True,2
39,7,All,winter,female,K_POP,Group,211,26,85.0,3.3,5070000.0,0.02199335,6.1,0.0,0.0,0.0,0.0,True,3
40,3,All,fall,female,K_POP,Group,211,26,60.0,3.7,9480000.0,-0.007575758,8.2,0.0,0.0,0.0,0.0,True,1
41,10,All,fall,female,K_POP,Group,211,26,57.0,9.3,20500000.0,-0.007575758,1.6,0.0,0.0,0.0,0.0,True,1
42,7,All,winter,female,K_POP,Group,211,26,61.0,2.2,4980000.0,0.02199335,13.6,0.0,0.0,0.0,0.0,True,2
43,10,All,spring,female,K_POP,Group,211,26,70.0,7.3,0.0,-0.087906286,0.0,0.0,0.0,0.0,0.0,False,10
44,6,All,winter,female,K_POP,Group,211,26,58.0,5.5,6070000.0,0.02199335,3.5,0.0,0.0,0.0,0.0,True,1
45,8,All,winter,female,K_POP,Group,211,26,51.0,2.3,4790000.0,0.02199335,8.7,0.0,0.0,0.0,0.0,True,3
46,10,All,spring,female,K_POP,Group,211,26,65.0,8.2,3890000.0,-0.087906286,0.0,0.0,0.0,0.0,0.0,False,4
47,9,All,winter,female,K_POP,Group,211,26,59.0,3.4,4390000.0,0.02199335,5.0,0.0,0.0,0.0,0.0,True,3
48,3,All,fall,female,K_POP,Group,211,26,55.0,4.3,13300000.0,-0.007575758,3.7,0.0,0.0,0.0,0.0,True,1
49,10,All,spring,female,K_POP,Group,211,26,78.0,12.4,4910000.0,-0.087906286,6.0,0.0,0.0,0.0,0.0,False,3
50,2,Dance,spring,female,K_POP,Group,196,3,70.0,7.3,0.0,0.012953573000000001,3.1,0.0,0.0,0.0,0.0,True,10
51,10,Dance,spring,female,K_POP,Group,196,3,78.0,12.4,16600000.0,0.012953573000000001,4.1,0.0,0.0,0.0,0.0,True,1
52,2,Dance,spring,female,K_POP,Group,196,3,65.0,8.2,13200000.0,0.012953573000000001,3.0,0.0,0.0,0.0,0.0,True,1
53,10,Dance,spring,female,K_POP,Group,198,14,13.0,2.0,4620000.0,0.012953573000000001,1.6,0.0,0.0,0.0,0.0,True,3
54,6,Dance,spring,female,K_POP,Group,198,14,30.0,2.0,5640000.0,0.012953573000000001,1.5,0.0,0.0,0.0,0.0,True,2
55,9,Dance,spring,female,K_POP,Group,198,14,23.0,1.8,4140000.0,0.012953573000000001,1.4,0.0,0.0,0.0,0.0,True,3
56,8,Dance,spring,female,K_POP,Group,198,14,17.0,1.9,4640000.0,0.012953573000000001,1.8,0.0,0.0,0.0,0.0,True,3
57,10,Dance,spring,female,K_POP,Group,198,14,26.0,1.6,3710000.0,0.012953573000000001,1.4,0.0,0.0,0.0,0.0,True,4
58,3,Dance,spring,female,K_POP,Group,198,14,21.0,4.1,14200000.0,0.012953573000000001,2.5,0.0,0.0,0.0,0.0,True,1
59,2,Dance,spring,female,K_POP,Group,198,14,53.0,3.9,15100000.0,0.012953573000000001,3.6,0.0,0.0,0.0,0.0,True,1
60,10,Dance,spring,female,K_POP,Group,198,14,20.0,1.5,3890000.0,0.012953573000000001,1.3,0.0,0.0,0.0,0.0,True,3
61,4,Dance,spring,female,K_POP,Group,198,14,30.0,1.7,9260000.0,0.012953573000000001,2.0,0.0,0.0,0.0,0.0,True,1
62,10,Dance,spring,female,K_POP,Group,198,14,10.0,0.8,3020000.0,0.012953573000000001,1.3,0.0,0.0,0.0,0.0,True,5
63,5,Dance,spring,female,K_POP,Group,198,14,7.0,1.8,7500000.0,0.012953573000000001,1.7,0.0,0.0,0.0,0.0,True,2
64,3,Dance,spring,female,K_POP,Group,198,14,37.0,2.1,14700000.0,0.012953573000000001,2.2,0.0,0.0,0.0,0.0,True,1
65,10,Dance,spring,female,K_POP,Group,198,14,34.0,1.5,3700000.0,0.012953573000000001,1.3,0.0,0.0,0.0,0.0,True,3
66,10,Dance,winter,female,K_POP,Group,198,14,100.0,9.4,20900000.0,0.111252801,3.4,0.0,0.0,0.0,0.0,True,1
67,5,Rap/Hiphop,summer,female,K_POP,Group,207,16,35.0,1.3,8980000.0,0.049246414,2.8,0.0,0.0,0.0,0.0,True,2
68,4,Rap/Hiphop,summer,female,K_POP,Group,207,16,47.0,1.5,10700000.0,0.049246414,2.1,0.0,0.0,0.0,0.0,True,2
69,8,Rap/Hiphop,summer,female,K_POP,Group,207,16,10.0,1.6,5820000.0,0.049246414,1.7,0.0,0.0,0.0,0.0,True,3
70,7,Rap/Hiphop,summer,female,K_POP,Group,207,16,27.0,1.1,5230000.0,0.049246414,1.4,0.0,0.0,0.0,0.0,True,2
71,10,Rap/Hiphop,fall,female,K_POP,Group,207,16,44.0,6.7,4890000.0,-0.00050109,1.5,0.0,0.0,0.0,0.0,True,3
72,10,Rap/Hiphop,fall,female,K_POP,Group,207,16,44.0,6.5,5790000.0,-0.00050109,1.7,0.0,0.0,0.0,0.0,True,3
73,7,Rap/Hiphop,summer,female,K_POP,Group,207,16,56.0,2.1,15100000.0,0.049246414,1.5,0.0,0.0,0.0,0.0,True,1
74,10,Rap/Hiphop,fall,female,K_POP,Group,207,16,41.0,7.3,4370000.0,-0.00050109,1.5,0.0,0.0,0.0,0.0,True,3
75,10,Rap/Hiphop,fall,female,K_POP,Group,207,16,59.0,6.5,4920000.0,-0.00050109,1.8,0.0,0.0,0.0,0.0,True,3
76,10,Rap/Hiphop,fall,female,K_POP,Group,207,16,50.0,7.4,5080000.0,-0.00050109,1.4,0.0,0.0,0.0,0.0,True,3
77,7,Rap/Hiphop,summer,female,K_POP,Group,207,16,31.0,1.2,5960000.0,0.049246414,1.9,0.0,0.0,0.0,0.0,True,2
78,4,Rap/Hiphop,summer,female,K_POP,Group,207,16,46.0,1.6,12300000.0,0.049246414,1.4,0.0,0.0,0.0,0.0,True,1
79,9,Rap/Hiphop,summer,female,K_POP,Group,207,16,19.0,2.8,4860000.0,0.049246414,1.4,0.0,0.0,0.0,0.0,True,3
80,10,Rap/Hiphop,fall,female,K_POP,Group,207,16,35.0,3.4,4000000.0,-0.00050109,1.2,0.0,0.0,0.0,0.0,True,3
81,10,Rap/Hiphop,summer,female,K_POP,Group,207,16,52.0,3.2,1200000.0,0.049246414,1.8,0.0,0.0,0.0,0.0,True,1
82,6,Rap/Hiphop,summer,female,K_POP,Group,207,16,18.0,1.3,7010000.0,0.049246414,1.8,0.0,0.0,0.0,0.0,True,2
83,10,All,fall,female,K_POP,Group,257,1,41.0,7.1,0.0,-0.007575758,2.5,0.0,0.0,0.0,0.0,True,10
84,10,Dance,winter,female,K_POP,Group,206,26,25.0,7.3,0.0,0.111252801,2.1,0.0,0.0,0.0,0.0,True,10
85,10,Dance,winter,female,K_POP,Group,206,26,22.0,1.9,0.0,0.111252801,1.9,0.0,0.0,0.0,0.0,True,10
86,10,Dance,winter,female,K_POP,Group,206,26,26.0,2.2,0.0,0.111252801,2.7,0.0,0.0,0.0,0.0,True,10
87,5,Dance,fall,female,K_POP,Group,206,26,28.0,9.7,0.0,-0.020120957,1.9,0.0,0.0,0.0,0.0,True,10
88,10,Dance,winter,female,K_POP,Group,206,26,17.0,1.8,0.0,0.111252801,2.7,0.0,0.0,0.0,0.0,True,10
89,3,Dance,fall,female,K_POP,Group,206,26,35.0,8.5,0.0,-0.020120957,2.9,0.0,0.0,0.0,0.0,True,10
90,2,Dance,fall,female,K_POP,Group,206,26,58.0,11.1,0.0,-0.020120957,4.6,0.0,0.0,0.0,0.0,True,10
91,8,Dance,fall,female,K_POP,Group,206,26,43.0,4.6,0.0,-0.020120957,2.8,0.0,0.0,0.0,0.0,True,10
92,10,Dance,summer,female,K_POP,Group,206,26,80.0,100.0,0.0,-0.093811857,9.1,0.0,0.0,0.0,0.0,True,10
93,10,Dance,winter,female,K_POP,Group,206,26,23.0,2.7,0.0,0.111252801,3.0,0.0,0.0,0.0,0.0,True,10
94,3,Dance,fall,female,K_POP,Group,206,26,21.0,8.8,0.0,-0.020120957,12.9,0.0,0.0,0.0,0.0,True,10
95,10,Dance,spring,female,K_POP,Group,206,26,53.0,3.9,0.0,0.012953573000000001,3.6,0.0,0.0,0.0,0.0,False,10
96,1,Dance,fall,female,K_POP,Group,206,26,53.0,27.4,0.0,-0.020120957,100.0,0.0,0.0,0.0,0.0,True,10
97,10,Dance,winter,female,K_POP,Group,206,26,17.0,2.0,0.0,0.111252801,1.8,0.0,0.0,0.0,0.0,True,10
98,10,Dance,spring,female,K_POP,Group,206,26,21.0,4.1,0.0,0.012953573000000001,2.5,0.0,0.0,0.0,0.0,False,10
99,2,Dance,fall,female,K_POP,Group,206,26,46.0,8.7,0.0,-0.020120957,2.7,0.0,0.0,0.0,0.0,True,10
100,1,Dance,summer,female,K_POP,Group,206,26,62.0,31.8,0.0,-0.093811857,3.2,0.0,0.0,0.0,0.0,True,10
101,6,Dance,fall,female,K_POP,Group,206,26,75.0,18.7,0.0,-0.020120957,2.5,0.0,0.0,0.0,0.0,True,10
102,10,Dance,winter,female,K_POP,Group,206,26,21.0,1.5,0.0,0.111252801,2.6,0.0,0.0,0.0,0.0,True,10
103,2,Dance,fall,female,K_POP,Group,206,26,25.0,14.5,0.0,-0.020120957,3.1,0.0,0.0,0.0,0.0,True,10
104,1,Dance,fall,female,K_POP,Group,206,26,66.0,24.4,0.0,-0.020120957,2.8,0.0,0.0,0.0,0.0,True,10
105,10,Dance,winter,female,K_POP,Group,206,26,100.0,9.4,0.0,0.111252801,3.4,0.0,0.0,0.0,0.0,False,10
106,7,Dance,fall,female,K_POP,Group,206,26,37.0,7.8,0.0,-0.020120957,3.6,0.0,0.0,0.0,0.0,True,10
107,10,Dance,winter,female,K_POP,Group,206,26,14.0,1.4,0.0,0.111252801,3.4,0.0,0.0,0.0,0.0,True,10
108,2,Dance,summer,female,K_POP,Group,206,26,88.0,65.2,0.0,-0.093811857,4.4,0.0,0.0,0.0,0.0,True,10
109,5,Dance,fall,female,K_POP,Group,206,26,27.0,5.6,0.0,-0.020120957,2.0,0.0,0.0,0.0,0.0,True,10
110,6,Drama,fall,male,OST,Solo,237,5,44.0,7.5,1930000.0,-0.107448559,31.6,0.0,0.0,0.0,0.0,False,7
111,8,Drama,fall,male,OST,Solo,237,5,46.0,5.5,1750000.0,-0.107448559,34.7,0.0,0.0,0.0,0.0,False,9
112,4,Drama,fall,male,OST,Solo,237,5,41.0,7.2,1570000.0,-0.107448559,27.1,0.0,0.0,0.0,0.0,False,9
113,7,Drama,fall,male,OST,Solo,237,5,62.0,5.3,2290000.0,-0.107448559,30.6,0.0,0.0,0.0,0.0,False,7
114,10,Drama,fall,male,OST,Solo,237,5,100.0,8.0,1900000.0,-0.107448559,27.4,0.0,0.0,0.0,0.0,False,8
115,10,Indi,spring,male,K_POP,Solo,207,1,37.0,9.7,0.0,-0.013079333,26.0,0.0,0.0,0.0,0.0,False,10
116,3,Indi,spring,male,K_POP,Solo,231,21,30.0,6.1,0.0,-0.013079333,33.2,0.0,0.0,0.0,0.0,True,10
117,7,Indi,spring,male,K_POP,Solo,231,21,18.0,7.4,0.0,-0.013079333,39.6,0.0,0.0,0.0,0.0,True,10
118,9,Indi,spring,male,K_POP,Solo,231,21,49.0,5.2,0.0,-0.013079333,41.4,0.0,0.0,0.0,0.0,True,10
119,2,Indi,spring,male,K_POP,Solo,231,21,54.0,6.0,0.0,-0.013079333,31.3,0.0,0.0,0.0,0.0,True,10
120,1,Indi,spring,male,K_POP,Solo,231,21,33.0,6.3,0.0,-0.013079333,37.8,0.0,0.0,0.0,0.0,True,10
121,10,Indi,summer,male,K_POP,Solo,231,21,23.0,5.3,0.0,-0.021088711,32.8,0.0,0.0,0.0,0.0,True,10
122,4,Indi,spring,male,K_POP,Solo,231,21,32.0,4.4,0.0,-0.013079333,32.5,0.0,0.0,0.0,0.0,True,10
123,10,Indi,spring,male,K_POP,Solo,231,21,37.0,9.7,0.0,-0.013079333,26.0,0.0,0.0,0.0,0.0,True,10
124,7,Indi,spring,male,K_POP,Solo,231,21,29.0,7.0,0.0,-0.013079333,36.3,0.0,0.0,0.0,0.0,True,10
125,10,Indi,summer,male,K_POP,Solo,231,21,17.0,3.3,0.0,-0.021088711,29.4,0.0,0.0,0.0,0.0,True,10
126,10,Indi,summer,male,K_POP,Solo,231,21,40.0,5.9,0.0,-0.021088711,25.3,0.0,0.0,0.0,0.0,False,10
127,10,Indi,summer,male,K_POP,Solo,231,21,26.0,4.1,0.0,-0.021088711,26.9,0.0,0.0,0.0,0.0,True,10
128,10,Indi,summer,male,K_POP,Solo,231,21,47.0,3.4,0.0,-0.021088711,29.8,0.0,0.0,0.0,0.0,True,10
129,10,Indi,summer,male,K_POP,Solo,231,21,27.0,4.9,0.0,-0.021088711,26.9,0.0,0.0,0.0,0.0,True,10
130,3,Indi,spring,male,K_POP,Solo,231,21,24.0,5.6,0.0,-0.013079333,27.0,0.0,0.0,0.0,0.0,True,10
131,6,Indi,spring,male,K_POP,Solo,231,21,24.0,4.0,0.0,-0.013079333,23.6,0.0,0.0,0.0,0.0,True,10
132,9,Indi,summer,male,K_POP,Solo,231,21,25.0,4.5,0.0,-0.021088711,31.4,0.0,0.0,0.0,0.0,True,10
133,10,Indi,summer,male,K_POP,Solo,231,21,35.0,4.0,0.0,-0.021088711,29.1,0.0,0.0,0.0,0.0,True,10
134,2,Indi,spring,male,K_POP,Solo,231,21,50.0,6.6,0.0,-0.013079333,56.6,0.0,0.0,0.0,0.0,True,10
135,6,Indi,spring,male,K_POP,Solo,231,21,24.0,5.3,0.0,-0.013079333,25.5,0.0,0.0,0.0,0.0,True,10
136,8,Indi,spring,male,K_POP,Solo,231,21,46.0,6.9,0.0,-0.013079333,41.0,0.0,0.0,0.0,0.0,True,10
137,6,Drama,fall,male,OST,Solo,211,41,27.0,4.2,0.0,-0.107448559,5.7,0.0,0.0,0.0,0.0,True,10
138,10,Drama,spring,male,OST,Solo,211,41,31.0,5.3,0.0,0.054730459,24.6,0.0,0.0,0.0,0.0,True,10
139,3,Drama,fall,male,OST,Solo,211,41,25.0,8.8,0.0,-0.107448559,28.1,0.0,0.0,0.0,0.0,True,10
140,2,Drama,fall,male,OST,Solo,211,41,53.0,11.3,0.0,-0.107448559,21.3,0.0,0.0,0.0,0.0,True,10
141,10,Drama,spring,male,OST,Solo,211,41,32.0,5.0,0.0,0.054730459,12.0,0.0,0.0,0.0,0.0,True,10
142,5,Drama,fall,male,OST,Solo,211,41,35.0,3.8,0.0,-0.107448559,4.8,0.0,0.0,0.0,0.0,True,10
143,3,Drama,fall,male,OST,Solo,211,41,42.0,8.3,0.0,-0.107448559,15.3,0.0,0.0,0.0,0.0,True,10
144,6,Drama,winter,male,OST,Solo,211,41,33.0,5.6,0.0,0.077400497,3.8,0.0,0.0,0.0,0.0,True,10
145,2,Drama,summer,male,OST,Solo,211,41,38.0,33.8,0.0,-0.085889516,27.2,0.0,0.0,0.0,0.0,True,10
146,8,Drama,winter,male,OST,Solo,211,41,26.0,8.7,0.0,0.077400497,5.8,0.0,0.0,0.0,0.0,True,10
147,4,Drama,fall,male,OST,Solo,211,41,20.0,5.9,0.0,-0.107448559,8.3,0.0,0.0,0.0,0.0,True,10
148,2,Drama,fall,male,OST,Solo,211,41,27.0,7.8,0.0,-0.107448559,7.0,0.0,0.0,0.0,0.0,True,10
149,10,Drama,spring,male,OST,Solo,211,41,27.0,5.2,0.0,0.054730459,9.2,0.0,0.0,0.0,0.0,True,10
150,8,Drama,winter,male,OST,Solo,211,41,15.0,3.8,0.0,0.077400497,100.0,0.0,0.0,0.0,0.0,True,10
151,10,Drama,summer,male,OST,Solo,211,41,40.0,5.9,0.0,-0.085889516,4.3,0.0,0.0,0.0,0.0,True,10
152,2,Drama,summer,male,OST,Solo,211,41,22.0,5.7,0.0,-0.085889516,5.1,0.0,0.0,0.0,0.0,True,10
153,5,Drama,fall,male,OST,Solo,211,41,27.0,3.5,0.0,-0.107448559,6.7,0.0,0.0,0.0,0.0,True,10
154,8,Drama,winter,male,OST,Solo,211,41,33.0,4.4,0.0,0.077400497,15.1,0.0,0.0,0.0,0.0,True,10
155,4,Drama,fall,male,OST,Solo,211,41,30.0,5.1,0.0,-0.107448559,8.2,0.0,0.0,0.0,0.0,True,10
156,8,Drama,winter,male,OST,Solo,211,41,32.0,4.0,0.0,0.077400497,12.9,0.0,0.0,0.0,0.0,True,10
157,10,Drama,spring,male,OST,Solo,211,41,22.0,5.0,0.0,0.054730459,9.4,0.0,0.0,0.0,0.0,True,10
158,10,Drama,spring,male,OST,Solo,211,41,25.0,5.8,0.0,0.054730459,12.7,0.0,0.0,0.0,0.0,True,10
159,10,Drama,winter,male,OST,Solo,211,41,23.0,4.2,0.0,0.077400497,28.6,0.0,0.0,0.0,0.0,True,10
160,10,Drama,spring,male,OST,Solo,211,41,32.0,6.4,0.0,0.054730459,9.2,0.0,0.0,0.0,0.0,True,10
161,3,Drama,fall,male,OST,Solo,211,41,25.0,6.7,0.0,-0.107448559,10.7,0.0,0.0,0.0,0.0,True,10
162,7,Drama,winter,male,OST,Solo,211,41,42.0,3.9,0.0,0.077400497,12.6,0.0,0.0,0.0,0.0,True,10
163,8,Drama,winter,male,OST,Solo,211,41,13.0,6.5,0.0,0.077400497,15.1,0.0,0.0,0.0,0.0,True,10
164,10,Drama,summer,male,OST,Solo,211,41,27.0,4.9,0.0,-0.085889516,4.9,0.0,0.0,0.0,0.0,True,10
165,8,Drama,winter,male,OST,Solo,211,41,35.0,4.3,0.0,0.077400497,13.0,0.0,0.0,0.0,0.0,True,10
166,8,Drama,winter,male,OST,Solo,211,41,29.0,4.9,0.0,0.077400497,6.7,0.0,0.0,0.0,0.0,True,10
167,8,Drama,winter,male,OST,Solo,211,41,27.0,6.2,0.0,0.077400497,4.3,0.0,0.0,0.0,0.0,True,10
168,9,Drama,winter,male,OST,Solo,211,41,30.0,4.1,0.0,0.077400497,27.4,0.0,0.0,0.0,0.0,True,10
169,2,Drama,summer,male,OST,Solo,211,41,36.0,7.0,0.0,-0.085889516,11.6,0.0,0.0,0.0,0.0,True,10
170,4,Drama,fall,male,OST,Solo,211,41,17.0,4.6,0.0,-0.107448559,8.2,0.0,0.0,0.0,0.0,True,10
171,2,Drama,summer,male,OST,Solo,211,41,29.0,7.9,0.0,-0.085889516,73.3,0.0,0.0,0.0,0.0,True,10
172,2,Drama,summer,male,OST,Solo,211,41,25.0,9.3,0.0,-0.085889516,6.2,0.0,0.0,0.0,0.0,True,10
173,8,Drama,winter,male,OST,Solo,211,41,30.0,3.9,0.0,0.077400497,25.0,0.0,0.0,0.0,0.0,True,10
174,4,Drama,fall,male,OST,Solo,211,41,28.0,5.0,0.0,-0.107448559,11.0,0.0,0.0,0.0,0.0,True,10
175,10,Drama,spring,male,OST,Solo,211,41,33.0,6.6,0.0,0.054730459,10.7,0.0,0.0,0.0,0.0,True,10
176,5,Drama,fall,male,OST,Solo,211,41,56.0,4.2,0.0,-0.107448559,11.5,0.0,0.0,0.0,0.0,True,10
177,10,Drama,spring,male,OST,Solo,211,41,24.0,5.9,0.0,0.054730459,8.8,0.0,0.0,0.0,0.0,True,10
178,2,Indi,fall,male,K_POP,Solo,171,21,100.0,8.0,2390000.0,-0.016796606000000002,27.0,0.0,0.0,0.0,0.0,True,6
179,2,Indi,summer,male,K_POP,Solo,171,21,41.0,9.5,4870000.0,-0.021088711,34.7,0.0,0.0,0.0,0.0,True,3
180,2,Indi,fall,male,K_POP,Solo,171,21,41.0,7.2,1800000.0,-0.016796606000000002,33.7,0.0,0.0,0.0,0.0,True,9
181,10,Indi,summer,male,K_POP,Solo,171,21,38.0,11.4,4570000.0,-0.021088711,38.3,0.0,0.0,0.0,0.0,True,3
182,2,Indi,fall,male,K_POP,Solo,171,21,44.0,6.8,3450000.0,-0.016796606000000002,33.0,0.0,0.0,0.0,0.0,True,4
183,4,Indi,fall,male,K_POP,Solo,171,21,62.0,5.3,0.0,-0.016796606000000002,83.7,0.0,0.0,0.0,0.0,True,10
184,10,Indi,winter,male,K_POP,Solo,171,21,26.0,3.3,0.0,0.064638524,23.4,0.0,0.0,0.0,0.0,True,10
185,2,Indi,fall,male,K_POP,Solo,171,21,39.0,7.8,3190000.0,-0.016796606000000002,28.5,0.0,0.0,0.0,0.0,True,5
186,10,Indi,winter,male,K_POP,Solo,171,21,9.0,2.9,0.0,0.064638524,26.6,0.0,0.0,0.0,0.0,True,10
187,10,Indi,winter,male,K_POP,Solo,171,21,6.0,3.6,0.0,0.064638524,34.7,0.0,0.0,0.0,0.0,True,10
188,1,Indi,fall,male,K_POP,Solo,171,21,36.0,6.9,4090000.0,-0.016796606000000002,31.2,0.0,0.0,0.0,0.0,True,4
189,3,Indi,fall,male,K_POP,Solo,171,21,44.0,7.5,1400000.0,-0.016796606000000002,36.6,0.0,0.0,0.0,0.0,True,9
190,9,Indi,fall,male,K_POP,Solo,171,21,18.0,4.5,0.0,-0.016796606000000002,21.7,0.0,0.0,0.0,0.0,True,10
191,10,Indi,winter,male,K_POP,Solo,171,21,25.0,3.1,0.0,0.064638524,26.2,0.0,0.0,0.0,0.0,True,10
192,10,Indi,winter,male,K_POP,Solo,171,21,19.0,3.0,0.0,0.064638524,28.0,0.0,0.0,0.0,0.0,True,10
193,6,Indi,fall,male,K_POP,Solo,171,21,22.0,5.0,0.0,-0.016796606000000002,30.3,0.0,0.0,0.0,0.0,True,10
194,9,Indi,winter,male,K_POP,Solo,171,21,23.0,3.0,0.0,0.064638524,40.2,0.0,0.0,0.0,0.0,True,10
195,5,Indi,fall,male,K_POP,Solo,171,21,46.0,5.5,0.0,-0.016796606000000002,46.4,0.0,0.0,0.0,0.0,True,10
196,10,Indi,winter,male,K_POP,Solo,171,21,41.0,3.2,0.0,0.064638524,24.3,0.0,0.0,0.0,0.0,True,10
197,7,Indi,fall,male,K_POP,Solo,171,21,36.0,4.1,0.0,-0.016796606000000002,31.0,0.0,0.0,0.0,0.0,True,10
198,10,Indi,winter,male,K_POP,Solo,171,21,34.0,3.9,0.0,0.064638524,25.1,0.0,0.0,0.0,0.0,True,10
