rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
8,10,8,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.24,0.907,0,0.6968535468484371,0.075,0,0,0,0
7,10,10,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.3,0.491,0,0.5519303086234274,0.335,0,0,0,0
9,10,7,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.48,0.478,0,0.5519303086234274,0.16699999999999998,0,0,0,0
8,10,7,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.53,0.588,0,0.6968535468484371,0.106,0,0,0,0
7,10,9,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,1,0.88,0,0.39452528860234637,0.156,0,0,0,0
7,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.24,0.418,0,0.39452528860234637,0.344,0,0,0,0
10,10,9,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.28,0.282,0,0.5031682970704731,0.341,0,0,0,0
6,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.31,0.47700000000000004,0,0.39452528860234637,0.322,0,0,0,0
8,10,9,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.27,0.26,0,0.6968535468484371,0.124,0,0,0,0
7,10,7,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.25,0.513,0,0.5519303086234274,0.385,0,0,0,0
8,10,8,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.51,1,0,0.6968535468484371,0.111,0,0,0,0
7,10,8,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.27,0.7609999999999999,0,0.5031682970704731,0.368,0,0,0,0
9,10,9,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.35,0.345,0,0.5031682970704731,0.107,0,0,0,0
9,10,9,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.15,0.25,0,0.6968535468484371,0.27,0,0,0,0
