,artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
107,EXO,Universe,10,10,9,Ballad,spring,male,K_POP,Group,1,2018.5.13,0.704142012,0.259615385,0.19,0.5310814939999999,0.0,0.660567269,0.739838233,0.216301565,0.034672127999999997,0.010216486,0.0,9.34259786256566
108,Fitz & The Tantrums,HandClap,3,4,3,Pop,spring,mixed,POP,Band,1,2018.5.13,0.49408284,0.740384615,0.0,0.904168723,0.8293444790000001,0.529332838,0.688617734,0.0,0.0,0.0,0.0,4.164436334515273
109,iKON,사랑을 했다,1,10,1,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.13,0.5443786979999999,0.615384615,0.25,0.586777786,0.0,0.477571876,0.680335997,0.5183996989999999,0.158237303,0.023043165,0.0,2.2243252531548876
110,Imagine Dragons,Thunder,8,8,7,Rock,spring,male,POP,Group,1,2018.5.13,0.476331361,0.673076923,0.21,0.595276094,0.793430669,0.5092992129999999,0.693085501,0.0,0.0,0.0,0.0,7.079874634918951
111,Shawn Mendes,There`s Nothing Holdin` Me Back,8,10,7,Pop,spring,male,POP,Solo,1,2018.5.13,0.514792899,0.548076923,0.41,0.8392591620000001,0.0,0.529332838,0.9369490220000001,0.0,0.0,0.0,0.0,7.71134201595612
112,Sondia,어른,5,10,6,Drama,spring,female,OST,Solo,1,2018.5.13,0.689349112,0.096153846,0.68,0.992580254,0.0,0.613522263,0.910745224,0.0,0.0,0.0,0.602747636,5.693296142861158
113,The Chainsmokers,Closer,10,10,9,Pop,spring,male,POP,Duet,1,2018.5.13,0.650887574,0.663461538,0.25,0.869875354,0.0,0.529332838,0.777673975,0.0,0.0,0.0,0.0,9.229979158094208
114,TWICE,What is Love?,1,1,1,Dance,spring,female,K_POP,Group,1,2018.5.13,0.538461538,0.5,0.71,0.598036374,0.9425597520000001,0.551930308,0.45057145,0.0,0.0,0.0,0.0,1.1346752043087065
115,Wanna One,BOOMERANG,7,2,5,Dance,spring,male,K_POP,Group,1,2018.5.13,0.467455621,0.317307692,0.48,0.84238977,0.851227229,0.551930308,0.796577393,0.0,0.0,0.0,0.0,3.7950028036119647
116,WINNER,EVERYDAY,2,2,2,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.13,0.532544379,0.182692308,0.65,0.938093961,0.8570021459999999,0.477571876,0.680335997,0.0,0.0,0.0,0.0,2.771058950828433
