,name,production,distributor,artist,time,score,rank,name_artist,장르,런타임,성별,활동유형
18,북 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.22~2018.04.28,19805079,19,"배연서 ,북 ",가요 / 랩/힙합,03:33,남성,프로젝트
19,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018.04.22~2018.04.28,19763678,20,"청하,Roller Coaster",가요 / 댄스,03:33,여성,솔로
20,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2018.04.22~2018.04.28,19698580,21,"Fitz & The Tantrums,HandClap",POP / 팝,03:13,혼성,밴드
21,"모든 날, 모든 순간 ",SM Entertainment,Dreamus,폴킴,2018.04.22~2018.04.28,17870627,22,"폴킴,모든 날, 모든 순간 ",OST / 드라마,03:31,남성,솔로
22,Jenga ,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.22~2018.04.28,17767021,23,"헤이즈 ,Jenga ",가요 / R&B/소울,03:30,여성,솔로
23,어린 왕자 ,Stone Music Entertainment,Stone Music Entertainment,김하온,2018.04.22~2018.04.28,17709517,24,"김하온,어린 왕자 ",가요 / 랩/힙합,02:44,남성,프로젝트
24,Havana ,Syco Music/Epic,Sony Music,Camila Cabello,2018.04.22~2018.04.28,17617934,25,"Camila Cabello,Havana ",POP / 팝,03:37,여성,솔로
25,이로한 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.22~2018.04.28,17332268,26,"배연서 ,이로한 ",가요 / 랩/힙합,03:33,남성,프로젝트
26,花요일 ,SM Entertainment,Dreamus,EXO-CBX ,2018.04.22~2018.04.28,16782074,27,"EXO-CBX ,花요일 ",가요 / 댄스,03:20,남성,그룹
27,비행운,덕선레코드,미러볼뮤직,문문 ,2018.04.22~2018.04.28,16463274,28,"문문 ,비행운",가요 / 인디,02:59,남성,솔로
28,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018.04.22~2018.04.28,15824450,29,"레드벨벳,Bad Boy",가요 / 댄스,03:31,여성,그룹
29,이 별,뮤직웍스,지니뮤직,길구봉구,2018.04.22~2018.04.28,14750228,30,"길구봉구,이 별",가요 / 발라드,03:58,남성,그룹
30,BOOMERANG ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.22~2018.04.28,14338867,31,"Wanna One ,BOOMERANG ",가요 / 댄스,03:04,남성,그룹
31,눈사람,안테나뮤직,지니뮤직,정승환,2018.04.22~2018.04.28,13743931,32,"정승환,눈사람",가요 / 발라드,03:56,남성,솔로
32,instagram,Joombas Co Ltd & Universal Music,Universal Music,DEAN,2018.04.22~2018.04.28,13645766,33,"DEAN,instagram",가요 / R&B/소울,04:16,남성,솔로
33,밤이 되니까,냠냠엔터테인먼트,Stone Music Entertainment,펀치 ,2018.04.22~2018.04.28,13488265,34,"펀치 ,밤이 되니까",가요 / R&B/소울,03:26,여성,솔로
34,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈 ,2018.04.22~2018.04.28,13455910,35,"먼데이 키즈 ,가을 안부",가요 / 발라드,05:03,남성,솔로
35,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로 ,2018.04.22~2018.04.28,13407260,36,"닐로 ,넋두리",가요 / 발라드,05:07,남성,솔로
36,탓 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.04.22~2018.04.28,13336050,37,"이병재 ,탓 ",가요 / 랩/힙합,03:29,남성,솔로
37,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2018.04.22~2018.04.28,13151442,38,"아이유 ,밤편지",가요 / 발라드,04:13,여성,솔로
38,Heart Shaker,JYP Entertainment,Dreamus,TWICE,2018.04.22~2018.04.28,12776988,39,"TWICE,Heart Shaker",가요 / 댄스,03:07,여성,그룹
39,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018.04.22~2018.04.28,12770616,40,"Ed Sheeran,Shape of You",POP / 팝,03:54,남성,솔로
40,좋니,미스틱스토리,카카오 M,윤종신,2018.04.22~2018.04.28,12720743,41,"윤종신,좋니",가요 / 발라드,05:28,남성,솔로
41,그날의 너,울림 엔터테인먼트,카카오 M,러블리즈,2018.04.22~2018.04.28,12562585,42,"러블리즈,그날의 너",가요 / 댄스,03:15,여성,그룹
42,시차 ,AOMG,Stone Music Entertainment,우원재,2018.04.22~2018.04.28,12558887,43,"우원재,시차 ",가요 / 랩/힙합,03:16,남성,솔로
43,비도 오고 그래서 ,Stone Music Entertainment,Stone Music Entertainment,헤이즈 ,2018.04.22~2018.04.28,12441798,44,"헤이즈 ,비도 오고 그래서 ",가요 / 랩/힙합,03:25,여성,솔로
44,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2018.04.22~2018.04.28,12321144,45,"박원,all of my life",가요 / 발라드,04:09,남성,솔로
45,EASY ,RBW,카카오 M,휘인,2018.04.22~2018.04.28,11642378,46,"휘인,EASY ",가요 / R&B/소울,03:09,여성,솔로
46,내가 더 나빠,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.22~2018.04.28,11434725,47,"헤이즈 ,내가 더 나빠",가요 / R&B/소울,03:58,여성,솔로
47,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.04.22~2018.04.28,11401908,48,"방탄소년단,DNA",가요 / 랩/힙합,03:43,남성,그룹
48,눈 떠보니 이별이더라,메이저나인,카카오 M,포맨 ,2018.04.22~2018.04.28,11387692,49,"포맨 ,눈 떠보니 이별이더라",가요 / 발라드,04:43,남성,듀엣
49,LIKEY,JYP Entertainment,Dreamus,TWICE,2018.04.22~2018.04.28,11314757,50,"TWICE,LIKEY",가요 / 댄스,03:28,여성,그룹
50,#첫사랑,"쇼파르뮤직, 딩고뮤직",카카오 M,볼빨간사춘기,2018.04.22~2018.04.28,11305961,51,"볼빨간사춘기,#첫사랑",가요 / 인디,03:28,여성,솔로
51,결혼,Stone Music Entertainment,Stone Music Entertainment,문문 ,2018.04.22~2018.04.28,11047009,52,"문문 ,결혼",OST / 드라마,03:24,남성,솔로
52,Like It ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.22~2018.04.28,10930569,53,"배연서 ,Like It ",가요 / 전체,03:40,혼성,그룹
53,약속해요 ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.22~2018.04.28,10712304,54,"Wanna One ,약속해요 ",가요 / 댄스,03:41,남성,그룹
54,빨간 맛 ,SM Entertainment,Dreamus,레드벨벳,2018.04.22~2018.04.28,10706324,55,"레드벨벳,빨간 맛 ",가요 / 댄스,03:11,여성,그룹
55,REALLY REALLY,YG Entertainment,지니뮤직,WINNER,2018.04.22~2018.04.28,10645247,56,"WINNER,REALLY REALLY",가요 / 댄스,03:23,남성,그룹
56,그리워하다,큐브엔터테인먼트,카카오 M,비투비 ,2018.04.22~2018.04.28,10559631,57,"비투비 ,그리워하다",가요 / 발라드,03:57,남성,그룹
57,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.04.22~2018.04.28,10524800,58,"방탄소년단,봄날",가요 / 댄스,04:34,남성,그룹
58,주인공,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018.04.22~2018.04.28,10469949,59,"선미,주인공",가요 / 댄스,03:15,여성,솔로
59,"별, 그대 ",How엔터테인먼트,NHN벅스,황치열,2018.04.22~2018.04.28,10370854,60,"황치열,별, 그대 ",가요 / 발라드,03:53,남성,솔로
60,Stand By Your Man,Universal Music,Universal Music,Carla Bruni,2018.04.22~2018.04.28,10311764,61,"Carla Bruni,Stand By Your Man",POP / 팝,02:44,여성,솔로
61,짙어져,스페이스오디티,카카오 M,멜로망스,2018.04.22~2018.04.28,10289324,62,"멜로망스,짙어져",OST / 드라마,04:38,남성,듀엣
62,There`s Nothing Holdin` Me Back,"Island Records, a division of UMG Recordings, Inc.",Universal Music,Shawn Mendes,2018.04.22~2018.04.28,10136765,63,"Shawn Mendes,There`s Nothing Holdin` Me Back",POP / 팝,03:20,남성,솔로
63,미안해,브랜뉴뮤직,카카오 M,양다일,2018.04.22~2018.04.28,10048692,64,"양다일,미안해",가요 / R&B/소울,03:49,남성,솔로
64,Adios ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.22~2018.04.28,9996821,65,"김하온 ,Adios ",가요 / 랩/힙합,03:02,남성,솔로
65,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,에일리 ,2018.04.22~2018.04.28,9973699,66,"에일리 ,첫눈처럼 너에게 가겠다",OST / 드라마,03:50,여성,솔로
66,달리 ,브리지,NHN벅스,효린,2018.04.22~2018.04.28,9836153,67,"효린,달리 ",가요 / 랩/힙합,03:23,여성,솔로
67,Beautiful,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.22~2018.04.28,9822505,68,"Wanna One ,Beautiful",가요 / 발라드,03:17,남성,그룹
68,에너제틱 ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.22~2018.04.28,9806352,69,"Wanna One ,에너제틱 ",가요 / 댄스,03:09,남성,그룹
69,썸 탈꺼야,쇼파르뮤직,카카오 M,볼빨간사춘기,2018.04.22~2018.04.28,9732727,70,"볼빨간사춘기,썸 탈꺼야",가요 / 인디,03:01,여성,솔로
70,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2018.04.22~2018.04.28,9643395,71,"Imagine Dragons,Thunder",POP / 락,03:07,남성,그룹
71,노력,메이크어스엔터테인먼트,카카오 M,박원,2018.04.22~2018.04.28,9587575,72,"박원,노력",가요 / 발라드,04:23,남성,솔로
72,마지막처럼,YG Entertainment,지니뮤직,BLACKPINK,2018.04.22~2018.04.28,9201109,73,"BLACKPINK,마지막처럼",가요 / 댄스,03:33,여성,그룹
73,기억의 빈자리,"인넥스트트렌드, 롱플레이뮤직",Stone Music Entertainment,나얼,2018.04.22~2018.04.28,8925589,74,"나얼,기억의 빈자리",가요 / R&B/소울,04:38,남성,솔로
74,애쓰지 마요,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,박보람,2018.04.22~2018.04.28,8766442,75,"박보람,애쓰지 마요",가요 / 발라드,03:49,여성,솔로
75,나타나줘 ,AOMG,카카오 M,로꼬 ,2018.04.22~2018.04.28,8519004,76,"로꼬 ,나타나줘 ",가요 / 랩/힙합,03:47,남성,솔로
76,좋아,미스틱스토리,Stone Music Entertainment,"윤종신, 민서",2018.04.22~2018.04.28,8316275,77,"윤종신, 민서,좋아",가요 / 발라드,05:10,혼성,프로젝트
77,피카부 ,SM Entertainment,Dreamus,레드벨벳,2018.04.22~2018.04.28,8193847,78,"레드벨벳,피카부 ",가요 / 댄스,03:09,여성,그룹
78,바람이 불었으면 좋겠어,WS엔터테인먼트,카카오 M,길구봉구,2018.04.22~2018.04.28,7916965,79,"길구봉구,바람이 불었으면 좋겠어",가요 / R&B/소울,03:52,남성,그룹
79,AIR,YG Entertainment,지니뮤직,WINNER,2018.04.22~2018.04.28,7632137,80,"WINNER,AIR",가요 / 댄스,03:45,남성,그룹
80,Universe,SM Entertainment,Dreamus,EXO,2018.04.22~2018.04.28,7598444,81,"EXO,Universe",가요 / 발라드,04:24,남성,그룹
81,벚꽃 엔딩,Stone Music Entertainment,Stone Music Entertainment,버스커 버스커 ,2018.04.22~2018.04.28,7523586,82,"버스커 버스커 ,벚꽃 엔딩",가요 / 락,04:21,남성,밴드
82,어른,Stone Music Entertainment,Stone Music Entertainment,Sondia,2018.04.22~2018.04.28,7404276,83,"Sondia,어른",OST / 드라마,04:19,여성,솔로
83,바보야,플레이엠엔터테인먼트,카카오 M,허각,2018.04.22~2018.04.28,7381544,84,"허각,바보야",가요 / 발라드,04:24,남성,솔로
84,Closer ,"Disruptor Records, Columbia",Sony Music,The Chainsmokers,2018.04.22~2018.04.28,7280711,85,"The Chainsmokers,Closer ",POP / 팝,04:06,남성,듀엣
85,Young Wave ,Stone Music Entertainment,Stone Music Entertainment,오담률 ,2018.04.22~2018.04.28,7087296,86,"오담률 ,Young Wave ",가요 / 랩/힙합,03:14,남성,솔로
86,Graduation ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.22~2018.04.28,6977511,87,"김하온 ,Graduation ",가요 / 랩/힙합,03:15,남성,솔로
87,Playdate,SM Entertainment,Dreamus,EXO-CBX ,2018.04.22~2018.04.28,6931175,88,"EXO-CBX ,Playdate",가요 / 댄스,03:31,남성,그룹
88,폰서트,매직스트로베리사운드,카카오 M,10cm,2018.04.22~2018.04.28,6891099,89,"10cm,폰서트",가요 / 인디,03:18,남성,솔로
89,비,뉴런뮤직,NHN벅스,폴킴,2018.04.22~2018.04.28,6877568,90,"폴킴,비",가요 / R&B/소울,03:58,남성,솔로
90,"그때의 나, 그때의 우리",메이크어스엔터테인먼트,카카오 M,어반 자카파 ,2018.04.22~2018.04.28,6647354,91,"어반 자카파 ,그때의 나, 그때의 우리",가요 / R&B/소울,03:18,혼성,그룹
91,나의 사춘기에게,쇼파르뮤직,카카오 M,볼빨간사춘기,2018.04.22~2018.04.28,6553431,92,"볼빨간사춘기,나의 사춘기에게",가요 / 인디,03:43,여성,솔로
92,팔레트 ,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2018.04.22~2018.04.28,6448628,93,"아이유 ,팔레트 ",가요 / 발라드,03:38,여성,솔로
93,너 없는 시간들,"Stone Music Entertainment, B2M Entertainment",Stone Music Entertainment,다비치,2018.04.22~2018.04.28,6444483,94,"다비치,너 없는 시간들",가요 / 발라드,04:33,여성,듀엣
94,내일해,바나나컬쳐,Sony Music,EXID,2018.04.22~2018.04.28,6371992,95,"EXID,내일해",가요 / 댄스,03:11,여성,그룹
95,봄 사랑 벚꽃 말고,엔에이피엔터테인먼트,카카오 M,"HIGH4, 아이유",2018.04.22~2018.04.28,6274067,96,"HIGH4, 아이유 ,봄 사랑 벚꽃 말고",가요 / 락,02:48,여성,솔로
96,가시나,"메이크어스엔터테인먼트, The Black Label",카카오 M,선미,2018.04.22~2018.04.28,6173572,97,"선미,가시나",가요 / 댄스,03:00,여성,솔로
97,내일 만나 ,SM Entertainment,Dreamus,EXO-CBX ,2018.04.22~2018.04.28,6133719,98,"EXO-CBX ,내일 만나 ",가요 / 댄스,03:07,남성,그룹
98,Vroom Vroom,SM Entertainment,Dreamus,EXO-CBX ,2018.04.22~2018.04.28,6121737,99,"EXO-CBX ,Vroom Vroom",가요 / 댄스,02:46,남성,그룹
99,괜찮냐고,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.22~2018.04.28,6115688,100,"헤이즈 ,괜찮냐고",가요 / R&B/소울,03:51,여성,솔로
100,주지마,한국방송공사,카카오 M,"로꼬, 화사",2018.04.29~2018.05.05,56251614,1,"로꼬, 화사,주지마",가요 / 발라드,03:52,혼성,프로젝트
101,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로 ,2018.04.29~2018.05.05,40061510,2,"닐로 ,지나오다",가요 / 발라드,04:41,남성,솔로
102,What is Love?,JYP Entertainment,Dreamus,TWICE,2018.04.29~2018.05.05,37568014,3,"TWICE,What is Love?",가요 / 댄스,03:28,여성,그룹
103,You,JTBC,인터파크,멜로망스,2018.04.29~2018.05.05,35736267,4,"멜로망스,You",가요 / 발라드,04:32,남성,듀엣
104,별 시 ,글러브엔터테인먼트,Stone Music Entertainment,박효신,2018.04.29~2018.05.05,34769251,5,"박효신,별 시 ",가요 / 발라드,04:42,남성,솔로
105,욕심,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.04.29~2018.05.05,33944821,6,"멜로망스,욕심",가요 / 인디,04:01,남성,듀엣
106,붕붕 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.29~2018.05.05,33374361,7,"김하온 ,붕붕 ",가요 / 랩/힙합,03:55,남성,솔로
107,사랑을 했다 ,YG Entertainment,지니뮤직,iKON,2018.04.29~2018.05.05,30029191,8,"iKON,사랑을 했다 ",가요 / 랩/힙합,03:30,남성,그룹
108,밤 ,쏘스뮤직,카카오 M,여자친구 ,2018.04.29~2018.05.05,28606419,9,"여자친구 ,밤 ",가요 / 댄스,03:47,여성,그룹
109,별이 빛나는 밤,RBW,카카오 M,마마무 ,2018.04.29~2018.05.05,28508134,10,"마마무 ,별이 빛나는 밤",가요 / 댄스,03:31,여성,그룹
110,잊을만하면,아메바컬쳐,Stone Music Entertainment,크러쉬 ,2018.04.29~2018.05.05,27256117,11,"크러쉬 ,잊을만하면",가요 / R&B/소울,03:57,남성,솔로
111,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드 ,2018.04.29~2018.05.05,25811750,12,"모모랜드 ,뿜뿜",가요 / 댄스,03:29,여성,그룹
112,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018.04.29~2018.05.05,25683015,13,"빅뱅,꽃 길",가요 / 트로트,03:18,여성,솔로
113,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018.04.29~2018.05.05,24814510,14,"이수,My Way",OST / 드라마,04:39,남성,솔로
114,바코드 ,Stone Music Entertainment,Stone Music Entertainment,김하온 ,2018.04.29~2018.05.05,24802543,15,"김하온 ,바코드 ",가요 / 랩/힙합,03:43,남성,프로젝트
115,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018.04.29~2018.05.05,23790977,16,"WINNER,EVERYDAY",가요 / 랩/힙합,03:26,남성,그룹
116,그날처럼,리메즈,카카오 M,장덕철,2018.04.29~2018.05.05,23675327,17,"장덕철,그날처럼",가요 / 발라드,03:53,남성,그룹
117,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018.04.29~2018.05.05,21744959,18,"로이킴,그때 헤어지면 돼",가요 / 발라드,04:09,남성,솔로
118,소나기 ,어라운드 어스,카카오 M,용준형,2018.04.29~2018.05.05,21633995,19,"용준형,소나기 ",가요 / 랩/힙합,03:25,남성,솔로
119,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018.04.29~2018.05.05,20092052,20,"멜로망스,선물",가요 / 인디,04:21,남성,듀엣
120,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018.04.29~2018.05.05,19667287,21,"청하,Roller Coaster",가요 / 댄스,03:33,여성,솔로
121,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2018.04.29~2018.05.05,19422006,22,"Fitz & The Tantrums,HandClap",POP / 팝,03:13,혼성,밴드
122,전혀 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.04.29~2018.05.05,18017020,23,"이병재 ,전혀 ",가요 / 랩/힙합,03:41,남성,솔로
123,북 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.29~2018.05.05,17809197,24,"배연서 ,북 ",가요 / 랩/힙합,03:33,남성,프로젝트
124,Havana ,Syco Music/Epic,Sony Music,Camila Cabello,2018.04.29~2018.05.05,17530448,25,"Camila Cabello,Havana ",POP / 팝,03:37,여성,솔로
125,"모든 날, 모든 순간 ",SM Entertainment,Dreamus,폴킴,2018.04.29~2018.05.05,17365045,26,"폴킴,모든 날, 모든 순간 ",OST / 드라마,03:31,남성,솔로
126,Jenga ,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2018.04.29~2018.05.05,16179262,27,"헤이즈 ,Jenga ",가요 / R&B/소울,03:30,여성,솔로
127,비행운,덕선레코드,미러볼뮤직,문문 ,2018.04.29~2018.05.05,15922036,28,"문문 ,비행운",가요 / 인디,02:59,남성,솔로
128,어린 왕자 ,Stone Music Entertainment,Stone Music Entertainment,김하온,2018.04.29~2018.05.05,15863186,29,"김하온,어린 왕자 ",가요 / 랩/힙합,02:44,남성,프로젝트
129,花요일 ,SM Entertainment,Dreamus,EXO-CBX ,2018.04.29~2018.05.05,15248456,30,"EXO-CBX ,花요일 ",가요 / 댄스,03:20,남성,그룹
130,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018.04.29~2018.05.05,15221082,31,"레드벨벳,Bad Boy",가요 / 댄스,03:31,여성,그룹
131,이 별,뮤직웍스,지니뮤직,길구봉구,2018.04.29~2018.05.05,14134661,32,"길구봉구,이 별",가요 / 발라드,03:58,남성,그룹
132,이로한 ,Stone Music Entertainment,Stone Music Entertainment,배연서 ,2018.04.29~2018.05.05,13591458,33,"배연서 ,이로한 ",가요 / 랩/힙합,03:33,남성,프로젝트
133,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로 ,2018.04.29~2018.05.05,13545568,34,"닐로 ,넋두리",가요 / 발라드,05:07,남성,솔로
134,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈 ,2018.04.29~2018.05.05,13441152,35,"먼데이 키즈 ,가을 안부",가요 / 발라드,05:03,남성,솔로
135,My Paradise ,H1GHR MUSIC,카카오 M,GroovyRoom ,2018.04.29~2018.05.05,13429600,36,"GroovyRoom ,My Paradise ",가요 / 랩/힙합,03:25,남성,그룹
136,BOOMERANG ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2018.04.29~2018.05.05,13412739,37,"Wanna One ,BOOMERANG ",가요 / 댄스,03:04,남성,그룹
137,instagram,Joombas Co Ltd & Universal Music,Universal Music,DEAN,2018.04.29~2018.05.05,13200856,38,"DEAN,instagram",가요 / R&B/소울,04:16,남성,솔로
138,밤이 되니까,냠냠엔터테인먼트,Stone Music Entertainment,펀치 ,2018.04.29~2018.05.05,13028452,39,"펀치 ,밤이 되니까",가요 / R&B/소울,03:26,여성,솔로
139,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2018.04.29~2018.05.05,12981884,40,"아이유 ,밤편지",가요 / 발라드,04:13,여성,솔로
140,눈사람,안테나뮤직,지니뮤직,정승환,2018.04.29~2018.05.05,12962123,41,"정승환,눈사람",가요 / 발라드,03:56,남성,솔로
141,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018.04.29~2018.05.05,12927477,42,"Ed Sheeran,Shape of You",POP / 팝,03:54,남성,솔로
142,Heart Shaker,JYP Entertainment,Dreamus,TWICE,2018.04.29~2018.05.05,12845957,43,"TWICE,Heart Shaker",가요 / 댄스,03:07,여성,그룹
143,좋니,미스틱스토리,카카오 M,윤종신,2018.04.29~2018.05.05,12327375,44,"윤종신,좋니",가요 / 발라드,05:28,남성,솔로
144,시차 ,AOMG,Stone Music Entertainment,우원재,2018.04.29~2018.05.05,12317708,45,"우원재,시차 ",가요 / 랩/힙합,03:16,남성,솔로
145,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2018.04.29~2018.05.05,11883651,46,"박원,all of my life",가요 / 발라드,04:09,남성,솔로
146,비도 오고 그래서 ,Stone Music Entertainment,Stone Music Entertainment,헤이즈 ,2018.04.29~2018.05.05,11695472,47,"헤이즈 ,비도 오고 그래서 ",가요 / 랩/힙합,03:25,여성,솔로
147,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018.04.29~2018.05.05,11597536,48,"방탄소년단,DNA",가요 / 랩/힙합,03:43,남성,그룹
148,LIKEY,JYP Entertainment,Dreamus,TWICE,2018.04.29~2018.05.05,11383264,49,"TWICE,LIKEY",가요 / 댄스,03:28,여성,그룹
149,탓 ,Stone Music Entertainment,Stone Music Entertainment,이병재 ,2018.04.29~2018.05.05,11179681,50,"이병재 ,탓 ",가요 / 랩/힙합,03:29,남성,솔로
150,눈 떠보니 이별이더라,메이저나인,카카오 M,포맨 ,2018.04.29~2018.05.05,11086685,51,"포맨 ,눈 떠보니 이별이더라",가요 / 발라드,04:43,남성,듀엣
151,결혼,Stone Music Entertainment,Stone Music Entertainment,문문 ,2018.04.29~2018.05.05,11008890,52,"문문 ,결혼",OST / 드라마,03:24,남성,솔로
152,빨간 맛 ,SM Entertainment,Dreamus,레드벨벳,2018.04.29~2018.05.05,10995423,53,"레드벨벳,빨간 맛 ",가요 / 댄스,03:11,여성,그룹
153,REALLY REALLY,YG Entertainment,지니뮤직,WINNER,2018.04.29~2018.05.05,10927412,54,"WINNER,REALLY REALLY",가요 / 댄스,03:23,남성,그룹
154,#첫사랑,"쇼파르뮤직, 딩고뮤직",카카오 M,볼빨간사춘기,2018.04.29~2018.05.05,10802601,55,"볼빨간사춘기,#첫사랑",가요 / 인디,03:28,여성,솔로
