st_day,dc_total_numb,dc_mean_reccomend,dc_mean_views,artist
2019-10-20,1004,1.4109589041095891,113.01791359325605,2NE1
2019-10-27,651,3.0475409836065572,209.18688524590164,2NE1
2019-11-03,350,3.366336633663366,217.24752475247524,2NE1
2019-11-10,482,2.312087912087912,130.66813186813187,2NE1
2019-11-17,530,1.731006160164271,101.37987679671458,2NE1
2019-11-24,495,1.8788546255506609,97.88766519823788,2NE1
2019-12-01,1588,2.205862758161226,103.35509660226516,2NE1
2019-12-08,1615,3.475496688741722,103.03245033112583,2NE1
2019-12-15,22,1.3333333333333333,315.22222222222223,2NE1
2019-12-22,2,3,328.5,2NE1
2019-12-29,1,0,653,2NE1
2020-01-05,3,3,541.3333333333334,2NE1
2020-01-12,3,8,1190,2NE1
2020-02-16,1,0,147,2NE1
2020-04-12,2,3.5,163,2NE1
2020-04-26,1,7,159,2NE1
2018-01-21,49,0.02127659574468085,195.5531914893617,2PM
2019-11-24,1,0,387,2PM
2018-03-25,43,0.125,64.475,AOA
2018-04-01,715,0.791907514450867,129.35260115606937,AOA
2018-04-08,770,0.4913494809688581,104.76124567474048,AOA
2018-04-15,716,0.5955249569707401,102.37865748709122,AOA
2018-04-22,614,0.7765726681127982,122.07809110629067,AOA
2018-04-29,522,1.0083798882681565,123.6536312849162,AOA
2018-05-06,729,0.7145421903052065,102.46140035906643,AOA
2018-05-13,1267,1.2417685794920037,107.68767638758231,AOA
2018-05-20,2909,1.3978159126365055,123.96671866874675,AOA
2018-05-27,8534,1.1304154302670624,75.08456973293768,AOA
2018-06-03,1172,1.234920634920635,107.5079365079365,AOA
2018-06-10,1053,1.0375302663438257,95.99878934624698,AOA
2018-06-17,1497,0.5801282051282052,55.00721153846154,AOA
2018-06-24,650,1.6835699797160244,122.94523326572008,AOA
2018-07-01,711,1.4314159292035398,149.9070796460177,AOA
2018-07-08,705,0.6660714285714285,99.43214285714286,AOA
2018-07-15,854,0.6869300911854104,81.25683890577507,AOA
2018-07-22,667,0.852,87.9,AOA
2018-07-29,637,1.002375296912114,89.7458432304038,AOA
2018-08-05,1604,0.3143459915611814,46.91209563994374,AOA
2018-08-12,509,0.9137466307277629,93.7601078167116,AOA
2018-08-19,420,0.8679245283018868,100.79559748427673,AOA
2018-08-26,516,1.1328320802005012,105.58897243107769,AOA
2018-09-02,222,1.5359477124183007,134.90196078431373,AOA
2018-09-09,393,1.534136546184739,124.7429718875502,AOA
2018-09-16,767,0.524451939291737,56.709949409780776,AOA
2018-09-23,260,3.0661157024793386,213.58677685950414,AOA
2018-09-30,198,2.6941176470588237,295.45882352941175,AOA
2018-10-07,207,0.968,162.192,AOA
2018-10-14,243,2.418181818181818,187.63636363636363,AOA
2018-10-21,239,2.539325842696629,196.4494382022472,AOA
2018-10-28,148,2.9382716049382718,233.35802469135803,AOA
2018-11-04,148,2.4479166666666665,173.38541666666666,AOA
2018-11-11,175,1.0303030303030303,193.57575757575756,AOA
2018-11-18,244,1.0125,149.59375,AOA
2018-11-25,184,3.556701030927835,184.8041237113402,AOA
2018-12-02,168,2.823529411764706,165.14705882352942,AOA
2018-12-09,148,3.7010309278350517,189.57731958762886,AOA
2018-12-16,282,3.7267080745341614,181.9503105590062,AOA
2018-12-23,186,6.0246913580246915,296.18518518518516,AOA
2018-12-30,613,0.9578947368421052,62.36421052631579,AOA
2019-01-06,616,0.4793388429752066,33.65702479338843,AOA
2019-01-13,157,4.656716417910448,145.32835820895522,AOA
2019-01-20,123,3.3676470588235294,239.41176470588235,AOA
2019-01-27,195,2.3300970873786406,297.77669902912623,AOA
2019-02-03,91,5.542857142857143,607.4,AOA
2019-02-10,133,2.6491228070175437,201.52631578947367,AOA
2019-02-17,186,5.337662337662338,237.3896103896104,AOA
2019-02-24,135,5.514285714285714,634.3428571428572,AOA
2019-03-03,125,4.224489795918367,430.46938775510205,AOA
2019-03-10,133,4.173913043478261,382.3478260869565,AOA
2019-03-17,105,7.277777777777778,444.94444444444446,AOA
2019-03-24,39,9.84,255.52,AOA
2019-03-31,84,6.923076923076923,909.8076923076923,AOA
2019-04-07,97,7.5,224.025,AOA
2019-04-14,72,5,180.90625,AOA
2019-04-21,129,5.741379310344827,171.68965517241378,AOA
2019-04-28,76,7,214.93333333333334,AOA
2019-05-05,142,3.325301204819277,100.26506024096386,AOA
2019-05-12,303,4.181818181818182,276.8881118881119,AOA
2019-05-19,101,7.733333333333333,203.63333333333333,AOA
2019-05-26,105,9.208333333333334,190.875,AOA
2019-06-02,200,6.8076923076923075,173.46153846153845,AOA
2019-06-09,75,5.794117647058823,145.61764705882354,AOA
2019-06-16,123,3.9863013698630136,100.31506849315069,AOA
2019-06-23,48,6.16,196.48,AOA
2019-06-30,178,0.18518518518518517,29.007407407407406,AOA
2019-07-07,62,2.066666666666667,149.26666666666668,AOA
2019-07-14,49,2.4166666666666665,133.66666666666666,AOA
2019-07-21,296,0.6666666666666666,93.29468599033817,AOA
2019-07-28,197,0.6428571428571429,115.45,AOA
2019-08-04,167,1.208695652173913,72.66956521739131,AOA
2019-08-11,88,3.0555555555555554,274.75,AOA
2019-08-18,76,4.6875,248.3125,AOA
2019-08-25,116,3,266.05,AOA
2019-09-01,233,5.584795321637427,247.35672514619884,AOA
2019-09-08,554,3.536764705882353,203.15441176470588,AOA
2019-09-15,492,2.2711864406779663,168.80225988700565,AOA
2019-09-22,310,1.6192660550458715,139.22018348623854,AOA
2019-09-29,675,0.8900414937759336,121.74273858921161,AOA
2019-10-06,211,1.856115107913669,138.46043165467626,AOA
2019-10-13,202,1.5486111111111112,137.49305555555554,AOA
2019-10-20,798,0.7360114777618364,46.294117647058826,AOA
2019-10-27,655,1.3650793650793651,82.45679012345678,AOA
2019-11-03,997,2.2279129321382842,110.15749039692702,AOA
2019-11-10,1026,1.6848989298454222,121.10939357907253,AOA
2019-11-17,1193,2.144467213114754,120.26229508196721,AOA
2019-11-24,5996,0.41534536176416986,30.201020594131585,AOA
2019-12-01,1559,3.583081570996979,171.84516616314198,AOA
2019-12-08,559,2.1540130151843817,166.50759219088937,AOA
2019-12-15,375,2.2083333333333335,160.58333333333334,AOA
2019-12-22,401,3.381877022653722,210.67961165048544,AOA
2019-12-29,1307,0.4706814580031696,43.46038034865293,AOA
2020-01-05,1045,0.46893787575150303,36.4689378757515,AOA
2020-01-12,221,2.2815533980582523,110.89805825242719,AOA
2020-01-19,214,2.3045685279187818,101.79187817258884,AOA
2020-01-26,241,2.0865384615384617,113.90384615384616,AOA
2020-02-02,164,1.9351851851851851,96.61111111111111,AOA
2020-02-09,66,2.54,125.64,AOA
2020-02-16,37,0.7931034482758621,80.13793103448276,AOA
2020-02-23,71,1.0526315789473684,98.82456140350877,AOA
2020-03-01,104,0.8421052631578947,65.2421052631579,AOA
2020-03-08,35,6.269230769230769,162.5,AOA
2020-03-15,138,0.8412698412698413,51.8968253968254,AOA
2020-03-22,35,2.3214285714285716,120.89285714285714,AOA
2020-03-29,48,3.409090909090909,146.95454545454547,AOA
2020-04-05,38,6.769230769230769,147.30769230769232,AOA
2020-04-12,49,3.6341463414634148,120.46341463414635,AOA
2020-04-19,77,3.1475409836065573,65.72131147540983,AOA
2020-04-26,101,2.033333333333333,91.04444444444445,AOA
2020-05-03,119,1.1495327102803738,39.47663551401869,AOA
2018-03-25,33,0,40.9375,B.A.P
2018-04-01,163,0.08552631578947369,63.88157894736842,B.A.P
2018-04-08,77,0.06944444444444445,104,B.A.P
2018-04-15,608,0.03904923599320883,29.765704584040748,B.A.P
2018-04-22,63,1.206896551724138,387.7068965517241,B.A.P
2018-04-29,133,0.725,162.6,B.A.P
2018-05-06,76,4.109375,261.28125,B.A.P
2018-05-13,114,1.0092592592592593,143.90740740740742,B.A.P
2018-05-20,76,1.1290322580645162,444.06451612903226,B.A.P
2018-05-27,42,2.085714285714286,383.6,B.A.P
2018-06-03,84,0.40350877192982454,256.9298245614035,B.A.P
2018-06-10,81,0.10714285714285714,331.55357142857144,B.A.P
2018-06-17,62,0.057692307692307696,242.6346153846154,B.A.P
2018-06-24,250,0.17647058823529413,104.82352941176471,B.A.P
2018-07-01,50,0.6363636363636364,378.40909090909093,B.A.P
2018-07-08,30,1.4375,500.5625,B.A.P
2018-07-15,114,0.03529411764705882,203.78823529411764,B.A.P
2018-07-22,420,0.4246153846153846,295.23692307692306,B.A.P
2018-07-29,112,0.7111111111111111,449.9,B.A.P
2018-08-05,32,0.7241379310344828,573,B.A.P
2018-08-12,28,3.727272727272727,535.9545454545455,B.A.P
2018-08-19,53,1.5116279069767442,532.3255813953489,B.A.P
2018-08-26,26,6.260869565217392,647.0434782608696,B.A.P
2018-09-02,14,0.7692307692307693,550.0769230769231,B.A.P
2018-09-09,1196,4.04535864978903,510.74367088607596,B.A.P
2018-09-16,167,4.036697247706422,622.5321100917431,B.A.P
2018-09-23,88,3.0847457627118646,682.9152542372881,B.A.P
2018-09-30,66,2.236842105263158,694.5263157894736,B.A.P
2018-10-07,15,2.25,702.25,B.A.P
2018-10-14,17,3.7857142857142856,657.1428571428571,B.A.P
2018-10-21,67,5.35,612.525,B.A.P
2018-10-28,32,9.5,738.0769230769231,B.A.P
2018-11-04,76,1.621212121212121,317.24242424242425,B.A.P
2018-11-11,47,7.954545454545454,754.0454545454545,B.A.P
2018-11-18,11,3.1666666666666665,655,B.A.P
2018-11-25,49,0.5681818181818182,161.38636363636363,B.A.P
2018-12-02,26,2.1333333333333333,620.0666666666667,B.A.P
2018-12-09,31,3.411764705882353,675.6470588235294,B.A.P
2018-12-16,28,2,908.4545454545455,B.A.P
2018-12-23,53,1.5526315789473684,622.421052631579,B.A.P
2018-12-30,24,3.5454545454545454,554.3636363636364,B.A.P
2019-01-06,13,4.5,609.6,B.A.P
2019-01-13,14,0.2222222222222222,791.2222222222222,B.A.P
2019-01-20,19,5.105263157894737,699.8421052631579,B.A.P
2019-01-27,18,0.375,443.625,B.A.P
2019-02-03,17,0.8823529411764706,492,B.A.P
2019-02-10,6,0,644.8,B.A.P
2019-02-17,43,4.871794871794871,542.5897435897435,B.A.P
2019-02-24,119,11.577981651376147,612.6238532110092,B.A.P
2019-03-03,190,11.113924050632912,570.8481012658228,B.A.P
2019-03-10,64,9.020408163265307,692.3265306122449,B.A.P
2019-03-17,24,7.363636363636363,778.3181818181819,B.A.P
2019-03-24,10,16.6,975.7,B.A.P
2019-03-31,12,12,843.5555555555555,B.A.P
2019-04-07,19,10.947368421052632,771,B.A.P
2019-04-14,152,8.90677966101695,575.6271186440678,B.A.P
2019-04-21,64,13.5,766.2758620689655,B.A.P
2019-04-28,35,11.3,799.1,B.A.P
2019-05-05,33,13.178571428571429,713.3214285714286,B.A.P
2019-05-12,19,15.9375,1018.3125,B.A.P
2019-05-19,23,15.263157894736842,792.9473684210526,B.A.P
2019-05-26,105,15.632352941176471,683.1617647058823,B.A.P
2019-06-02,93,13.636363636363637,639.4242424242424,B.A.P
2019-06-09,32,16.72,754.96,B.A.P
2019-06-16,50,8.977777777777778,568.2,B.A.P
2019-06-23,59,6.0476190476190474,642.7380952380952,B.A.P
2019-06-30,11,2,574,B.A.P
2019-07-07,22,2.3333333333333335,744.3809523809524,B.A.P
2019-07-14,2,9.5,1013,B.A.P
2019-07-21,5,3.2,1073.4,B.A.P
2019-07-28,17,1.8571428571428572,516.3571428571429,B.A.P
2019-08-04,10,4.125,787.375,B.A.P
2019-08-11,6,0.6,448.4,B.A.P
2019-08-18,28,5.12,626.2,B.A.P
2019-08-25,8,8.125,902.375,B.A.P
2019-09-01,8,5.142857142857143,903,B.A.P
2019-09-08,8,4.25,572.375,B.A.P
2019-09-15,14,3.076923076923077,669.6153846153846,B.A.P
2019-09-22,23,3.35,572.15,B.A.P
2019-09-29,22,8,669.2857142857143,B.A.P
2019-10-06,39,10.971428571428572,497.7142857142857,B.A.P
2019-10-13,43,13.526315789473685,459.94736842105266,B.A.P
2019-10-20,49,11.869565217391305,552.1739130434783,B.A.P
2019-10-27,23,10.045454545454545,696.4090909090909,B.A.P
2019-11-03,28,13.115384615384615,594.5384615384615,B.A.P
2019-11-10,19,12.705882352941176,559.1764705882352,B.A.P
2019-11-17,32,11.620689655172415,570.1724137931035,B.A.P
2019-11-24,25,7.76,562.48,B.A.P
2019-12-01,11,12.181818181818182,772.8181818181819,B.A.P
2019-12-08,6,12.833333333333334,681,B.A.P
2019-12-15,11,18,849.2,B.A.P
2019-12-22,16,12.875,669.375,B.A.P
2019-12-29,13,21.636363636363637,885.7272727272727,B.A.P
2020-01-05,14,12.88888888888889,672.6666666666666,B.A.P
2020-01-12,5,14.2,730.4,B.A.P
2020-01-19,16,9.285714285714286,521.7142857142857,B.A.P
2020-01-26,11,11,564.125,B.A.P
2020-02-02,13,6,485.61538461538464,B.A.P
2020-02-09,8,1.5,397.8333333333333,B.A.P
2020-02-16,14,8.75,621,B.A.P
2020-02-23,14,3.375,514.625,B.A.P
2020-03-01,5,3.25,506,B.A.P
2020-03-08,14,10,694.1666666666666,B.A.P
2020-03-15,17,5.3,570,B.A.P
2020-03-22,8,2,602.4,B.A.P
2020-03-29,2,2,397.5,B.A.P
2020-04-05,11,13.666666666666666,574.8888888888889,B.A.P
2020-04-12,10,5.3,405.6,B.A.P
2020-04-19,7,11.428571428571429,474.2857142857143,B.A.P
2020-04-26,18,10.571428571428571,268.7142857142857,B.A.P
2020-05-03,7,3.5714285714285716,79.71428571428571,B.A.P
2018-03-25,37,0,73.07407407407408,B1A4
2018-04-01,565,1.2980392156862746,112.41372549019607,B1A4
2018-04-08,267,2.415525114155251,166.81278538812785,B1A4
2018-04-15,225,2.1968085106382977,153.9095744680851,B1A4
2018-04-22,1501,0.38490007401924503,66.38934122871947,B1A4
2018-04-29,375,1.2307692307692308,137.10256410256412,B1A4
2018-05-06,295,0.9193548387096774,125.87903225806451,B1A4
2018-05-13,287,0.2962962962962963,71.57613168724279,B1A4
2018-05-20,277,0.5276595744680851,98.94468085106384,B1A4
2018-05-27,250,2.3333333333333335,127.13333333333334,B1A4
2018-06-03,408,0.790633608815427,73.39669421487604,B1A4
2018-06-10,1260,0.30886075949367087,28.632067510548524,B1A4
2018-06-17,526,0.7530864197530864,71.53497942386831,B1A4
2018-06-24,437,1.3021148036253776,226.55287009063443,B1A4
2018-07-01,344,2.0245901639344264,252.63934426229508,B1A4
2018-07-08,249,3.1493506493506493,288.03246753246754,B1A4
2018-07-15,379,5.9071428571428575,197.65714285714284,B1A4
2018-07-22,433,3.6441176470588235,141.09411764705882,B1A4
2018-07-29,319,5.440476190476191,169.25,B1A4
2018-08-05,475,3.0936708860759494,135.80253164556962,B1A4
2018-08-12,1400,1.0440251572327044,48.75,B1A4
2018-08-19,556,2.5437881873727086,94.89613034623218,B1A4
2018-08-26,1543,0.49008498583569404,41.096317280453256,B1A4
2018-09-02,1439,1.1718395155185466,47.606358819076455,B1A4
2018-09-09,666,2.883882149046794,111.03292894280763,B1A4
2018-09-16,324,5.217741935483871,202.84274193548387,B1A4
2018-09-23,1059,1.1268191268191268,68.56340956340956,B1A4
2018-09-30,303,5.176,223.804,B1A4
2018-10-07,949,2.4576470588235293,84.21882352941176,B1A4
2018-10-14,328,7.825454545454545,171.79272727272726,B1A4
2018-10-21,280,4.170833333333333,111.75,B1A4
2018-10-28,461,3.6441558441558444,65.69350649350649,B1A4
2018-11-04,232,8.7363184079602,175.6318407960199,B1A4
2018-11-11,253,6.121827411167513,130.7715736040609,B1A4
2018-11-18,1137,0.884871550903901,41.52616555661275,B1A4
2018-11-25,190,6.371069182389937,210.2012578616352,B1A4
2018-12-02,213,4.790055248618785,158.64088397790056,B1A4
2018-12-09,939,0.7244546498277842,45.582089552238806,B1A4
2018-12-16,302,1.1273408239700375,96.15730337078652,B1A4
2018-12-23,164,1.8120300751879699,194.93233082706766,B1A4
2018-12-30,156,1.9672131147540983,146.172131147541,B1A4
2019-01-06,132,2.418181818181818,486.3909090909091,B1A4
2019-01-13,136,0.18699186991869918,151.14634146341464,B1A4
2019-01-20,782,0.41895604395604397,45.96840659340659,B1A4
2019-01-27,245,0.0319634703196347,144.73972602739727,B1A4
2019-02-03,93,1.4642857142857142,213.10714285714286,B1A4
2019-02-10,179,0.6573426573426573,218.37062937062936,B1A4
2019-02-17,74,1.9846153846153847,356.66153846153844,B1A4
2019-02-24,168,0.4583333333333333,128.8125,B1A4
2019-03-03,60,3.302325581395349,548.9767441860465,B1A4
2019-03-10,91,0.014084507042253521,263.9718309859155,B1A4
2019-03-17,679,0.02711323763955343,85.03668261562999,B1A4
2019-03-24,46,4.846153846153846,526.4871794871794,B1A4
2019-03-31,102,0.07058823529411765,352.6823529411765,B1A4
2019-04-07,63,1.607843137254902,122.94117647058823,B1A4
2019-04-14,70,1.3333333333333333,67.57142857142857,B1A4
2019-04-21,626,0.08191126279863481,18.64505119453925,B1A4
2019-04-28,73,0.2619047619047619,74.30952380952381,B1A4
2019-05-05,125,0.6635514018691588,39.4392523364486,B1A4
2019-05-12,501,0.04793028322440087,19.801742919389977,B1A4
2019-05-19,125,1.2840909090909092,86.88636363636364,B1A4
2019-05-26,83,4.024390243902439,108.82926829268293,B1A4
2019-06-02,1263,0.08298755186721991,13.599170124481327,B1A4
2019-06-09,78,0.35714285714285715,35.47142857142857,B1A4
2019-06-16,1136,0.09851301115241635,26.012081784386616,B1A4
2019-06-23,112,0.6132075471698113,52.5188679245283,B1A4
2019-06-30,169,2.331168831168831,59.81818181818182,B1A4
2019-07-07,69,3.4038461538461537,75.34615384615384,B1A4
2019-07-14,355,0.2823920265780731,23.33222591362126,B1A4
2019-07-21,138,0.3524590163934426,26.065573770491802,B1A4
2019-07-28,105,0.23529411764705882,27.558823529411764,B1A4
2019-08-04,50,0.45454545454545453,36,B1A4
2019-08-11,1007,0.05362776025236593,10.016824395373291,B1A4
2019-08-18,29,1.5185185185185186,82.81481481481481,B1A4
2019-08-25,87,0.4939759036144578,27.951807228915662,B1A4
2019-09-01,235,0.7162162162162162,32.130630630630634,B1A4
2019-09-08,22,6.571428571428571,124.61904761904762,B1A4
2019-09-15,5,0,43.6,B1A4
2019-09-22,50,0,49.204081632653065,B1A4
2019-09-29,1,0,424,B1A4
2019-10-06,41,3.15,138.275,B1A4
2019-10-13,42,2.658536585365854,43.170731707317074,B1A4
2019-10-20,285,0.08928571428571429,16.49642857142857,B1A4
2019-10-27,152,0.47651006711409394,88.97315436241611,B1A4
2019-11-03,18,0.5294117647058824,161.64705882352942,B1A4
2019-11-10,65,0.31746031746031744,46.98412698412698,B1A4
2019-11-17,29,4.6923076923076925,102.6923076923077,B1A4
2019-11-24,77,0.19480519480519481,62.116883116883116,B1A4
2019-12-01,82,0.24358974358974358,64.96153846153847,B1A4
2019-12-08,313,0.22297297297297297,105.23648648648648,B1A4
2019-12-15,134,0.1590909090909091,46.696969696969695,B1A4
2019-12-22,7,5.428571428571429,161.85714285714286,B1A4
2019-12-29,8,4.571428571428571,249.14285714285714,B1A4
2020-01-05,40,0.2,43.65,B1A4
2020-01-12,17,0.9411764705882353,89.70588235294117,B1A4
2020-01-19,60,0.10714285714285714,90,B1A4
2020-01-26,2,4.5,185.5,B1A4
2020-02-02,39,0.631578947368421,88.28947368421052,B1A4
2020-02-09,17,0.35714285714285715,136.21428571428572,B1A4
2020-02-16,26,0,53.84615384615385,B1A4
