주간,순위,song,name,lastweek_rank,지속기간,변경,조회수
20190906-20190912,26위,How about you(너는 어땠을까),Noel(노을),지난주 #30,39 weeks,12.4%,413K
20190906-20190912,27위,내 목소리 들리니,벤,지난주 #25,5 weeks,-0.9%,404K
20190906-20190912,28위,Violeta (비올레타),아이즈원,지난주 #27,24 weeks,0.5%,400K
20190906-20190912,29위,Another Day (먼데이 키즈(Monday Kiz) & 펀치),먼데이 키즈(Monday Kiz),지난주 #23,9 weeks,-6.8%,397K
20190906-20190912,30위,Devil,CLC(씨엘씨),--,1 week,--,396K
20190906-20190912,31위,Circles,Post Malone(포스트 말론),지난주 #37,2 weeks,21.2%,391K
20190906-20190912,32위,YES or YES,TWICE(트와이스),지난주 #29,45 weeks,-1.4%,369K
20190906-20190912,33위,Way Back Home,숀,지난주 #24,6 weeks,-13.5%,359K
20190906-20190912,34위,SOLO,제니,지난주 #36,43 weeks,6.4%,347K
20190906-20190912,35위,LATATA,(여자)아이들,--,29 weeks,--,339K
20190906-20190912,36위,Good Bye,휘인,지난주 #80,2 weeks,88%,336K
20190906-20190912,37위,La Vie en Rose,IZ*ONE (아이즈원),지난주 #34,46 weeks,2%,336K
20190906-20190912,38위,"AMBITION (feat. ASH ISLAND, 김효은, 해쉬 스완(Hash Swan) & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #47,11 weeks,22.7%,335K
20190906-20190912,39위,BUNGEE (Fall in Love),오마이걸(OH MY GIRL),지난주 #31,5 weeks,-6.1%,335K
20190906-20190912,40위,시든 꽃에 물을 주듯,박혜원(HYNN),지난주 #33,7 weeks,-3.3%,332K
20190906-20190912,41위,짧은 치마 (Miniskirt),AOA,--,31 weeks,--,327K
20190906-20190912,42위,내 안부,이우,지난주 #59,8 weeks,33.3%,327K
20190906-20190912,43위,벗,닐로,지난주 #35,3 weeks,-0.1%,326K
20190906-20190912,44위,Bad Boy,Red Velvet,지난주 #55,7 weeks,24.9%,321K
20190906-20190912,45위,All I Wanna Do [Korean Version],박재범(Jay Park),지난주 #58,22 weeks,26.1%,315K
20190906-20190912,46위,벌써 12시 (Gotta Go),청하,지난주 #39,37 weeks,-0.1%,315K
20190906-20190912,47위,무인도(Breaktime),Wootso,--,1 week,--,308K
20190906-20190912,48위,BIRTHDAY,전소미,지난주 #38,13 weeks,-6%,299K
20190906-20190912,49위,25,볼빨간사춘기,--,1 week,--,289K
20190906-20190912,50위,Rooftop (옥탑방),엔플라잉,--,29 weeks,--,288K
20190906-20190912,51위,Never ending,임창정,--,1 week,--,284K
20190906-20190912,52위,Forever Young,BLACKPINK,지난주 #57,4 weeks,12.3%,284K
20190906-20190912,53위,내 맘을 볼수 있나요,Lily,지난주 #52,4 weeks,6%,281K
20190906-20190912,54위,A Whole New World (미나 마수드 & 나오미 스콧),미나 마수드,지난주 #42,16 weeks,-6.9%,274K
20190906-20190912,55위,Senorita,(여자)아이들,--,21 weeks,--,274K
20190906-20190912,56위,Paris in the Rain,Lauv(라우브),--,22 weeks,--,272K
20190906-20190912,57위,친구로 지내자면서,황인욱 (Hwang In Wook),지난주 #53,11 weeks,0.5%,266K
20190906-20190912,58위,My love has faded away (사랑이 식었다고 말해도 돼),먼데이 키즈(Monday Kiz),지난주 #61,15 weeks,10.8%,261K
20190906-20190912,59위,눈 Snow (Lil tachi & HOTCHKISS),Lil tachi,--,21 weeks,--,257K
20190906-20190912,60위,그때가 좋았어 (The day was beautiful),케이시(Kassy),지난주 #43,16 weeks,-13%,256K
20190906-20190912,61위,BANANA CHACHA,모모랜드(MOMOLAND),지난주 #67,8 weeks,18.7%,255K
20190906-20190912,62위,Chica,청하,지난주 #46,8 weeks,-8.5%,253K
20190906-20190912,63위,HIT,세븐틴(SEVENTEEN),지난주 #45,5 weeks,-10.8%,251K
20190906-20190912,64위,짐살라빔 (Zimzalabim),Red Velvet,지난주 #41,12 weeks,-17.6%,249K
20190906-20190912,65위,꿈속에 너 (Feat. 전상근) (feat. 전상근),Jeon Sang Keun,지난주 #73,2 weeks,24.3%,242K
20190906-20190912,66위,다시 만날까 봐,V.O.S,지난주 #64,2 weeks,6.2%,238K
20190906-20190912,67위,기억하나요 내 모든 날과 그때를,거미,지난주 #84,6 weeks,31%,231K
20190906-20190912,68위,Howlin' 404,DEAN(딘),--,1 week,--,228K
20190906-20190912,69위,Can I Love ? (feat. youra),Cosmic Boy,지난주 #48,6 weeks,-16.8%,226K
20190906-20190912,70위,Fever(열대야),여자친구(GFRIEND),지난주 #56,10 weeks,-12.1%,224K
20190906-20190912,71위,BOOM,NCT DREAM,지난주 #69,7 weeks,9.3%,223K
20190906-20190912,72위,Panini,릴 나스 엑스,--,1 week,--,223K
20190906-20190912,73위,Story of night fall(가을밤 떠난 너),Kassy(케이시),--,1 week,--,216K
20190906-20190912,74위,We don't talk together (feat. 기리보이(Giriboy)),헤이즈(Heize),지난주 #51,10 weeks,-19.5%,215K
20190906-20190912,75위,'너에게 못했던 내 마지막 말은,다비치,지난주 #60,17 weeks,-11.8%,215K
20190906-20190912,76위,All about you (그대라는 시),태연(TAEYEON),지난주 #65,7 weeks,-5.7%,210K
20190906-20190912,77위,Sunflower (Post Malone(포스트 말론) & 스웨 리),Post Malone(포스트 말론),--,22 weeks,--,204K
20190906-20190912,78위,Earth,Lil Dicky(릴 디키),--,19 weeks,--,197K
20190906-20190912,79위,I'm So Hot,모모랜드(MOMOLAND),--,21 weeks,--,195K
20190906-20190912,80위,Cheap Thrills,Sia(시아),지난주 #82,6 weeks,9.7%,195K
20190906-20190912,81위,삐에로는 우릴 보고 웃지,김완선,지난주 #70,2 weeks,-3.3%,193K
20190906-20190912,82위,이뻐이뻐 (Pretty girl),크레파스 (crayon),지난주 #77,9 weeks,0%,185K
20190906-20190912,83위,비 (Rain),폴킴(Paul Kim),지난주 #92,28 weeks,18.9%,185K
20190906-20190912,84위,Goodbyes (feat. 영 서그),Post Malone(포스트 말론),지난주 #99,5 weeks,29.4%,184K
20190906-20190912,85위,make her dance (feat. Loopy & 크러쉬(Crush)),사이먼 도미닉,지난주 #63,3 weeks,-20.3%,182K
20190906-20190912,86위,Say Goodbye,송하예,--,1 week,--,182K
20190906-20190912,87위,I Don't Care (Ed Sheeran(에드 시런) & Justin Bieber(저스틴 비버)),Ed Sheeran(에드 시런),지난주 #78,18 weeks,-2.6%,178K
20190906-20190912,88위,나빠 (NAPPA),크러쉬(Crush),지난주 #72,3 weeks,-9.8%,177K
20190906-20190912,89위,Stay (Zedd(제드) & Alessia Cara(알레시아 카라)),Zedd(제드),--,22 weeks,--,177K
20190906-20190912,90위,The fifth season(다섯 번째 계절) (SSFWL),오마이걸(OH MY GIRL),지난주 #87,19 weeks,3.7%,176K
20190906-20190912,91위,스토커 (Stalker) (라이브),10cm(십센치),지난주 #95,17 weeks,15%,175K
20190906-20190912,92위,Selfmade Orange (feat. SUPERBEE),창모(CHANGMO),지난주 #68,11 weeks,-17.2%,174K
20190906-20190912,93위,방에 모기가 있어,10cm(십센치),지난주 #54,5 weeks,-33.3%,174K
20190906-20190912,94위,Thinking out Loud,Ed Sheeran(에드 시런),지난주 #89,8 weeks,4.1%,170K
20190906-20190912,95위,Rumor,국.슈 (국프의 핫이슈),지난주 #90,12 weeks,4.5%,170K
20190906-20190912,96위,관둬 (Quit),FTISLAND(에프티 아일랜드),--,1 week,--,164K
20190906-20190912,97위,Beautiful People (feat. Khalid(칼리드)),Ed Sheeran(에드 시런),지난주 #74,8 weeks,-15.6%,163K
20190906-20190912,98위,Sunday (feat. 헤이즈(Heize) & 박재범(Jay Park)),그루비룸,--,3 weeks,--,160K
20190906-20190912,99위,WINE (Prod. by SUGA) (feat. 창모(CHANGMO)),수란(Suran),--,15 weeks,--,159K
20190906-20190912,100위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,--,1 week,--,157K
20190830-20190905,1위,LALALAY(날라리),선미 (SUNMI),지난주 #3,23 weeks,39.6%,2.43M
20190830-20190905,2위,음파음파 Umpah Umpah,Red Velvet,지난주 #1,2 weeks,-36.6%,1.94M
20190830-20190905,3위,ICY,ITZY,지난주 #2,6 weeks,-27.8%,1.81M
20190830-20190905,4위,Phocha (포장마차),황인욱 (Hwang In Wook),지난주 #5,11 weeks,45.4%,1.6M
20190830-20190905,5위,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),마크툽(MAKTUB),지난주 #7,12 weeks,8.6%,1.03M
20190830-20190905,6위,FANCY,TWICE(트와이스),지난주 #6,20 weeks,3.5%,1.01M
20190830-20190905,7위,2002,Anne-Marie,지난주 #10,39 weeks,13.5%,1M
20190830-20190905,8위,Senorita (Shawn Mendes(션 멘데스) & Camila Cabello(카밀라 카베요)),Shawn Mendes(션 멘데스),지난주 #11,11 weeks,-0.1%,852K
20190830-20190905,9위,FLASH (엑스원),X1,지난주 #4,2 weeks,-27.7%,828K
20190830-20190905,10위,가라사대 (GOTTASADAE),BewhY(비와이),지난주 #16,6 weeks,23.7%,807K
20190830-20190905,11위,Boy With Luv (feat. Halsey(할시)),방탄소년단,지난주 #12,21 weeks,-7.7%,764K
20190830-20190905,12위,술이 문제야 (Drunk On Love) (장혜진 & 윤민수),장혜진,지난주 #20,11 weeks,21.2%,748K
20190830-20190905,13위,Snapping,청하,지난주 #13,10 weeks,-9.1%,741K
20190830-20190905,14위,Done For Me,펀치,지난주 #9,2 weeks,-19.7%,722K
20190830-20190905,15위,Kill This Love,BLACKPINK,지난주 #8,22 weeks,-29.9%,643K
20190830-20190905,16위,Lean On Me (나의 어깨에 기대어요),10cm(십센치),지난주 #19,7 weeks,1.3%,642K
20190830-20190905,17위,bad guy,빌리 아일리시,지난주 #15,23 weeks,-20.1%,595K
20190830-20190905,18위,달라달라(DALLA DALLA),ITZY,지난주 #17,30 weeks,-8.5%,586K
20190830-20190905,19위,다시 사랑한다면 (니글니글 버터플라이),김필 (Kim Feel),지난주 #24,6 weeks,13.5%,539K
20190830-20190905,20위,Speechless (Full),나오미 스콧,지난주 #18,15 weeks,-16.8%,531K
20190830-20190905,21위,Adios,EVERGLOW (에버글로우),지난주 #23,2 weeks,-1.9%,499K
20190830-20190905,22위,Uh-Oh,(여자)아이들,지난주 #21,10 weeks,-16.5%,486K
20190830-20190905,23위,Another Day (먼데이 키즈(Monday Kiz) & 펀치),먼데이 키즈(Monday Kiz),지난주 #25,8 weeks,-4%,426K
20190830-20190905,24위,Way Back Home,숀,지난주 #27,5 weeks,0%,415K
20190830-20190905,25위,내 목소리 들리니,벤,지난주 #31,4 weeks,4.6%,408K
20190830-20190905,26위,If there was practice in love(사랑에 연습이 있었다면),임재현,지난주 #34,23 weeks,18.7%,405K
20190830-20190905,27위,Violeta (비올레타),아이즈원,지난주 #28,23 weeks,-4%,397K
20190830-20190905,28위,So long,폴킴(Paul Kim),지난주 #42,2 weeks,18.6%,377K
20190830-20190905,29위,YES or YES,TWICE(트와이스),지난주 #26,44 weeks,-11.4%,374K
20190830-20190905,30위,How about you(너는 어땠을까),Noel(노을),지난주 #50,38 weeks,23.4%,367K
20190830-20190905,31위,BUNGEE (Fall in Love),오마이걸(OH MY GIRL),지난주 #32,4 weeks,-7.8%,357K
20190830-20190905,32위,Me After You (너를 만나),폴킴(Paul Kim),지난주 #43,44 weeks,11.6%,348K
20190830-20190905,33위,시든 꽃에 물을 주듯,박혜원(HYNN),지난주 #22,6 weeks,-33.1%,343K
20190830-20190905,34위,La Vie en Rose,IZ*ONE (아이즈원),지난주 #35,45 weeks,-3.2%,329K
20190830-20190905,35위,벗,닐로,지난주 #78,2 weeks,66.3%,326K
20190830-20190905,36위,SOLO,제니,--,42 weeks,--,326K
20190830-20190905,37위,Circles,Post Malone(포스트 말론),--,1 week,--,323K
20190830-20190905,38위,BIRTHDAY,전소미,지난주 #40,12 weeks,-1.3%,318K
20190830-20190905,39위,벌써 12시 (Gotta Go),청하,지난주 #45,36 weeks,1.8%,315K
20190830-20190905,40위,사랑 참,장윤정,지난주 #46,20 weeks,0.6%,307K
20190830-20190905,41위,짐살라빔 (Zimzalabim),Red Velvet,지난주 #33,11 weeks,-20.5%,302K
20190830-20190905,42위,A Whole New World (미나 마수드 & 나오미 스콧),미나 마수드,지난주 #36,15 weeks,-12.6%,294K
20190830-20190905,43위,그때가 좋았어 (The day was beautiful),케이시(Kassy),지난주 #67,15 weeks,25.5%,294K
20190830-20190905,44위,Right (feat. SOLE),브라운 아이드 소울(Brown Eyed Soul),--,1 week,--,290K
20190830-20190905,45위,HIT,세븐틴(SEVENTEEN),지난주 #53,4 weeks,-2.3%,281K
20190830-20190905,46위,Chica,청하,지난주 #49,7 weeks,-7.2%,277K
20190830-20190905,47위,"AMBITION (feat. ASH ISLAND, 김효은, 해쉬 스완(Hash Swan) & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #47,10 weeks,-9.5%,273K
20190830-20190905,48위,Can I Love ? (feat. youra),Cosmic Boy,지난주 #61,5 weeks,6.6%,272K
20190830-20190905,49위,BBIBBI(삐삐),아이유(IU),--,29 weeks,--,269K
20190830-20190905,50위,사계 (Four Seasons),태연(TAEYEON),--,23 weeks,--,268K
20190830-20190905,51위,We don't talk together (feat. 기리보이(Giriboy)),헤이즈(Heize),지난주 #77,9 weeks,34.1%,267K
20190830-20190905,52위,내 맘을 볼수 있나요,Lily,지난주 #51,3 weeks,-8.6%,266K
20190830-20190905,53위,친구로 지내자면서,황인욱 (Hwang In Wook),지난주 #60,10 weeks,2.4%,265K
20190830-20190905,54위,방에 모기가 있어,10cm(십센치),지난주 #41,4 weeks,-18.7%,261K
20190830-20190905,55위,Bad Boy,Red Velvet,지난주 #52,6 weeks,-11%,257K
20190830-20190905,56위,Fever(열대야),여자친구(GFRIEND),지난주 #48,9 weeks,-14.7%,255K
20190830-20190905,57위,Forever Young,BLACKPINK,지난주 #64,3 weeks,1.9%,253K
20190830-20190905,58위,All I Wanna Do [Korean Version],박재범(Jay Park),--,21 weeks,--,250K
20190830-20190905,59위,내 안부,이우,지난주 #29,7 weeks,-40.1%,245K
20190830-20190905,60위,'너에게 못했던 내 마지막 말은,다비치,지난주 #54,16 weeks,-11.2%,244K
20190830-20190905,61위,My love has faded away (사랑이 식었다고 말해도 돼),먼데이 키즈(Monday Kiz),지난주 #69,14 weeks,4.9%,235K
20190830-20190905,62위,Lover,Taylor Swift,지난주 #37,2 weeks,-31.6%,230K
20190830-20190905,63위,make her dance (feat. Loopy & 크러쉬(Crush)),사이먼 도미닉,지난주 #63,2 weeks,-8.4%,229K
20190830-20190905,64위,다시 만날까 봐,V.O.S,--,1 week,--,224K
20190830-20190905,65위,All about you (그대라는 시),태연(TAEYEON),지난주 #87,6 weeks,22.7%,223K
20190830-20190905,66위,1분 1초,"LEE HYEOP, HWANG YUN SEONG, JOO CHANG UK, KIM DONG YUN, KIM MIN SEO, LEE SUNG JUN(이협, 황윤성, 주창욱, 김동윤, 김민서, 이성준)",--,1 week,--,220K
20190830-20190905,67위,BANANA CHACHA,모모랜드(MOMOLAND),지난주 #70,7 weeks,-0.7%,215K
20190830-20190905,68위,Selfmade Orange (feat. SUPERBEE),창모(CHANGMO),지난주 #72,10 weeks,1.2%,210K
20190830-20190905,69위,BOOM,NCT DREAM,지난주 #74,6 weeks,0.5%,204K
20190830-20190905,70위,삐에로는 우릴 보고 웃지,김완선,--,1 week,--,199K
20190830-20190905,71위,U GOT IT,GOT U,지난주 #58,9 weeks,-26.2%,197K
20190830-20190905,72위,나빠 (NAPPA),크러쉬(Crush),지난주 #39,2 weeks,-40.7%,197K
20190830-20190905,73위,꿈속에 너 (Feat. 전상근) (feat. 전상근),Jeon Sang Keun,--,1 week,--,194K
20190830-20190905,74위,Beautiful People (feat. Khalid(칼리드)),Ed Sheeran(에드 시런),지난주 #99,7 weeks,24.9%,193K
20190830-20190905,75위,비가 내리는 날에는,윤하(Younha),지난주 #75,9 weeks,-5.3%,192K
20190830-20190905,76위,NOAH (feat. 박재범(Jay Park)),김하온(HAON),--,26 weeks,--,186K
20190830-20190905,77위,이뻐이뻐 (Pretty girl),--,--,1 week,--,185K
20190830-20190905,78위,I Don't Care (Ed Sheeran(에드 시런) & Justin Bieber(저스틴 비버)),Ed Sheeran(에드 시런),지난주 #73,17 weeks,-10%,182K
20190830-20190905,79위,내 안부,이우,--,1 week,--,179K
20190830-20190905,80위,Good Bye,휘인,--,1 week,--,179K
20190830-20190905,81위,"너에게 난, 나에게 넌",자전거 탄 풍경,--,2 weeks,--,178K
20190830-20190905,82위,Cheap Thrills,Sia(시아),지난주 #93,5 weeks,8.2%,178K
20190830-20190905,83위,"f*ck, i'm lonely (feat. Anne-Marie)",Lauv(라우브),지난주 #44,5 weeks,-43.2%,176K
20190830-20190905,84위,기억하나요 내 모든 날과 그때를,거미,지난주 #92,5 weeks,5.4%,176K
20190830-20190905,85위,Hwi hwi,라붐 (LABOUM),--,8 weeks,--,175K
20190830-20190905,86위,You&I 인사,멜로망스(MeloMance),지난주 #88,8 weeks,-3.7%,171K
20190830-20190905,87위,The fifth season(다섯 번째 계절) (SSFWL),오마이걸(OH MY GIRL),지난주 #80,18 weeks,-11%,170K
20190830-20190905,88위,I Like Me Better,Lauv(라우브),지난주 #38,3 weeks,-50.4%,165K
20190830-20190905,89위,Thinking out Loud,Ed Sheeran(에드 시런),지난주 #90,7 weeks,-4%,163K
20190830-20190905,90위,Rumor,국.슈 (국프의 핫이슈),지난주 #95,11 weeks,1.5%,163K
20190830-20190905,91위,이별하긴 하겠지 Unstable (feat. 김필 (Kim Feel) & 천단비),윤종신,지난주 #57,2 weeks,-39.4%,163K
20190830-20190905,92위,비 (Rain),폴킴(Paul Kim),--,27 weeks,--,155K
20190830-20190905,93위,Airplane,아이즈원,--,1 week,--,155K
20190830-20190905,94위,Boogie Up,우주소녀,지난주 #97,13 weeks,-2%,154K
20190830-20190905,95위,스토커 (Stalker) (라이브),10cm(십센치),--,16 weeks,--,152K
20190830-20190905,96위,Friend Like Me,윌 스미스,지난주 #81,4 weeks,-21.8%,147K
20190830-20190905,97위,BIM BAM BUM,Rocket Punch,지난주 #85,4 weeks,-19.9%,146K
20190830-20190905,98위,죽을 만큼 아파서 (Feat. 멜로우),MC 몽,--,8 weeks,--,145K
20190830-20190905,99위,Goodbyes (feat. 영 서그),Post Malone(포스트 말론),--,4 weeks,--,142K
20190830-20190905,100위,"비워 (Beer) (창모(CHANGMO), 해쉬 스완(Hash Swan), ASH ISLAND, 김효은, 릴러말즈(Leellamarz) & 더 콰이엇(The Quiett))",창모(CHANGMO),--,4 weeks,--,141K
20190823-20190829,1위,음파음파 Umpah Umpah,Red Velvet,--,1 week,--,3.06M
20190823-20190829,2위,ICY,ITZY,지난주 #1,5 weeks,2.6%,2.51M
20190823-20190829,3위,LALALAY(날라리),선미 (SUNMI),--,1 week,--,1.74M
20190823-20190829,4위,FLASH (엑스원),X1,--,1 week,--,1.15M
20190823-20190829,5위,Phocha (포장마차),황인욱 (Hwang In Wook),지난주 #3,10 weeks,15.5%,1.1M
20190823-20190829,6위,FANCY,TWICE(트와이스),지난주 #2,19 weeks,2.8%,978K
20190823-20190829,7위,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),마크툽(MAKTUB),지난주 #8,11 weeks,13.4%,947K
20190823-20190829,8위,Kill This Love,BLACKPINK,지난주 #13,21 weeks,39.8%,918K
20190823-20190829,9위,Done For Me,펀치,--,1 week,--,899K
20190823-20190829,10위,2002,Anne-Marie,지난주 #6,38 weeks,1.2%,883K
20190823-20190829,11위,Senorita (Shawn Mendes(션 멘데스) & Camila Cabello(카밀라 카베요)),Shawn Mendes(션 멘데스),지난주 #4,10 weeks,-9%,854K
20190823-20190829,12위,Boy With Luv (feat. Halsey(할시)),방탄소년단,지난주 #5,20 weeks,-6.4%,829K
20190823-20190829,13위,Snapping,청하,지난주 #7,9 weeks,-6.3%,815K
20190823-20190829,14위,헤어져줘서 고마워,Ben(벤),지난주 #9,8 weeks,-6.8%,772K
20190823-20190829,15위,bad guy,빌리 아일리시,지난주 #14,22 weeks,16%,745K
20190823-20190829,16위,가라사대 (GOTTASADAE),BewhY(비와이),지난주 #19,5 weeks,32%,652K
20190823-20190829,17위,달라달라(DALLA DALLA),ITZY,지난주 #11,29 weeks,-9.1%,641K
20190823-20190829,18위,Speechless (Full),나오미 스콧,지난주 #12,14 weeks,-3.3%,638K
20190823-20190829,19위,Lean On Me (나의 어깨에 기대어요),10cm(십센치),지난주 #15,6 weeks,15.2%,633K
20190823-20190829,20위,술이 문제야 (Drunk On Love) (장혜진 & 윤민수),장혜진,지난주 #10,10 weeks,-16.7%,617K
20190823-20190829,21위,Uh-Oh,(여자)아이들,지난주 #17,9 weeks,11.2%,582K
20190823-20190829,22위,시든 꽃에 물을 주듯,박혜원(HYNN),지난주 #16,5 weeks,-2.6%,513K
20190823-20190829,23위,Adios,EVERGLOW (에버글로우),--,1 week,--,508K
20190823-20190829,24위,다시 사랑한다면 (니글니글 버터플라이),김필 (Kim Feel),지난주 #23,5 weeks,10%,475K
20190823-20190829,25위,Another Day (먼데이 키즈(Monday Kiz) & 펀치),먼데이 키즈(Monday Kiz),지난주 #20,7 weeks,-5.2%,443K
20190823-20190829,26위,YES or YES,TWICE(트와이스),지난주 #29,43 weeks,18%,422K
20190823-20190829,27위,Way Back Home,숀,--,4 weeks,--,415K
20190823-20190829,28위,Violeta (비올레타),아이즈원,지난주 #24,22 weeks,-3.8%,414K
20190823-20190829,29위,내 안부,이우,지난주 #25,6 weeks,-3.9%,409K
20190823-20190829,30위,IDOL,방탄소년단,--,52 weeks,--,395K
20190823-20190829,31위,내 목소리 들리니,벤,지난주 #26,3 weeks,1.3%,390K
20190823-20190829,32위,BUNGEE (Fall in Love),오마이걸(OH MY GIRL),지난주 #22,3 weeks,-12%,387K
20190823-20190829,33위,짐살라빔 (Zimzalabim),Red Velvet,지난주 #18,10 weeks,-26.2%,380K
20190823-20190829,34위,If there was practice in love(사랑에 연습이 있었다면),임재현,지난주 #45,22 weeks,23.4%,341K
20190823-20190829,35위,La Vie en Rose,IZ*ONE (아이즈원),지난주 #28,44 weeks,-6.8%,340K
20190823-20190829,36위,A Whole New World (미나 마수드 & 나오미 스콧),미나 마수드,지난주 #30,14 weeks,-4.4%,337K
20190823-20190829,37위,Lover,Taylor Swift,--,1 week,--,336K
20190823-20190829,38위,I Like Me Better,Lauv(라우브),지난주 #97,2 weeks,137.2%,333K
20190823-20190829,39위,나빠 (NAPPA),크러쉬(Crush),--,1 week,--,332K
20190823-20190829,40위,BIRTHDAY,전소미,지난주 #33,11 weeks,-2.1%,322K
20190823-20190829,41위,방에 모기가 있어,10cm(십센치),지난주 #50,3 weeks,37.9%,321K
20190823-20190829,42위,So long,폴킴(Paul Kim),--,1 week,--,318K
20190823-20190829,43위,Me After You (너를 만나),폴킴(Paul Kim),지난주 #35,43 weeks,4.8%,312K
20190823-20190829,44위,"f*ck, i'm lonely (feat. Anne-Marie)",Lauv(라우브),지난주 #74,4 weeks,76.3%,310K
20190823-20190829,45위,벌써 12시 (Gotta Go),청하,지난주 #34,35 weeks,-1.7%,309K
20190823-20190829,46위,사랑 참,장윤정,지난주 #41,19 weeks,7%,305K
20190823-20190829,47위,"AMBITION (feat. ASH ISLAND, 김효은, 해쉬 스완(Hash Swan) & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #31,9 weeks,-11.8%,302K
20190823-20190829,48위,Fever(열대야),여자친구(GFRIEND),지난주 #58,8 weeks,36%,299K
20190823-20190829,49위,Chica,청하,지난주 #38,6 weeks,1.6%,298K
20190823-20190829,50위,How about you(너는 어땠을까),Noel(노을),지난주 #54,37 weeks,30.5%,298K
20190823-20190829,51위,내 맘을 볼수 있나요,Lily,지난주 #51,2 weeks,25.9%,291K
20190823-20190829,52위,Bad Boy,Red Velvet,--,5 weeks,--,289K
20190823-20190829,53위,HIT,세븐틴(SEVENTEEN),지난주 #27,3 weeks,-22.7%,288K
20190823-20190829,54위,'너에게 못했던 내 마지막 말은,다비치,지난주 #44,15 weeks,-1.7%,274K
20190823-20190829,55위,Shine(빛나리),펜타곤(PENTAGON),지난주 #96,26 weeks,90.6%,271K
20190823-20190829,56위,Shape of You,Ed Sheeran(에드 시런),--,53 weeks,--,269K
20190823-20190829,57위,이별하긴 하겠지 Unstable (feat. 김필 (Kim Feel) & 천단비),윤종신,--,1 week,--,268K
20190823-20190829,58위,U GOT IT,GOT U,지난주 #70,8 weeks,36.8%,267K
20190823-20190829,59위,니 소식,Ha Yea Song(송하예),지난주 #21,11 weeks,-40.5%,262K
20190823-20190829,60위,친구로 지내자면서,황인욱 (Hwang In Wook),지난주 #48,9 weeks,0.2%,258K
20190823-20190829,61위,Can I Love ? (feat. youra),Cosmic Boy,지난주 #63,4 weeks,22.2%,255K
20190823-20190829,62위,아모르 파티,김연자,--,39 weeks,--,254K
20190823-20190829,63위,make her dance (feat. Loopy & 크러쉬(Crush)),사이먼 도미닉,--,1 week,--,250K
20190823-20190829,64위,Forever Young,BLACKPINK,--,2 weeks,--,248K
20190823-20190829,65위,【임창정】'영화같네?..' 개그로 살벌하게 웃겨버리는 나창정 콘서트! 안 보면 후회! | IM CHANG JUNG | K-pop Live Concert,임창정,--,1 week,--,242K
20190823-20190829,66위,Viva La Vida,Coldplay(콜드플레이),--,29 weeks,--,241K
20190823-20190829,67위,그때가 좋았어 (The day was beautiful),케이시(Kassy),지난주 #69,14 weeks,18.4%,234K
20190823-20190829,68위,GGAGGUNG (feat. IMDA),Edge,--,1 week,--,233K
20190823-20190829,69위,My love has faded away (사랑이 식었다고 말해도 돼),먼데이 키즈(Monday Kiz),지난주 #64,13 weeks,8.3%,224K
20190823-20190829,70위,BANANA CHACHA,모모랜드(MOMOLAND),지난주 #60,6 weeks,0.9%,216K
20190823-20190829,71위,니 소식,Song Ha Yea,--,1 week,--,210K
20190823-20190829,72위,Selfmade Orange (feat. SUPERBEE),창모(CHANGMO),지난주 #65,9 weeks,0.8%,208K
20190823-20190829,73위,I Don't Care (Ed Sheeran(에드 시런) & Justin Bieber(저스틴 비버)),Ed Sheeran(에드 시런),지난주 #62,16 weeks,-3.2%,203K
20190823-20190829,74위,BOOM,NCT DREAM,지난주 #59,5 weeks,-7.5%,203K
20190823-20190829,75위,비가 내리는 날에는,윤하(Younha),지난주 #61,8 weeks,-4.1%,202K
20190823-20190829,76위,이뻐이뻐 (Pretty girl),크레파스 (crayon),지난주 #66,8 weeks,-1.5%,201K
20190823-20190829,77위,We don't talk together (feat. 기리보이(Giriboy)),헤이즈(Heize),지난주 #56,8 weeks,-12.2%,199K
20190823-20190829,78위,벗,닐로,--,1 week,--,196K
20190823-20190829,79위,Siren (사이렌),선미 (SUNMI),지난주 #89,22 weeks,31.5%,195K
20190823-20190829,80위,The fifth season(다섯 번째 계절) (SSFWL),오마이걸(OH MY GIRL),지난주 #68,17 weeks,-3.7%,191K
20190823-20190829,81위,Friend Like Me,윌 스미스,지난주 #57,3 weeks,-15.9%,188K
20190823-20190829,82위,Don’t Make Me Laugh,OH HAYOUNG(오하영),--,1 week,--,188K
20190823-20190829,83위,Winter Bear,김태현,지난주 #42,3 weeks,-33.7%,187K
20190823-20190829,84위,피카부 (Peek-A-Boo),Red Velvet,--,37 weeks,--,184K
20190823-20190829,85위,BIM BAM BUM,Rocket Punch,지난주 #39,3 weeks,-37.1%,182K
20190823-20190829,86위,Where's My Love (Duet) (feat. 릴리 커쇼),Syml,--,1 week,--,182K
20190823-20190829,87위,All about you (그대라는 시),태연(TAEYEON),지난주 #77,5 weeks,12.4%,182K
20190823-20190829,88위,You&I 인사,멜로망스(MeloMance),지난주 #67,7 weeks,-10.8%,178K
