20200501-20200507,25위,너를 그린 우주 (Insomnia2020) (Feat. 이라온) (feat. 이라온),마크툽(MAKTUB),지난주 #37,2 weeks,36.6%,571K
20200501-20200507,26위,깡 GANG,Rain,지난주 #38,10 weeks,38%,571K
20200501-20200507,27위,Say So,도자캣,지난주 #34,10 weeks,23%,552K
20200501-20200507,28위,오늘도 빛나는 너에게 (To You My Light) (feat. 이라온),Maktub,지난주 #26,47 weeks,4.4%,533K
20200501-20200507,29위,HIP,마마무(MAMAMOO),지난주 #25,25 weeks,-1.8%,527K
20200501-20200507,30위,Remember Me (불꽃놀이),오마이걸(OH MY GIRL),지난주 #42,27 weeks,34.3%,526K
20200501-20200507,31위,BUNGEE (Fall in Love),오마이걸(OH MY GIRL),지난주 #40,24 weeks,29.4%,518K
20200501-20200507,32위,비밀정원 (Secret Garden),오마이걸(OH MY GIRL),지난주 #41,24 weeks,27.4%,503K
20200501-20200507,33위,폰서트,10cm(십센치),지난주 #29,35 weeks,-2.4%,481K
20200501-20200507,34위,좋은 사람 있으면 소개시켜줘,조이,지난주 #28,7 weeks,-4.2%,480K
20200501-20200507,35위,사랑해 (Luv U),(여자)아이들,--,2 weeks,--,462K
20200501-20200507,36위,Feel Special,TWICE(트와이스),지난주 #32,33 weeks,-1.6%,460K
20200501-20200507,37위,Spit it out (뱉어),솔라,지난주 #10,3 weeks,-56.7%,458K
20200501-20200507,38위,ICY,ITZY,지난주 #36,41 weeks,7.2%,449K
20200501-20200507,39위,빌런 (Villain),스텔라장,지난주 #43,3 weeks,13.9%,441K
20200501-20200507,40위,염라 (Karma),Dareharu 달의하루,지난주 #21,2 weeks,-40.8%,433K
20200501-20200507,41위,"야망 (AMBITION) (feat. ASH ISLAND, 김효은, Hash Swan & 창모(CHANGMO))",릴러말즈(Leellamarz),지난주 #39,42 weeks,4.6%,429K
20200501-20200507,42위,Don't Start Now,두아 리파,지난주 #33,27 weeks,-13.4%,404K
20200501-20200507,43위,BLOOM (처음처럼),엠씨더맥스,지난주 #31,7 weeks,-15.5%,398K
20200501-20200507,44위,웨이백홈,숀,지난주 #48,25 weeks,5.3%,370K
20200501-20200507,45위,Half (반만),진민호,지난주 #35,11 weeks,-17.7%,359K
20200501-20200507,46위,My House,2PM,지난주 #51,16 weeks,1.7%,351K
20200501-20200507,47위,어떻게 지내 (I Need You),오반,지난주 #47,9 weeks,-0.9%,350K
20200501-20200507,48위,Painkiller,루엘,지난주 #44,27 weeks,-10.2%,338K
20200501-20200507,49위,Blinding Lights,The Weeknd(위켄드),지난주 #46,9 weeks,-9.1%,332K
20200501-20200507,50위,Give You My Heart (마음을 드려요),아이유(IU),지난주 #52,12 weeks,-3.9%,331K
20200501-20200507,51위,BAD,크리스토퍼,지난주 #54,15 weeks,2.2%,325K
20200501-20200507,52위,마음이 말하는 행복 (Happiness) (feat.이라온),마크툽(MAKTUB),지난주 #50,17 weeks,-6.4%,323K
20200501-20200507,53위,Physical (feat. 화사),두아 리파,지난주 #45,9 weeks,-13.3%,322K
20200501-20200507,54위,"When I tell you goodbye (아무렇지 않게, 안녕)",박혜원(HYNN),지난주 #55,6 weeks,1.1%,319K
20200501-20200507,55위,시청 앞 지하철 역에서 (In front of city hall at the subway station),곽진언,지난주 #60,3 weeks,6.4%,315K
20200501-20200507,56위,Knock(널 찾아가),아스트로(ASTRO),--,1 week,--,301K
20200501-20200507,57위,화려하지 않은 고백 (Confession Is Not Flashy),규현(KYUHYUN),지난주 #65,4 weeks,7.8%,289K
20200501-20200507,58위,WINDY DAY,오마이걸(OH MY GIRL),지난주 #99,9 weeks,53.9%,287K
20200501-20200507,59위,링마벨 (Ring My Bell),걸스데이(Girl's Day),--,1 week,--,277K
20200501-20200507,60위,"BAND (창모(CHANGMO), 해쉬 스완(Hash Swan), ASH ISLAND & 김효은)",창모(CHANGMO),지난주 #61,20 weeks,-4.5%,273K
20200501-20200507,61위,DUN DUN,EVERGLOW (에버글로우),지난주 #62,14 weeks,-2.6%,271K
20200501-20200507,62위,우리 만남이 (But I'll Miss You),폴킴(Paul Kim),지난주 #57,2 weeks,-12.9%,265K
20200501-20200507,63위,12:45 (Stripped),에담,지난주 #64,7 weeks,-4.5%,264K
20200501-20200507,64위,Show Yourself (Idina Menzel(이디나 멘젤) & Evan Rachel Wood),Idina Menzel(이디나 멘젤),지난주 #58,6 weeks,-13.7%,261K
20200501-20200507,65위,버릇처럼 셋을 센다,KCM,지난주 #59,11 weeks,-16.2%,252K
20200501-20200507,66위,농담처럼 (Just Kidding),기리보이(Giriboy),지난주 #91,2 weeks,25.1%,248K
20200501-20200507,67위,Payphone (feat. Wiz Khalifa(위즈 칼리파)),Maroon 5(마룬 파이브),지난주 #85,2 weeks,12.7%,239K
20200501-20200507,68위,9와 4분의 3 승강장에서 너를 기다려 (Run Away),투모로우바이투게더,지난주 #94,22 weeks,20.7%,236K
20200501-20200507,69위,아로하,쿨(COOL),지난주 #70,6 weeks,-10.7%,228K
20200501-20200507,70위,바람기억(Memory Of The Wind),나얼,지난주 #84,13 weeks,6.8%,228K
20200501-20200507,71위,400km (Feat. Kid Milli) (feat. 키드밀리),한요한,지난주 #74,6 weeks,-6.8%,228K
20200501-20200507,72위,Break My Heart,두아 리파,지난주 #78,6 weeks,-0.2%,226K
20200501-20200507,73위,Godzilla (feat. 주스 월드),Eminem(에미넴),지난주 #80,15 weeks,0.4%,225K
20200501-20200507,74위,To Die For,Sam Smith(샘 스미스),지난주 #75,10 weeks,-9.8%,220K
20200501-20200507,75위,Maniac,코난 그레이,지난주 #83,14 weeks,2%,219K
20200501-20200507,76위,Sometimes (가끔),크러쉬(Crush),지난주 #87,3 weeks,4.9%,214K
20200501-20200507,77위,Hello Mr. My Yesterday,애쉬그레이,지난주 #82,5 weeks,-1.2%,214K
20200501-20200507,78위,기억을 걷는 시간 (The time of walking on remembrance),넬(NELL),지난주 #79,13 weeks,-4.8%,213K
20200501-20200507,79위,Oh! my mistake (예쁜 게 죄),에이프릴(APRIL),지난주 #76,17 weeks,-11.6%,212K
20200501-20200507,80위,Black Swan,방탄소년단,지난주 #81,16 weeks,-5.3%,212K
20200501-20200507,81위,Supalonely (feat. 거스 대퍼튼),BENEE,--,6 weeks,--,211K
20200501-20200507,82위,YOU&I(너랑 나),아이유(IU),지난주 #95,13 weeks,6%,207K
20200501-20200507,83위,그대 고운 내사랑,어반자카파 (URBAN ZAKAPA),지난주 #96,2 weeks,7%,206K
20200501-20200507,84위,BOSS,NCT U,지난주 #93,19 weeks,5.2%,206K
20200501-20200507,85위,BIRTHDAY,Anne-Marie,지난주 #77,13 weeks,-11.6%,202K
20200501-20200507,86위,나쁜 놈 (Bad),벤,지난주 #63,2 weeks,-27.7%,200K
20200501-20200507,87위,바나나 알러지 원숭이,오마이걸 반하나,지난주 #100,14 weeks,8.3%,199K
20200501-20200507,88위,comethru,제레미 주커,지난주 #98,18 weeks,1.1%,190K
20200501-20200507,89위,CLOSER,오마이걸(OH MY GIRL),--,5 weeks,--,187K
20200501-20200507,90위,친구 (Friends),방탄소년단,지난주 #90,11 weeks,-6.6%,186K
20200501-20200507,91위,%%(Eung Eung(응응)),에이핑크,지난주 #92,15 weeks,-7.6%,182K
20200501-20200507,92위,Lonely Night,권진아,지난주 #86,6 weeks,-12.1%,182K
20200501-20200507,93위,아가씨 Hey Lady (릴러말즈(Leellamarz) & TOIL) (feat. 제네 더 질라 & 머쉬베놈),릴러말즈(Leellamarz),--,1 week,--,180K
20200501-20200507,94위,"다시 난, 여기 (Here I Am Again)",백예린,--,16 weeks,--,180K
20200501-20200507,95위,미쳐(Crazy),포미닛(4minute),지난주 #89,3 weeks,-10.9%,179K
20200501-20200507,96위,꿈속에 너 (Feat. 전상근) (Piano Ver.) (feat. 전상근),에이치코드 (H:CODE),--,28 weeks,--,176K
20200501-20200507,97위,JOKE! (feat. 씨잼(C Jamm) & 사이먼 도미닉),CODE KUNST,지난주 #88,8 weeks,-14.5%,175K
20200501-20200507,98위,"Flower (feat. 박재범(Jay Park), 우원재 & 기리보이(Giriboy))",CODE KUNST,--,4 weeks,--,174K
20200501-20200507,99위,UN Village,백현(BAEKHYUN),--,6 weeks,--,168K
20200501-20200507,100위,상상더하기,라붐 (LABOUM),--,2 weeks,--,166K
