"","제목","시청률","주차"
"187","모란봉클럽통일준비위원회","3.643","20180501"
"188","휴먼다큐(사노라면)","3.623","20180501"
"189","뉴스TOP10","3.035","20180501"
"190","MBN뉴스와이드","2.899","20180501"
"191","JTBC뉴스룸","7.454","20180501"
"192","MBN뉴스8","4.200","20180501"
"193","뭉쳐야뜬다패키지로세계일주","4.118","20180501"
"194","5시정치부회의","3.696","20180501"
"195","나는몸신이다","3.661","20180501"
"196","4시사건반장","3.648","20180501"
"197","모란봉클럽통일준비위원회","3.643","20180501"
"198","휴먼다큐(사노라면)","3.623","20180501"
"199","뉴스TOP10","3.035","20180501"
"200","MBN뉴스와이드","2.899","20180501"
"201","JTBC뉴스룸","7.282","20180502"
"202","나는자연인이다","5.180","20180502"
"203","식큐멘터리한끼줍쇼","4.345","20180502"
"204","MBN뉴스8","4.234","20180502"
"205","강적들","3.727","20180502"
"206","5시정치부회의","3.614","20180502"
"207","MBN뉴스와이드","3.507","20180502"
"208","4시사건반장","3.384","20180502"
"209","질문있습니다차이나는클라스","3.120","20180502"
"210","뉴스TOP10","2.922","20180502"
"211","JTBC뉴스룸","7.282","20180502"
"212","나는자연인이다","5.180","20180502"
"213","식큐멘터리한끼줍쇼","4.345","20180502"
"214","MBN뉴스8","4.234","20180502"
"215","강적들","3.727","20180502"
"216","5시정치부회의","3.614","20180502"
"217","MBN뉴스와이드","3.507","20180502"
"218","4시사건반장","3.384","20180502"
"219","질문있습니다차이나는클라스","3.120","20180502"
"220","뉴스TOP10","2.922","20180502"
"221","JTBC뉴스룸","6.300","20180503"
"222","나만믿고따라와도시어부","4.716","20180503"
"223","MBN뉴스8","3.524","20180503"
"224","5시정치부회의","3.505","20180503"
"225","4시사건반장","3.428","20180503"
"226","인생다큐(마이웨이)","3.323","20180503"
"227","뉴스TOP10","3.155","20180503"
"228","여행생활자집시맨","2.983","20180503"
"229","살림9단의만물상","2.936","20180503"
"230","백상예술대상1부","2.895","20180503"
"231","JTBC뉴스룸","6.300","20180503"
"232","나만믿고따라와도시어부","4.716","20180503"
"233","MBN뉴스8","3.524","20180503"
"234","5시정치부회의","3.505","20180503"
"235","4시사건반장","3.428","20180503"
"236","인생다큐(마이웨이)","3.323","20180503"
"237","뉴스TOP10","3.155","20180503"
"238","여행생활자집시맨","2.983","20180503"
"239","살림9단의만물상","2.936","20180503"
"240","백상예술대상1부","2.895","20180503"
"241","금토드라마(밥잘사주는예쁜누나)","5.637","20180504"
"242","JTBC뉴스룸","4.746","20180504"
"243","현장르포특종세상","4.693","20180504"
"244","비긴어게인2","3.265","20180504"
"245","MBN뉴스8","3.166","20180504"
"246","4시사건반장","3.154","20180504"
"247","5시정치부회의","3.080","20180504"
"248","MBN뉴스와이드","2.778","20180504"
"249","뉴스TOP10","2.605","20180504"
"250","구조신호시그널","2.549","20180504"
"251","금토드라마(밥잘사주는예쁜누나)","5.637","20180504"
"252","JTBC뉴스룸","4.746","20180504"
"253","현장르포특종세상","4.693","20180504"
"254","비긴어게인2","3.265","20180504"
"255","MBN뉴스8","3.166","20180504"
"256","4시사건반장","3.154","20180504"
"257","5시정치부회의","3.080","20180504"
"258","MBN뉴스와이드","2.778","20180504"
"259","뉴스TOP10","2.605","20180504"
"260","구조신호시그널","2.549","20180504"
"261","금토드라마(밥잘사주는예쁜누나)","5.520","20180505"
"262","아는형님","4.981","20180505"
"263","속풀이쇼동치미","3.698","20180505"
"264","특별기획드라마(대군사랑을그리다)","3.432","20180505"
"265","MBN뉴스8","3.363","20180505"
"266","JTBC뉴스룸","3.336","20180505"
"267","기막힌이야기실제상황","2.344","20180505"
"268","MBN뉴스와이드","2.173","20180505"
"269","나만믿고따라와도시어부","2.040","20180505"
"270","기막힌이야기실제상황","1.927","20180505"
"271","금토드라마(밥잘사주는예쁜누나)","5.520","20180505"
"272","아는형님","4.981","20180505"
"273","속풀이쇼동치미","3.698","20180505"
"274","특별기획드라마(대군사랑을그리다)","3.432","20180505"
"275","MBN뉴스8","3.363","20180505"
"276","JTBC뉴스룸","3.336","20180505"
"277","기막힌이야기실제상황","2.344","20180505"
"278","MBN뉴스와이드","2.173","20180505"
"279","나만믿고따라와도시어부","2.040","20180505"
"280","기막힌이야기실제상황","1.927","20180505"
"281","효리네민박2","5.871","20180506"
"282","특별기획드라마(대군사랑을그리다)","5.627","20180506"
"283","MBN뉴스8","3.929","20180506"
"284","JTBC뉴스룸","3.746","20180506"
"285","투유프로젝트슈가맨2","3.619","20180506"
"286","알토란","2.910","20180506"
"287","MBN뉴스와이드","2.515","20180506"
"288","아는형님","2.449","20180506"
"289","이제만나러갑니다","2.321","20180506"
"290","MBN뉴스와이드","2.298","20180506"
"291","효리네민박2","5.871","20180506"
"292","특별기획드라마(대군사랑을그리다)","5.627","20180506"
"293","MBN뉴스8","3.929","20180506"
"294","JTBC뉴스룸","3.746","20180506"
"295","투유프로젝트슈가맨2","3.619","20180506"
"296","알토란","2.910","20180506"
"297","MBN뉴스와이드","2.515","20180506"
"298","아는형님","2.449","20180506"
"299","이제만나러갑니다","2.321","20180506"
"300","MBN뉴스와이드","2.298","20180506"
"301","JTBC뉴스룸","7.041","20180507"
"302","인생감정쇼얼마예요","4.448","20180507"
"303","5시정치부회의","4.098","20180507"
"304","판도라","3.899","20180507"
"305","MBN뉴스8","3.874","20180507"
"306","냉장고를부탁해","3.765","20180507"
"307","4시사건반장","3.068","20180507"
"308","MBN뉴스와이드","2.773","20180507"
"309","김광일의신통방통","2.679","20180507"
"310","아는형님","2.453","20180507"
"311","JTBC뉴스룸","7.041","20180507"
"312","인생감정쇼얼마예요","4.448","20180507"
"313","5시정치부회의","4.098","20180507"
"314","판도라","3.899","20180507"
"315","MBN뉴스8","3.874","20180507"
"316","냉장고를부탁해","3.765","20180507"
"317","4시사건반장","3.068","20180507"
"318","MBN뉴스와이드","2.773","20180507"
"319","김광일의신통방통","2.679","20180507"
"320","아는형님","2.453","20180507"
"321","JTBC뉴스룸","6.356","20180508"
"322","뭉쳐야뜬다패키지로세계일주","4.697","20180508"
"323","휴먼다큐(사노라면)","4.164","20180508"
"324","MBN뉴스8","3.281","20180508"
"325","5시정치부회의","3.065","20180508"
"326","모란봉클럽통일준비위원회","3.052","20180508"
"327","엄지의제왕","2.896","20180508"
"328","뉴스TOP10","2.801","20180508"
"329","MBN뉴스와이드","2.674","20180508"
"330","4시사건반장","2.423","20180508"
"331","JTBC뉴스룸","6.356","20180508"
"332","뭉쳐야뜬다패키지로세계일주","4.697","20180508"
"333","휴먼다큐(사노라면)","4.164","20180508"
"334","MBN뉴스8","3.281","20180508"
"335","5시정치부회의","3.065","20180508"
"336","모란봉클럽통일준비위원회","3.052","20180508"
"337","엄지의제왕","2.896","20180508"
"338","뉴스TOP10","2.801","20180508"
"339","MBN뉴스와이드","2.674","20180508"
"340","4시사건반장","2.423","20180508"
"341","JTBC뉴스룸","6.373","20180509"
"342","나는자연인이다","5.075","20180509"
"343","식큐멘터리한끼줍쇼","4.907","20180509"
"344","MBN뉴스8","3.171","20180509"
"345","5시정치부회의","2.917","20180509"
"346","질문있습니다차이나는클라스","2.804","20180509"
"347","4시사건반장","2.654","20180509"
"348","탐사보도세븐","2.621","20180509"
"349","강적들","2.569","20180509"
"350","뉴스TOP10","2.450","20180509"
"351","JTBC뉴스룸","6.373","20180509"
"352","나는자연인이다","5.075","20180509"
"353","식큐멘터리한끼줍쇼","4.907","20180509"
"354","MBN뉴스8","3.171","20180509"
"355","5시정치부회의","2.917","20180509"
"356","질문있습니다차이나는클라스","2.804","20180509"
"357","4시사건반장","2.654","20180509"
"358","탐사보도세븐","2.621","20180509"
"359","강적들","2.569","20180509"
"360","뉴스TOP10","2.450","20180509"
"361","JTBC뉴스룸","5.933","20180510"
"362","썰전","4.813","20180510"
"363","이규연의스포트라이트","4.429","20180510"
"364","나만믿고따라와도시어부","4.115","20180510"
"365","5시정치부회의","3.757","20180510"
"366","MBN뉴스8","3.187","20180510"
"367","살림9단의만물상","3.072","20180510"
"368","서민갑부","2.924","20180510"
"369","4시사건반장","2.836","20180510"
"370","뉴스TOP10","2.712","20180510"
"371","JTBC뉴스룸","5.933","20180510"
"372","썰전","4.813","20180510"
"373","이규연의스포트라이트","4.429","20180510"
"374","나만믿고따라와도시어부","4.115","20180510"
"375","5시정치부회의","3.757","20180510"
"376","MBN뉴스8","3.187","20180510"
"377","살림9단의만물상","3.072","20180510"
"378","서민갑부","2.924","20180510"
"379","4시사건반장","2.836","20180510"
"380","뉴스TOP10","2.712","20180510"
"381","금토드라마(밥잘사주는예쁜누나)","5.564","20180511"
"382","JTBC뉴스룸","4.455","20180511"
"383","현장르포특종세상","3.871","20180511"
"384","비긴어게인2","3.849","20180511"
"385","MBN뉴스8","3.088","20180511"
"386","뉴스파이터","2.713","20180511"
"387","5시정치부회의","2.591","20180511"
"388","4시사건반장","2.588","20180511"
"389","구조신호시그널","2.568","20180511"
"390","뉴스TOP10","2.442","20180511"
"391","금토드라마(밥잘사주는예쁜누나)","5.564","20180511"
"392","JTBC뉴스룸","4.455","20180511"
"393","현장르포특종세상","3.871","20180511"
"394","비긴어게인2","3.849","20180511"
"395","MBN뉴스8","3.088","20180511"
"396","뉴스파이터","2.713","20180511"
"397","5시정치부회의","2.591","20180511"
"398","4시사건반장","2.588","20180511"
"399","구조신호시그널","2.568","20180511"
"400","뉴스TOP10","2.442","20180511"
"401","금토드라마(밥잘사주는예쁜누나)","7.281","20180512"
"402","아는형님","5.434","20180512"
"403","속풀이쇼동치미","4.267","20180512"
"404","JTBC뉴스룸","3.625","20180512"
"405","MBN뉴스8","3.439","20180512"
"406","기막힌이야기실제상황","3.056","20180512"
"407","김광일의신통방통","2.533","20180512"
"408","글로벌부부탐구생활사랑은아무나하나","2.504","20180512"
"409","기막힌이야기실제상황","2.447","20180512"
"410","MBN뉴스와이드","2.292","20180512"
"411","금토드라마(밥잘사주는예쁜누나)","7.281","20180512"
"412","아는형님","5.434","20180512"
"413","속풀이쇼동치미","4.267","20180512"
"414","JTBC뉴스룸","3.625","20180512"
"415","MBN뉴스8","3.439","20180512"
"416","기막힌이야기실제상황","3.056","20180512"
"417","김광일의신통방통","2.533","20180512"
"418","글로벌부부탐구생활사랑은아무나하나","2.504","20180512"
"419","기막힌이야기실제상황","2.447","20180512"
"420","MBN뉴스와이드","2.292","20180512"
"421","효리네민박2","5.621","20180513"
"422","MBN뉴스8","4.027","20180513"
"423","JTBC뉴스룸","4.014","20180513"
"424","알토란","3.596","20180513"
"425","이제만나러갑니다","3.217","20180513"
"426","투유프로젝트슈가맨2","3.174","20180513"
"427","속풀이쇼동치미","2.697","20180513"
"428","NEW코리아헌터","2.534","20180513"
"429","천기누설","2.324","20180513"
"430","MBN뉴스와이드","2.212","20180513"
"431","효리네민박2","5.621","20180513"
"432","MBN뉴스8","4.027","20180513"
"433","JTBC뉴스룸","4.014","20180513"
"434","알토란","3.596","20180513"
"435","이제만나러갑니다","3.217","20180513"
"436","투유프로젝트슈가맨2","3.174","20180513"
"437","속풀이쇼동치미","2.697","20180513"
"438","NEW코리아헌터","2.534","20180513"
"439","천기누설","2.324","20180513"
"440","MBN뉴스와이드","2.212","20180513"
"441","JTBC뉴스룸","6.697","20180514"
"442","MBN뉴스8","4.420","20180514"
"443","냉장고를부탁해","3.887","20180514"
"444","인생감정쇼얼마예요","3.547","20180514"
"445","판도라","3.350","20180514"
"446","5시정치부회의","3.243","20180514"
"447","MBN뉴스와이드","3.008","20180514"
"448","뉴스TOP10","2.737","20180514"
"449","4시사건반장","2.677","20180514"
"450","보도본부핫라인","2.497","20180514"
"451","JTBC뉴스룸","6.697","20180514"
"452","MBN뉴스8","4.420","20180514"
"453","냉장고를부탁해","3.887","20180514"
"454","인생감정쇼얼마예요","3.547","20180514"
"455","판도라","3.350","20180514"
"456","5시정치부회의","3.243","20180514"
"457","MBN뉴스와이드","3.008","20180514"
"458","뉴스TOP10","2.737","20180514"
"459","4시사건반장","2.677","20180514"
"460","보도본부핫라인","2.497","20180514"
"461","JTBC뉴스룸","5.724","20180515"
"462","뭉쳐야뜬다패키지로세계일주","4.051","20180515"
"463","휴먼다큐(사노라면)","3.338","20180515"
"464","5시정치부회의","3.304","20180515"
"465","엄지의제왕","2.917","20180515"
"466","MBN뉴스8","2.811","20180515"
"467","모란봉클럽통일준비위원회","2.789","20180515"
"468","나는몸신이다","2.755","20180515"
"469","MBN뉴스와이드","2.627","20180515"
"470","뉴스TOP10","2.516","20180515"
"471","JTBC뉴스룸","5.724","20180515"
"472","뭉쳐야뜬다패키지로세계일주","4.051","20180515"
"473","휴먼다큐(사노라면)","3.338","20180515"
"474","5시정치부회의","3.304","20180515"
"475","엄지의제왕","2.917","20180515"
"476","MBN뉴스8","2.811","20180515"
"477","모란봉클럽통일준비위원회","2.789","20180515"
"478","나는몸신이다","2.755","20180515"
"479","MBN뉴스와이드","2.627","20180515"
"480","뉴스TOP10","2.516","20180515"
"481","JTBC뉴스룸","6.452","20180516"
"482","나는자연인이다","5.118","20180516"
"483","식큐멘터리한끼줍쇼","4.450","20180516"
"484","MBN뉴스8","3.663","20180516"
"485","4시사건반장","3.368","20180516"
"486","5시정치부회의","3.328","20180516"
"487","MBN뉴스와이드","3.171","20180516"
"488","강적들","3.161","20180516"
"489","보도본부핫라인","3.067","20180516"
"490","뉴스TOP10","2.852","20180516"
"491","JTBC뉴스룸","6.452","20180516"
"492","나는자연인이다","5.118","20180516"
"493","식큐멘터리한끼줍쇼","4.450","20180516"
"494","MBN뉴스8","3.663","20180516"
"495","4시사건반장","3.368","20180516"
"496","5시정치부회의","3.328","20180516"
"497","MBN뉴스와이드","3.171","20180516"
"498","강적들","3.161","20180516"
"499","보도본부핫라인","3.067","20180516"
"500","뉴스TOP10","2.852","20180516"
"501","JTBC뉴스룸","4.990","20180517"
"502","썰전","4.170","20180517"
"503","나만믿고따라와도시어부","4.136","20180517"
"504","이규연의스포트라이트","3.108","20180517"
"505","4시사건반장","3.069","20180517"
"506","5시정치부회의","3.055","20180517"
"507","MBN뉴스8","3.052","20180517"
"508","뉴스TOP10","2.759","20180517"
"509","MBN뉴스와이드","2.623","20180517"
"510","여행생활자집시맨","2.620","20180517"
"511","JTBC뉴스룸","4.990","20180517"
"512","썰전","4.170","20180517"
"513","나만믿고따라와도시어부","4.136","20180517"
"514","이규연의스포트라이트","3.108","20180517"
"515","4시사건반장","3.069","20180517"
"516","5시정치부회의","3.055","20180517"
"517","MBN뉴스8","3.052","20180517"
"518","뉴스TOP10","2.759","20180517"
"519","MBN뉴스와이드","2.623","20180517"
"520","여행생활자집시맨","2.620","20180517"
"521","금토드라마(밥잘사주는예쁜누나)","5.883","20180518"
"522","현장르포특종세상","4.418","20180518"
"523","JTBC뉴스룸","3.944","20180518"
"524","MBN뉴스8","3.214","20180518"
"525","비긴어게인2","3.167","20180518"
"526","뉴스파이터","2.990","20180518"
"527","5시정치부회의","2.943","20180518"
"528","김광일의신통방통","2.785","20180518"
"529","뉴스TOP10","2.740","20180518"
"530","TV조선뉴스9","2.637","20180518"
"531","금토드라마(밥잘사주는예쁜누나)","5.883","20180518"
"532","현장르포특종세상","4.418","20180518"
"533","JTBC뉴스룸","3.944","20180518"
"534","MBN뉴스8","3.214","20180518"
"535","비긴어게인2","3.167","20180518"
"536","뉴스파이터","2.990","20180518"
"537","5시정치부회의","2.943","20180518"
"538","김광일의신통방통","2.785","20180518"
"539","뉴스TOP10","2.740","20180518"
"540","TV조선뉴스9","2.637","20180518"
"541","금토드라마(밥잘사주는예쁜누나)","6.787","20180519"
"542","아는형님","5.449","20180519"
"543","속풀이쇼동치미","3.839","20180519"
"544","MBN뉴스8","2.976","20180519"
"545","JTBC뉴스룸","2.857","20180519"
"546","기막힌이야기실제상황","2.732","20180519"
"547","MBN뉴스와이드","2.226","20180519"
"548","인생감정쇼얼마예요","2.103","20180519"
"549","나만믿고따라와도시어부","2.005","20180519"
"550","풍문으로들었쇼","1.919","20180519"
"551","금토드라마(밥잘사주는예쁜누나)","6.787","20180519"
"552","아는형님","5.449","20180519"
"553","속풀이쇼동치미","3.839","20180519"
"554","MBN뉴스8","2.976","20180519"
"555","JTBC뉴스룸","2.857","20180519"
"556","기막힌이야기실제상황","2.732","20180519"
"557","MBN뉴스와이드","2.226","20180519"
"558","인생감정쇼얼마예요","2.103","20180519"
"559","나만믿고따라와도시어부","2.005","20180519"
"560","풍문으로들었쇼","1.919","20180519"
"561","투유프로젝트슈가맨2","3.921","20180520"
"562","알토란","3.712","20180520"
"563","효리네민박2","3.417","20180520"
"564","MBN뉴스8","3.411","20180520"
"565","JTBC뉴스룸","3.205","20180520"
"566","이제만나러갑니다","2.701","20180520"
"567","TV조선뉴스7","2.222","20180520"
"568","천기누설","2.183","20180520"
"569","TV조선2018특별기획대한민국2030에게길을묻다","2.130","20180520"
"570","금토드라마(밥잘사주는예쁜누나)","2.112","20180520"
"571","투유프로젝트슈가맨2","3.921","20180520"
"572","알토란","3.712","20180520"
"573","효리네민박2","3.417","20180520"
"574","MBN뉴스8","3.411","20180520"
"575","JTBC뉴스룸","3.205","20180520"
"576","이제만나러갑니다","2.701","20180520"
"577","TV조선뉴스7","2.222","20180520"
"578","천기누설","2.183","20180520"
"579","TV조선2018특별기획대한민국2030에게길을묻다","2.130","20180520"
"580","금토드라마(밥잘사주는예쁜누나)","2.112","20180520"
"581","JTBC뉴스룸","6.271","20180521"
"582","MBN뉴스8","3.762","20180521"
"583","월화드라마(미스함무라비)","3.739","20180521"
"584","인생감정쇼얼마예요","3.722","20180521"
"585","냉장고를부탁해","3.449","20180521"
"586","판도라","3.392","20180521"
"587","5시정치부회의","2.731","20180521"
"588","MBN뉴스와이드","2.725","20180521"
"589","4시사건반장","2.513","20180521"
"590","김광일의신통방통","2.308","20180521"
"591","JTBC뉴스룸","6.271","20180521"
"592","MBN뉴스8","3.762","20180521"
"593","월화드라마(미스함무라비)","3.739","20180521"
"594","인생감정쇼얼마예요","3.722","20180521"
"595","냉장고를부탁해","3.449","20180521"
"596","판도라","3.392","20180521"
"597","5시정치부회의","2.731","20180521"
"598","MBN뉴스와이드","2.725","20180521"
"599","4시사건반장","2.513","20180521"
"600","김광일의신통방통","2.308","20180521"
"601","JTBC뉴스룸","7.228","20180522"
"602","MBN뉴스8","4.794","20180522"
"603","월화드라마(미스함무라비)","4.553","20180522"
"604","나는몸신이다","3.956","20180522"
"605","뉴스TOP10","3.458","20180522"
"606","모란봉클럽통일준비위원회","3.324","20180522"
"607","5시정치부회의","3.288","20180522"
"608","휴먼다큐(사노라면)","3.262","20180522"
"609","MBN뉴스와이드","3.062","20180522"
"610","TV조선뉴스9","2.961","20180522"
"611","JTBC뉴스룸","7.228","20180522"
"612","MBN뉴스8","4.794","20180522"
"613","월화드라마(미스함무라비)","4.553","20180522"
"614","나는몸신이다","3.956","20180522"
"615","뉴스TOP10","3.458","20180522"
"616","모란봉클럽통일준비위원회","3.324","20180522"
"617","5시정치부회의","3.288","20180522"
"618","휴먼다큐(사노라면)","3.262","20180522"
"619","MBN뉴스와이드","3.062","20180522"
"620","TV조선뉴스9","2.961","20180522"
"621","나는자연인이다","5.936","20180523"
"622","JTBC뉴스룸","5.680","20180523"
"623","식큐멘터리한끼줍쇼","4.121","20180523"
"624","강적들","3.842","20180523"
