,artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
23,레드벨벳,Bad Boy,4,1,3,Dance,spring,female,K_POP,Group,1,2018.4.29,0.547337278,0.173076923,0.32,0.598036374,0.882471544,0.551930308,0.8149733259999999,0.077343679,0.009501846,0.007470676999999999,0.0,3
24,로꼬,나타나줘,8,10,8,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.4.29,0.594674556,0.019230768999999998,1.0,0.34435399899999997,0.0,0.477571876,0.473671547,0.0,0.0,0.0,0.0,10
25,"로꼬, 화사",주지마,1,9,1,Ballad,spring,mixed,K_POP,Project,1,2018.4.29,0.609467456,0.586538462,0.52,0.258698005,0.7913776659999999,0.660567269,0.938379252,0.0,0.0,0.0,0.0,1
26,로이킴,그때 헤어지면 돼,2,3,2,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.659763314,0.509615385,0.09,0.13907629999999999,0.837206925,0.660567269,0.919006717,0.317360015,0.062490187,0.02587879,0.0,2
27,마마무,별이 빛나는 밤,1,10,1,Dance,spring,female,K_POP,Group,1,2018.4.29,0.547337278,0.451923077,0.33,0.529205473,0.0,0.551930308,0.686804509,0.18846924199999998,0.028597978,0.016289846,0.0,1
28,먼데이 키즈,가을 안부,4,5,4,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.819526627,0.788461538,0.0,0.377122584,0.819374446,0.660567269,0.586777786,0.0,0.0,0.0,0.0,4
29,멜로망스,You,1,8,1,Ballad,spring,male,K_POP,Duet,1,2018.4.29,0.727810651,0.596153846,0.9,0.305731339,0.794921122,0.660567269,0.69041591,0.0,0.0,0.0,0.0,1
30,모모랜드,뿜뿜,2,10,2,Dance,spring,female,K_POP,Group,1,2018.4.29,0.541420118,0.567307692,0.72,0.555770829,0.0,0.551930308,0.856983578,0.0,0.0,0.0,0.0,2
31,문문,비행운,3,4,3,Indi,spring,male,K_POP,Solo,1,2018.4.29,0.452662722,0.096153846,0.07,0.056848844,0.825989647,0.513549813,0.0,0.0,0.0,0.0,0.0,3
32,박보람,애쓰지 마요,8,10,8,Ballad,spring,female,K_POP,Solo,1,2018.4.29,0.600591716,0.038461537999999997,0.63,0.402220914,0.0,0.660567269,0.919006717,0.0,0.0,0.0,0.0,10
33,박원,all of my life,5,5,5,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.659763314,0.307692308,0.29,0.748226857,0.814470395,0.660567269,0.10183994699999999,0.0,0.0,0.0,0.0,5
34,방탄소년단,DNA,5,8,5,Rap/Hiphop,spring,male,K_POP,Group,1,2018.4.29,0.582840237,0.673076923,0.24,0.750274234,0.7984778220000001,0.477571876,0.421637992,0.336909505,0.06911287299999999,0.020682536,0.0,5
35,배연서,북,3,8,2,Rap/Hiphop,spring,male,K_POP,Project,1,2018.4.29,0.553254438,0.076923077,0.44,0.692199287,0.7926698440000001,0.477571876,0.867515849,0.0,0.0,0.0,0.0,2
36,버스커 버스커,벚꽃 엔딩,10,10,9,Rock,spring,male,K_POP,Band,1,2018.4.29,0.695266272,0.192307692,0.26,0.238046284,0.0,0.5092992129999999,0.867515849,0.34142079200000003,0.070707071,0.032397049,0.0,10
37,볼빨간사춘기,#첫사랑,6,10,6,Indi,spring,female,K_POP,Solo,1,2018.4.29,0.538461538,0.067307692,0.14,0.294895127,0.0,0.513549813,0.734790572,0.0,0.0,0.0,0.0,7
38,비투비,그리워하다,6,10,6,Ballad,spring,male,K_POP,Group,1,2018.4.29,0.624260355,0.644230769,0.29,0.494544482,0.0,0.660567269,0.330664453,0.0,0.0,0.0,0.0,6
39,빅뱅,꽃 길,2,3,1,Trot,spring,female,K_POP,Solo,1,2018.4.29,0.50887574,0.307692308,0.44,0.238046284,0.8408021040000001,0.535119941,0.734790572,0.35178561700000005,0.074467301,0.014043443999999999,0.0,1
40,선미,주인공,6,6,6,Dance,spring,female,K_POP,Solo,1,2018.4.29,0.5,0.048076923,0.08,0.150190483,0.8129086190000001,0.551930308,0.38823676700000004,0.27814208100000004,0.050505050999999995,0.008423696,0.0,7
41,아이유,밤편지,4,10,4,Ballad,spring,female,K_POP,Solo,1,2018.4.29,0.671597633,1.0,0.63,0.415357,0.0,0.660567269,0.519573706,0.0,0.0,0.0,0.0,4
42,양다일,미안해,6,10,7,R&B/Soul,spring,male,K_POP,Solo,1,2018.4.29,0.600591716,0.788461538,0.22,0.189695748,0.0,0.56680661,0.238046284,0.0,0.0,0.0,0.0,7
43,어반 자카파,"그때의 나, 그때의 우리",10,10,10,R&B/Soul,spring,mixed,K_POP,Group,1,2018.4.29,0.50887574,0.009615385,0.18,0.35722981,0.0,0.56680661,0.10183994699999999,0.0,0.0,0.0,0.0,10
44,에일리,첫눈처럼 너에게 가겠다,7,10,7,Drama,spring,female,OST,Solo,1,2018.4.29,0.603550296,0.836538462,0.14,0.321032687,0.0,0.613522263,0.767878904,0.0,0.0,0.0,0.0,7
45,용준형,소나기,2,10,2,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.4.29,0.529585799,0.375,0.05,0.020651721,0.7816685390000001,0.477571876,0.07290649,0.0,0.0,0.0,0.0,2
46,우원재,시차,5,10,5,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.4.29,0.50295858,0.451923077,0.0,0.373287456,0.0,0.477571876,0.473671547,0.0,0.0,0.0,0.0,5
47,윤종신,좋니,5,10,5,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.8934911240000001,0.528846154,0.21,0.25203043,0.0,0.660567269,1.0,0.141594664,0.01962395,0.031039099999999997,0.0,5
48,"윤종신, 민서",좋아,9,10,8,Ballad,spring,mixed,K_POP,Project,1,2018.4.29,0.8402366859999999,0.019230768999999998,0.255,0.271447509,0.0,0.660567269,1.0,0.0,0.0,0.0,0.0,10
49,이병재,전혀,3,5,2,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.4.29,0.576923077,0.067307692,0.85,0.711717831,0.8153190570000001,0.477571876,0.867515849,0.0,0.0,0.0,0.0,2
50,이수,My Way,2,2,2,Drama,spring,male,OST,Solo,1,2018.4.29,0.74852071,0.567307692,0.7,0.16076229,0.88098109,0.613522263,0.876424375,0.0,0.0,0.0,0.0,2
51,장덕철,그날처럼,2,3,2,Ballad,spring,male,K_POP,Group,1,2018.4.29,0.612426036,0.807692308,0.31,0.61004013,0.839952116,0.660567269,0.505326759,0.0,0.0,0.0,0.0,2
52,정승환,눈사람,5,8,4,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.621301775,0.355769231,0.7,0.476092568,0.7966098909999999,0.660567269,0.8991019509999999,0.39726317,0.09269162199999999,0.031062916,0.0,4
53,청하,Roller Coaster,3,2,2,Dance,spring,female,K_POP,Solo,1,2018.4.29,0.553254438,0.586538462,0.26,0.501078014,0.8639716959999999,0.551930308,1.0,0.118853221,0.015776417,0.005727311,0.0,2
54,펀치,밤이 되니까,4,10,4,R&B/Soul,spring,female,K_POP,Solo,1,2018.4.29,0.532544379,0.355769231,0.43,0.46624182299999994,0.0,0.56680661,0.230700527,0.0,0.0,0.0,0.0,4
55,포맨,눈 떠보니 이별이더라,6,5,5,Ballad,spring,male,K_POP,Duet,1,2018.4.29,0.76035503,0.096153846,0.45,0.959548725,0.8190609109999999,0.660567269,0.294895127,0.0,0.0,0.0,0.0,6
56,폴킴,"모든 날, 모든 순간",3,4,3,Drama,spring,male,OST,Solo,1,2018.4.29,0.547337278,1.0,0.07,0.560714292,0.8320109659999999,0.613522263,0.8149733259999999,0.0,0.0,0.0,0.693253947,3
57,허각,바보야,10,10,9,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.704142012,0.009615385,0.47,0.039505265,0.0,0.660567269,0.18047397,0.24826410399999999,0.042424242,0.026612057999999997,0.0,10
58,헤이즈,Jenga,3,10,3,R&B/Soul,spring,female,K_POP,Solo,1,2018.4.29,0.5443786979999999,0.10576923099999999,0.41,0.402220914,0.0,0.56680661,0.734059782,0.0,0.0,0.0,0.0,4
59,황치열,"별, 그대",8,10,6,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.612426036,0.019230768999999998,1.0,0.8009219809999999,0.0,0.660567269,0.828168687,0.250263215,0.042938751,0.021877127000000003,0.0,7
60,효린,달리,9,3,7,Rap/Hiphop,spring,female,K_POP,Solo,1,2018.4.29,0.5236686389999999,0.009615385,0.06,0.056848844,0.84407516,0.477571876,0.45326315,0.0,0.0,0.0,0.0,9
61,휘인,EASY,8,10,5,R&B/Soul,spring,female,K_POP,Solo,1,2018.4.29,0.48224852100000004,0.019230768999999998,0.25,0.114976033,0.0,0.56680661,0.686804509,0.0,0.0,0.0,0.0,6
62,GroovyRoom,My Paradise,4,8,10,Rap/Hiphop,spring,male,K_POP,Group,1,2018.4.29,0.529585799,0.019230768999999998,0.0,0.831928938,0.7984778220000001,0.477571876,0.649112469,0.0,0.0,0.0,0.0,10
63,멜로망스,욕심,1,10,2,Indi,spring,male,K_POP,Duet,1,2018.4.29,0.636094675,0.16346153800000002,0.9,0.305731339,0.0,0.513549813,0.743373043,0.0,0.0,0.0,0.0,2
64,"박재범,사이먼 도미닉",뒤집어버려,9,10,10,Rap/Hiphop,spring,male,K_POP,Project,1,2018.4.29,0.576923077,0.0,0.13,0.283488333,0.0,0.477571876,0.473671547,0.0,0.0,0.0,0.0,10
65,박효신,별 시,1,4,10,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.75739645,0.028846154,0.64,0.473671547,0.83335722,0.660567269,0.540225427,0.384689082,0.08735708699999999,0.052193814000000005,0.0,10
66,여자친구,밤,1,10,10,Dance,spring,female,K_POP,Group,1,2018.4.29,0.594674556,0.384615385,0.39,1.0,0.785588104,0.551930308,0.277551548,0.238797482,0.040036485,0.012421439,0.0,10
67,윤건,우리 둘만 아는,10,10,10,Ballad,spring,male,K_POP,Solo,1,2018.4.29,0.535502959,0.115384615,0.65,0.9516494640000001,0.0,0.660567269,0.89669629,0.0,0.0,0.0,0.0,10
68,크러쉬,잊을만하면,2,2,10,R&B/Soul,spring,male,K_POP,Solo,1,2018.4.29,0.624260355,0.144230769,0.66,0.58964775,0.8446675229999999,0.56680661,0.300380966,0.0,0.0,0.0,0.0,10
69,펜타곤,빛나리,9,10,10,Dance,spring,male,K_POP,Group,1,2018.4.29,0.51183432,0.125,0.75,0.517594888,0.0,0.551930308,0.330664453,0.128545166,0.01737851,0.00997397,0.0,10
70,헤이즈,비도 오고 그래서,5,10,5,Rap/Hiphop,spring,female,K_POP,Solo,0,2018.4.29,0.529585799,0.682692308,0.41,0.402220914,0.0,0.477571876,0.867515849,0.0,0.0,0.0,0.0,5
71,레드벨벳,빨간 맛,6,10,6,Dance,spring,female,K_POP,Group,0,2018.4.29,0.48816568,0.43269230799999997,0.32,0.598036374,0.0,0.551930308,0.8149733259999999,0.077343679,0.009501846,0.007470676999999999,0.0,6
72,Wanna One,에너제틱,7,10,7,Dance,spring,male,K_POP,Group,0,2018.4.29,0.48224852100000004,0.44230769200000003,0.25,0.857398275,0.0,0.551930308,0.7589292329999999,0.0,0.0,0.0,0.0,7
73,멜로망스,선물,2,5,2,Indi,spring,male,K_POP,Duet,0,2018.4.29,0.695266272,0.961538462,0.9,0.305731339,0.82270908,0.513549813,0.743373043,0.0,0.0,0.0,0.0,2
74,박원,노력,8,10,8,Ballad,spring,male,K_POP,Solo,0,2018.4.29,0.701183432,0.16346153800000002,0.29,0.748226857,0.0,0.660567269,0.10183994699999999,0.0,0.0,0.0,0.0,8
75,방탄소년단,봄날,6,10,6,Dance,spring,male,K_POP,Group,0,2018.4.29,0.733727811,1.0,0.24,0.750274234,0.0,0.551930308,0.421637992,0.336909505,0.06911287299999999,0.020682536,0.0,6
76,EXO-CBX,Playdate,10,10,9,Dance,spring,male,K_POP,Group,0,2018.4.29,0.547337278,0.019230768999999998,0.0,0.418520254,0.0,0.551930308,0.8149733259999999,0.0,0.0,0.0,0.0,10
77,TWICE,Heart Shaker,5,2,4,Dance,spring,female,K_POP,Group,0,2018.4.29,0.476331361,0.25,0.56,0.667785372,0.8577792759999999,0.551930308,1.0,0.0,0.0,0.0,0.0,4
78,TWICE,LIKEY,5,10,5,Dance,spring,female,K_POP,Group,0,2018.4.29,0.538461538,0.115384615,0.56,0.667785372,0.0,0.551930308,1.0,0.0,0.0,0.0,0.0,6
79,Wanna One,Beautiful,7,10,7,Ballad,spring,male,K_POP,Group,0,2018.4.29,0.50591716,0.394230769,0.25,0.857398275,0.0,0.660567269,0.7589292329999999,0.0,0.0,0.0,0.0,7
80,Wanna One,약속해요,7,8,6,Dance,spring,male,K_POP,Group,0,2018.4.29,0.576923077,0.173076923,0.25,0.857398275,0.7954090009999999,0.551930308,0.7589292329999999,0.0,0.0,0.0,0.0,6
81,WINNER,AIR,9,10,8,Dance,spring,male,K_POP,Group,0,2018.4.29,0.588757396,0.019230768999999998,0.61,0.897386352,0.0,0.551930308,0.734790572,0.0,0.0,0.0,0.0,9
82,WINNER,REALLY REALLY,6,10,6,Dance,spring,male,K_POP,Group,0,2018.4.29,0.5236686389999999,0.25,0.61,0.897386352,0.0,0.551930308,0.734790572,0.0,0.0,0.0,0.0,6
83,길구봉구,바람이 불었으면 좋겠어,9,10,8,R&B/Soul,spring,male,K_POP,Group,0,2018.4.29,0.609467456,0.028846154,0.24,0.49232211299999995,0.0,0.56680661,0.766622789,0.0,0.0,0.0,0.0,10
84,김하온,Adios,8,10,7,Rap/Hiphop,spring,male,K_POP,Solo,0,2018.4.29,0.46153846200000004,0.019230768999999998,0.0,0.764088503,0.0,0.477571876,0.867515849,0.0,0.0,0.0,0.0,8
85,김하온,어린 왕자,3,6,3,Rap/Hiphop,spring,male,K_POP,Project,0,2018.4.29,0.40828402399999997,0.067307692,0.0,0.764088503,0.8057703629999999,0.477571876,0.867515849,0.0,0.0,0.0,0.0,3
86,닐로,넋두리,4,3,4,Ballad,spring,male,K_POP,Solo,0,2018.4.29,0.8313609470000001,0.528846154,0.73,0.361357155,0.83832168,0.660567269,0.0,0.0,0.0,0.0,0.0,4
87,레드벨벳,피카부,8,4,8,Dance,spring,female,K_POP,Group,0,2018.4.29,0.48224852100000004,0.019230768999999998,0.32,0.598036374,0.829991313,0.551930308,0.8149733259999999,0.077343679,0.009501846,0.007470676999999999,0.0,10
88,멜로망스,짙어져,7,10,7,Drama,spring,male,OST,Duet,0,2018.4.29,0.74556213,0.057692308,0.9,0.305731339,0.0,0.613522263,0.8238589059999999,0.0,0.0,0.0,0.0,8
89,문문,결혼,6,4,6,Drama,spring,male,OST,Solo,0,2018.4.29,0.526627219,0.057692308,0.07,0.056848844,0.824587555,0.613522263,0.867515849,0.0,0.0,0.0,0.0,6
90,방탄소년단,고민보다 Go,10,10,10,Rap/Hiphop,spring,male,K_POP,Group,0,2018.4.29,0.621301775,0.009615385,0.24,0.750274234,0.0,0.477571876,0.421637992,0.336909505,0.06911287299999999,0.020682536,0.0,10
91,배연서,Like It,7,10,6,All,spring,mixed,K_POP,Group,0,2018.4.29,0.5739644970000001,0.028846154,0.44,0.692199287,0.0,0.403231913,0.867515849,0.0,0.0,0.0,0.0,10
92,배연서,이로한,4,10,3,Rap/Hiphop,spring,male,K_POP,Project,0,2018.4.29,0.553254438,0.038461537999999997,0.44,0.692199287,0.0,0.477571876,0.867515849,0.0,0.0,0.0,0.0,4
93,볼빨간사춘기,나의 사춘기에게,10,10,10,Indi,spring,female,K_POP,Solo,0,2018.4.29,0.582840237,0.384615385,0.14,0.294895127,0.0,0.513549813,0.442289713,0.0,0.0,0.0,0.0,10
94,볼빨간사춘기,썸 탈꺼야,7,10,7,Indi,spring,female,K_POP,Solo,0,2018.4.29,0.45857988200000005,0.086538462,0.14,0.294895127,0.0,0.513549813,0.442289713,0.0,0.0,0.0,0.0,8
95,선미,가시나,10,10,10,Dance,spring,female,K_POP,Solo,0,2018.4.29,0.455621302,0.009615385,0.08,0.150190483,0.0,0.551930308,0.38823676700000004,0.27814208100000004,0.050505050999999995,0.008423696,0.0,10
96,아이유,팔레트,10,10,10,Ballad,spring,female,K_POP,Solo,0,2018.4.29,0.568047337,0.182692308,0.63,0.415357,0.0,0.660567269,0.519573706,0.0,0.0,0.0,0.0,10
97,이병재,탓,5,10,4,Rap/Hiphop,spring,male,K_POP,Solo,0,2018.4.29,0.541420118,0.038461537999999997,0.85,0.711717831,0.0,0.477571876,0.867515849,0.0,0.0,0.0,0.0,5
98,폴킴,비,10,10,9,R&B/Soul,spring,male,K_POP,Solo,0,2018.4.29,0.627218935,0.9807692309999999,0.07,0.560714292,0.0,0.56680661,0.418520254,0.0,0.0,0.0,0.0,10
99,헤이즈,내가 더 나빠,6,10,5,R&B/Soul,spring,female,K_POP,Solo,0,2018.4.29,0.627218935,0.038461537999999997,0.41,0.402220914,0.0,0.56680661,0.734059782,0.0,0.0,0.0,0.0,6
100,10cm,폰서트,10,6,9,Indi,spring,male,K_POP,Solo,1,2018.5.6,0.50887574,0.240384615,0.35,0.519573706,0.800945789,0.513549813,0.8623137009999999,0.0,0.0,0.0,0.0,10
101,BLACKPINK,마지막처럼,7,2,7,Dance,spring,female,K_POP,Group,1,2018.5.6,0.553254438,0.317307692,0.09,0.49232211299999995,0.847722256,0.551930308,0.607429507,0.0,0.0,0.0,0.0,7
102,Camila Cabello,Havana,3,6,3,Pop,spring,female,POP,Solo,1,2018.5.6,0.565088757,0.8557692309999999,0.39,0.8875195840000001,0.808890824,0.529332838,0.0,0.0,0.0,0.0,0.0,3
103,Carla Bruni,Stand By Your Man,8,8,8,Pop,spring,female,POP,Solo,1,2018.5.6,0.40828402399999997,0.038461537999999997,0.0,0.896350434,0.7864538740000001,0.529332838,0.659684276,0.0,0.0,0.0,0.0,10
104,DEAN,instagram,4,8,4,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.6,0.680473373,0.25,0.36,0.781823906,0.78897146,0.56680661,0.0,0.0,0.0,0.0,0.0,4
105,Ed Sheeran,Shape of You,4,10,5,Pop,spring,male,POP,Solo,1,2018.5.6,0.615384615,1.0,0.63,0.881302205,0.0,0.529332838,0.0,0.0,0.0,0.0,0.0,5
106,EXO-CBX,花요일,4,5,3,Dance,spring,male,K_POP,Group,1,2018.5.6,0.514792899,0.125,0.95,0.46370753600000003,0.8098303659999999,0.551930308,0.7296225129999999,0.0,0.0,0.0,0.0,3
107,EXO,Universe,9,10,9,Ballad,spring,male,K_POP,Group,1,2018.5.6,0.704142012,0.259615385,0.5,0.582400283,0.0,0.660567269,0.7296225129999999,0.224475017,0.036572127,0.0109966,0.0,10
108,Fitz & The Tantrums,HandClap,3,4,3,Pop,spring,mixed,POP,Band,1,2018.5.6,0.49408284,0.740384615,0.0,0.949222417,0.8215200020000001,0.529332838,0.785895848,0.0,0.0,0.0,0.0,3
109,iKON,사랑을 했다,1,10,1,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.6,0.5443786979999999,0.615384615,0.34,0.6007619329999999,0.0,0.477571876,0.607429507,0.42271112299999997,0.104239389,0.019982445,0.0,1
110,Imagine Dragons,Thunder,7,8,7,Rock,spring,male,POP,Group,1,2018.5.6,0.476331361,0.673076923,0.33,0.582400283,0.788145144,0.5092992129999999,0.886435283,0.0,0.0,0.0,0.0,7
111,Shawn Mendes,There`s Nothing Holdin` Me Back,7,10,7,Pop,spring,male,POP,Solo,1,2018.5.6,0.514792899,0.548076923,0.41,0.8561517959999999,0.0,0.529332838,0.9293557170000001,0.0,0.0,0.0,0.0,7
112,Sondia,어른,6,3,8,Drama,spring,female,OST,Solo,1,2018.5.6,0.689349112,0.096153846,0.27,0.9284621940000001,0.826127889,0.613522263,0.876803517,0.0,0.0,0.0,0.0,8
113,The Chainsmokers,Closer,9,10,9,Pop,spring,male,POP,Duet,1,2018.5.6,0.650887574,0.663461538,0.25,0.8846159690000001,0.0,0.529332838,0.7582756009999999,0.0,0.0,0.0,0.0,10
114,TWICE,What is Love?,1,1,1,Dance,spring,female,K_POP,Group,1,2018.5.6,0.538461538,0.5,0.63,0.618937294,0.953150128,0.551930308,0.529205473,0.0,0.0,0.0,0.0,1
115,Wanna One,BOOMERANG,5,3,4,Dance,spring,male,K_POP,Group,1,2018.5.6,0.467455621,0.317307692,0.6,0.866326391,0.8289526540000001,0.551930308,0.770987695,0.0,0.0,0.0,0.0,4
116,WINNER,EVERYDAY,2,2,2,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.6,0.532544379,0.182692308,0.78,0.9790692059999999,0.862008663,0.477571876,0.607429507,0.0,0.0,0.0,0.0,2
117,길구봉구,이 별,4,5,4,Ballad,spring,male,K_POP,Group,1,2018.5.6,0.627218935,0.490384615,0.45,0.515597832,0.811662126,0.660567269,0.283488333,0.0,0.0,0.0,0.0,4
118,김하온,바코드,2,4,2,Rap/Hiphop,spring,male,K_POP,Project,0,2018.5.6,0.582840237,0.115384615,0.0,0.9097713829999999,0.819217904,0.477571876,0.876803517,0.0,0.0,0.0,0.0,2
119,김하온,붕붕,1,1,1,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.5.6,0.618343195,0.46153846200000004,0.0,0.9097713829999999,0.893919672,0.477571876,0.876803517,0.0,0.0,0.0,0.0,1
120,나얼,기억의 빈자리,9,10,8,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.6,0.74556213,0.028846154,0.86,0.6840559009999999,0.0,0.56680661,0.785895848,0.33132917,0.067175663,0.027148049,0.0,10
121,닐로,지나오다,1,1,1,Ballad,spring,male,K_POP,Solo,1,2018.5.6,0.75443787,0.923076923,0.66,0.48319743600000004,0.900282714,0.660567269,0.305731339,0.0,0.0,0.0,0.0,1
122,레드벨벳,Bad Boy,4,2,4,Dance,spring,female,K_POP,Group,1,2018.5.6,0.547337278,0.173076923,0.27,0.6021119629999999,0.8639716959999999,0.551930308,0.7296225129999999,0.081800533,0.01013238,0.008000284,0.0,4
123,로꼬,나타나줘,9,10,8,Rap/Hiphop,spring,male,K_POP,Solo,1,2018.5.6,0.594674556,0.019230768999999998,0.64,0.31605134,0.0,0.477571876,0.913960106,0.0,0.0,0.0,0.0,10
124,"로꼬, 화사",주지마,1,10,1,Ballad,spring,mixed,K_POP,Project,1,2018.5.6,0.609467456,0.586538462,0.345,0.230700527,0.0,0.660567269,0.966419923,0.0,0.0,0.0,0.0,1
